p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
CS.147	6.29009938357026e-05	0.000345955466096364	0.102119763492263	0.309347087683985	0	0.540036482576425	0	0	0.0297521700842873	0	0.0183356397031073
T.CS.025	2.17504785105272e-05	0.0113102488254742	0.144488428745432	0.280602923264312	0	0.498564468418305	0	0.000174003828084218	0.0637941534713764	0.000870019140421089	0.000174003828084218
T.CS.023	1.19307539043392e-05	1.19307539043392e-05	0.0392402495913717	0.428290203657969	0	0.347125284846749	0.112518940071823	0	0.0688165885202286	0	0.00374625672596251
T.CS.004	4.38609316061873e-05	0.0122956811602678	0.0639346179712857	0.313313254773531	0.00521945086113629	0.452001520512296	0.0336267142314103	0	0.109754671189216	0.00924003625837013	0.000570192110880435
T.CS.042	0.00383153011641392	0.027892364832132	0.0462719652373053	0.306566449889165	0.0301677945947533	0.506393223623365	0	0.000822090752947048	0.0759699936875174	0.00155610035379263	0.000513806720591905
T.CS.056	0	0.0177255526787493	0.0185222067317267	0.362875921131249	4.97908783110934e-05	0.590519816769568	0.000597490539733121	0.00029874526986656	0.00941047600079665	0	0
T.CS.080	2.35932523298337e-05	2.35932523298337e-05	0.00507254925091424	0.409390114427274	0	0.547599386575439	0.00108528960717235	0	0.0367818803822107	0	2.35932523298337e-05
T.CS.076	0.00212119951753109	0.00143492908538868	0.040760304454519	0.23705444412095	0	0.623653454227842	0	0.000457513621428274	0.0940814374246142	0.000207960737012852	4.15921474025704e-05
T.CS.012	3.50035878677564e-05	0	0.0467822951852565	0.41134466282794	3.50035878677564e-05	0.510614838020897	0	0.000350035878677564	0.0308031573236257	0	1.75017939338782e-05
T.CS.038	0.0570821973992135	0.0013510579266086	0.0426307027913822	0.177085092523342	0.00159231827064585	0.602041062510555	0.00690004583946537	0.0448502979565249	0.0621486646239958	0.00328114067890661	2.41260344037251e-05
