g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
L.005.M1	0	3.65523795599094e-05	8.52888856397885e-05	0.00698150449594269	3.65523795599094e-05	0.0028632697321929	0.00285108560567293	0.0251480371372176	0.00224187927967444	0.000475180934278822	0	0.00320442527475205	0	0.00124278090503692	3.65523795599094e-05	0.00197382849623511	0.00536101566878671	0	0	0.0012915174111168	0	0	0.0285839608158491	0.00694495211638278	0	0.20965226502912	0.0168750152301581	3.65523795599094e-05	0	0	0.000280234909959305	0.00441065380022906	1.21841265199698e-05	2.43682530399396e-05	0.000194946024319517	0.00119404439895704	0.000170577771279577	0.000341155542559154	0.00498330774666764	0.00335063479299169	0.000889441235957794	0.0636376928138022	0.0185807929429539	0.00165704120671589	0	0.00103565075419743	3.65523795599094e-05	0.00115749201939713	0.000170577771279577	0	0.000280234909959305	0.00330189828691181	0.0157662597168409	0.00381363160075054	0.00159612057411604	0.00054828569339864	0.00275361259351317	0.000194946024319517	0.000207130150839486	0.0193971294197919	2.43682530399396e-05	0.012500913809489	0.000121841265199698	0.000377707922119063	0.0114287106757317	0	0.0127080439603285	2.43682530399396e-05	0.00790749811146039	0	2.43682530399396e-05	0.00203474912883495	0.000207130150839486	0	0.00402076175159003	9.74730121597583e-05	0.000109657138679728	0	4.87365060798791e-05	0	0.0222116626459049	0.000170577771279577	0.000706679338158247	0.00727392353242196	0.000280234909959305	0	0.0148402661013232	6.09206325998489e-05	0.000938177742037673	0.0039111046129103	0.0148280819748032	6.09206325998489e-05	0.000219314277359456	0	0.0940005361015669	0.00252211418963375	0.000134025391719668	0	0.00593366961522528	0.00319224114823208	0.000523917440358701	0.00281453322611302	0.0271584180130126	0	0.00731047591198187	0	0.000134025391719668	0.00829739016009942	0	0.00662816482686356	0.00214440626751468	0.022589370568024	0.0272071545190925	0.00795623461754027	0	0	4.87365060798791e-05	0	0	0.00188853961059532	0	0.00523917440358701	1.21841265199698e-05	0.00215659039403465	0.00057265394643858	0.135061042473865	0.0224309769232644	0.00678655847162317	0.00444720617978897	0.00125496503155689	0
CS.098	0.00562883306729396	0.00190428183371139	0.000168024867680417	2.80041446134028e-05	0	0.00123218236298972	0.0029964434736341	0.0167464784788149	0.00666498641798986	0.000868128483015486	0	0.00257638130443306	0	0.000980145061469097	0	0.0215911954969335	0.0103335293623456	0.00968943403623736	0	0.00243636058136604	0.000784116049175278	0.000728107759948472	0.0165784536111344	0.00190428183371139	0	0.122994203142065	0.0735108796101823	0.0143101178974488	2.80041446134028e-05	0.0218152286538408	0.00218432327984542	0.0030524517628609	0	0	0.000196029012293819	0.00372455123358257	0	0	0.00243636058136604	5.60082892268056e-05	0	0.000168024867680417	0.0343610854406452	0.000196029012293819	5.60082892268056e-05	0.00686101543028368	0	0.00193228597832479	0.000196029012293819	0	0.00120417821837632	0.00529278333193313	0.0030524517628609	0.0138620515836344	0.0030244476182475	0.00193228597832479	0.000672099470721667	0.000112016578453611	0.0106975832423199	0.0473830126858775	0.000336049735360833	0.0138620515836344	0.000252037301520625	0.000560082892268056	0.0256798006104904	0.0323167828838668	0.0127418857990983	0	0.0106695790977065	0	0.000196029012293819	0.0121537987622168	0.000420062169201042	0.000168024867680417	0.0108936122546137	0	0.000140020723067014	0.000672099470721667	2.80041446134028e-05	0	0.00576885379036097	0.00397658853510319	0.00243636058136604	0.0233554566075779	0.000812120193788681	0	2.80041446134028e-05	0	0.00786916463636618	0	0.0217032120753872	0.000420062169201042	8.40124338402084e-05	0	0.088157047242992	0.0114816992914951	0.00257638130443306	0.0171105323587891	0.0714665770534039	0.00663698227337646	0.00182026939987118	0.0148982049343303	0.002016298412165	0.000140020723067014	0.0150942339466241	0	2.80041446134028e-05	0.0495673359657229	0	0	0.000112016578453611	0	0	0	0.000140020723067014	0.000112016578453611	0	2.80041446134028e-05	0	0.00854126410708785	0	0.00190428183371139	0.000924136772242292	0.00915735528858271	0	2.80041446134028e-05	5.60082892268056e-05	0.000924136772242292	0.000224033156907222	0.00252037301520625	0
L.012.M1	0	7.36566861856885e-05	3.68283430928443e-05	5.52425146392664e-05	0	0.000791809376496151	0.00546900894928737	0.030143998821493	0.00405111774021287	0.000386697602474865	0	0.014178912090745	0	0.00114167863587817	0	0.00243067064412772	0.00338820756454167	0	0	0.00112326446433175	0.000128899200824955	0.000147313372371377	0.021157883106839	0	0	0.0857916252347807	0.016664825249512	1.84141715464221e-05	5.52425146392664e-05	0.00143630538062093	0.000276212573196332	1.84141715464221e-05	0	9.20708577321106e-05	0.000165727543917799	0.00197031635546717	0	5.52425146392664e-05	0.000220970058557066	0.00395904688248076	0.00697897101609399	0.0282841674953044	0.0253379000478768	0.00130740617979597	0.00025779840164991	0.000534010974846242	0	0.00375649099547011	0.000239384230103488	1.84141715464221e-05	0.000883880234228262	0.00171251795381726	0.0166279969064192	0.0020808013847457	0.00314882333443818	0.00128899200824955	0	0.000313040916289176	0.000718152690310463	0.0417633410672854	3.68283430928443e-05	0.0102382793798107	5.52425146392664e-05	9.20708577321106e-05	0.0161676426177586	0	0.00513755386145177	7.36566861856885e-05	0.0148418222664162	0	1.84141715464221e-05	0.00381173351010938	0.000534010974846242	5.52425146392664e-05	0.00418001694103782	0.000128899200824955	0.000681324347217619	7.36566861856885e-05	0.00217287224247781	0.00060766766103193	0.0730858468677494	0.000791809376496151	0.00139947703752808	0.0142893971200236	0.000128899200824955	1.84141715464221e-05	0.0319854159761352	0.000386697602474865	0.00508231134681251	0.0144735388354878	0.065388723161345	0.000128899200824955	0	0	0.0723861083489854	0.0143814679777557	3.68283430928443e-05	0.00243067064412772	0.0364416454903694	0.00336979339299525	0.000626081832578352	0.0194637793245682	0.00534010974846242	0.00025779840164991	0.0485397561963687	0	0.0017493462969101	0.0274555297757154	1.84141715464221e-05	0	0	0.00197031635546717	0	0.00150996206680661	1.84141715464221e-05	0	0	0	0	1.84141715464221e-05	1.84141715464221e-05	1.84141715464221e-05	0.000147313372371377	0.00307516664825249	0	0	0.0386697602474865	0.0267742054284978	0.0401428939712002	0.000276212573196332	1.84141715464221e-05
CS.313	0.000592150453587247	0.000663208508017717	0.000923754707596106	0.0271204907742959	2.36860181434899e-05	0.00172907932447476	0.00490300575570241	0.0324024728202942	0.011700892962884	0.00298443828607973	0	0.00336341457637557	0	0.0018711954333357	4.73720362869798e-05	7.10580544304697e-05	0.00871645467680428	0.00450034344726308	2.36860181434899e-05	0.00272389208650134	0.000189488145147919	0.000142116108860939	0.00987706956583529	0.00113692887088752	4.73720362869798e-05	0.103034178924181	0.0209147540207016	0.000686894526161207	0.000402662308439328	0.00191856746962268	0.000521092399156778	0.00878751273123475	0.000118430090717449	0.000284232217721879	0.000189488145147919	0.00606362064473341	2.36860181434899e-05	0.000142116108860939	0.00165802127004429	0.000142116108860939	0.000189488145147919	0.0355527132333783	0.0153485397569815	0.000355290272152348	2.36860181434899e-05	0.00426348326582818	0	0.000663208508017717	0.000118430090717449	4.73720362869798e-05	0.0035055306852365	0.00405030910253677	0.00312655439494067	0.0172907932447476	0.00104218479831356	0.00225017172363154	0.00149221914303986	0.000118430090717449	0.00172907932447476	0.0840853644093891	0.000142116108860939	0.0086690826405173	0.000450034344726308	0.000165802127004429	0.0296548947156494	0	0.0292285463890665	7.10580544304697e-05	0.00615836471730737	2.36860181434899e-05	7.10580544304697e-05	0.00236860181434899	0.000757952580591677	4.73720362869798e-05	0.00817167625950401	0.00132641701603543	0.000165802127004429	0.000426348326582818	0.000378976290295838	0.000142116108860939	0.0198015111679576	0.000710580544304697	0.000971126743883086	0.00852696653165636	0.000236860181434899	0	0.00911911698524361	0.000378976290295838	0.000639522489874227	0	0.0256045856131126	0.000639522489874227	2.36860181434899e-05	0	0.106966057936	0.0148274473578247	0.000118430090717449	4.73720362869798e-05	0.0584334067599896	0.00454771548355006	0.000971126743883086	0.00487931973755892	0.00118430090717449	0	0.0141405528316635	0	2.36860181434899e-05	0.00999549965655274	0	0.00357658873966697	7.10580544304697e-05	0.00971126743883086	0.00198962552405315	0.0072716075700514	0.000118430090717449	0	0.000165802127004429	0	2.36860181434899e-05	0.00319761244937114	0	0.00812430422321704	7.10580544304697e-05	0.00101849878017007	7.10580544304697e-05	0.0318813804211374	0.0277363272460267	0.0560884909637841	0.00968758142068737	0	0
CS.293	0	0.00110826271423614	0.000111945728710721	0.000537339497811461	5.59728643553605e-05	0.00222772000134335	0.00381734934903559	0.0131088448320254	0.00251877889599122	6.71674372264326e-05	0	0.00273147578054159	0	0.000750036382361831	0.000156724020195009	0.00183590995085583	0.00668316000403005	0.00185829909659797	0	0.00085078753820148	1.11945728710721e-05	2.23891457421442e-05	0.016299298100281	0.000347031759003235	0	0.242194584065645	0.0460768619373328	0	3.35837186132163e-05	0.00108587356849399	0.000246280603163586	0.0132431797064783	0.000223891457421442	1.11945728710721e-05	1.11945728710721e-05	0.00154485105620795	0	0	0.0159634609141488	0	0	0.00130976502591544	0.0221540597118517	0.00210457969976156	3.35837186132163e-05	0.00207099598114834	0.000403004623358596	0.000201502311679298	0.000145529447323937	0	0.000380615477616452	0.00142171075462616	0.00940344121170057	0.00236205487579621	0.00069406351800647	0.000817203819588264	0.00106348442275185	0.00114184643284935	0.000257475176034658	0.0197024482530869	4.47782914842884e-05	0.0201614257408009	0.000447782914842884	0.000235086030292514	0.0219973356916567	0	0.0183590995085583	2.23891457421442e-05	0.00555250814405176	1.11945728710721e-05	2.23891457421442e-05	0.00207099598114834	0.000201502311679298	1.11945728710721e-05	0.00634732281789788	6.71674372264326e-05	0.000190307738808226	0	0	0.000167918593066082	0.057439353401471	0.000705258090877543	0.00127618130730222	0.0025299734688623	0.000223891457421442	8.95565829685768e-05	0.000347031759003235	0	0.0454499658565527	7.83620100975047e-05	0.0056196755812782	6.71674372264326e-05	0.000179113165937154	0	0.0313336094661308	0.00441066171120241	4.47782914842884e-05	3.35837186132163e-05	0.0163328818188942	0.00339195557993485	0.000861982111072552	0.0129185370932172	0.0148887819185259	5.59728643553605e-05	0.00335837186132163	0	0.000235086030292514	0.0285461608212339	0	0.0336508860504427	0.000973927839783273	0.0281879344893596	0	4.47782914842884e-05	3.35837186132163e-05	0	0.00143290532749723	0	0	0.0203965117710934	0	0.013511849455384	0.000179113165937154	0.00138812703601294	0.000436588341971812	0.128659226007232	0.000302253467518947	0.000190307738808226	3.35837186132163e-05	7.83620100975047e-05	0
CS.280	0	0.00280278579921862	0.000106166128758281	0.0318923050789876	0.000382198063529811	0.0041192457958213	0.00477747579412264	0.0522762018005775	0.00382198063529811	0.000870562255817904	0	0.00762272804484457	0	0.00142262612536096	2.12332257516562e-05	0.000785629352811279	0.00125276031934772	0	0	0.0111686767453712	0.000191099031764906	0.000233565483268218	0.0195558009172754	0.000806862578562935	2.12332257516562e-05	0.180843383726856	0.0272846950908782	0	0.000254798709019874	0.00197468999490403	0.000509597418039749	0.0183455070494309	6.36996772549686e-05	0.000212332257516562	0.000191099031764906	0.0041192457958213	0	0.000297265160523187	0.0227832512315271	4.24664515033124e-05	2.12332257516562e-05	0.000191099031764906	0.0255648038049941	0.000743162901307967	0	0.0015500254798709	0	0.000212332257516562	0.000254798709019874	4.24664515033124e-05	0.00796245965687107	0.000573297095294717	0.0367122473246136	0.000870562255817904	0.000997961610327841	0.00142262612536096	0.00165619160862918	0.000382198063529811	0.0032486835400034	0.0115084083573977	8.49329030066248e-05	0.0399184644131136	0.000212332257516562	0.00437404450484118	0.0171564464073382	0	0.00428911160183455	0	0.00129522677085103	4.24664515033124e-05	2.12332257516562e-05	0.00630626804824189	8.49329030066248e-05	0	0.000467130966536436	0.000276031934771531	2.12332257516562e-05	0.000934261933072872	0.000106166128758281	0.00016986580601325	0.0272846950908782	0.00016986580601325	0.00197468999490403	0.0157975199592322	0.000191099031764906	0.000318498386274843	0.027666893154408	0.000297265160523187	0.0242271105826397	0.001358926448106	0.0117844402921692	0.00248428741294377	0.000467130966536436	0	0.0504289111601835	0.011423475454391	0.000127399354509937	0.000191099031764906	0.00811109223713266	0.00456514353660608	0.00110412773908612	0.00692203159503992	0.0279004586376762	0	0.00161372515712587	0	0.00596653643621539	0.00779259385085782	0	0.000233565483268218	6.36996772549686e-05	0.021615423815186	0	0.000212332257516562	6.36996772549686e-05	0	0.0249065738066927	0	0.018218107694921	0.00775012739935451	2.12332257516562e-05	0.00114659419058943	0	0.0035884151520299	0.000467130966536436	0.0966111771700357	0.000148632580261593	0.000636996772549686	0.0012102938678444	0.00273908612196365	0
CS.297	0	0.0436308124145912	8.61782412252084e-05	0.00108338360397405	2.46223546357738e-05	0.000258534723675625	0.0011326283132456	0.0216307385475273	0.00126805126374235	0.000172356482450417	0	0.000603247688576459	0	0.000443202383443929	0	0.00754675169586468	0.0317628374801482	0	0	0.00478904797665801	0.00244992428625949	0.000972583008113066	0.00766986346904354	0.00683270341142724	0	0.320213722038239	0.0413409334334642	1.23111773178869e-05	0.00241299075430583	0	0.00418580028808155	1.23111773178869e-05	0	0.0029177490243392	0.000209290014404077	0.00185898777500092	3.69335319536607e-05	0	0.00156351951937164	2.46223546357738e-05	0	0.00164969776059685	0.0099720536274884	7.38670639073215e-05	4.92447092715476e-05	0.00611865512698979	0.000209290014404077	0.000393957674172381	0.00016004530513253	0	0.00209290014404077	0.00112031713592771	0.00381646496854494	0.00476442562202223	0.00119418419983503	0.000775604171026875	1.23111773178869e-05	8.61782412252084e-05	0.000640181220530119	0.0412793775468748	1.23111773178869e-05	0.0212614032279907	3.69335319536607e-05	0.00137885185960333	0.0325015081192214	0	0.00977507479040221	4.92447092715476e-05	0.00847008999470619	0	2.46223546357738e-05	0.00432122323857831	0.000369335319536607	0	0.00899947061937533	0.00016004530513253	9.84894185430953e-05	0	1.23111773178869e-05	0.00035702414221872	0.00624176690016866	0.000886404766887858	0.00185898777500092	0.00839622293079887	0	4.92447092715476e-05	2.46223546357738e-05	0	0.0165585334925579	1.23111773178869e-05	0.00353330789023354	1.23111773178869e-05	0	0	0.0940081499993844	0.00336095140778313	6.15558865894345e-05	8.61782412252084e-05	0.0199441072549768	0.00134191832764967	0.00110800595860982	0.00215445603063021	0.0281433513486895	3.69335319536607e-05	0.00993512009553474	0	0.000455513560761816	0.0204488655250102	7.38670639073215e-05	0	0.000689425929801667	0.0455267337215458	0.000209290014404077	0.000972583008113066	2.46223546357738e-05	3.69335319536607e-05	0	0.000578625333940685	0	0.00478904797665801	0	0.0323045292821353	0.000147734127814643	0.00459206913957182	0	9.84894185430953e-05	0.010341388947025	0.00405037733758479	0.00493678210447265	1.23111773178869e-05	0
CS.039	0	0.0012694594775172	0.000200440970134295	0.00928709828288902	0.000133627313422864	0	0.000200440970134295	0.0214471838043696	0.00227166432818868	0.000133627313422864	6.68136567114318e-05	0.000400881940268591	6.68136567114318e-05	0.000534509253691455	0	0.00374156477584018	0.0794414378298924	0	0.000267254626845727	0.00140308679094007	0.000200440970134295	0.000534509253691455	0.0075499432083918	0	0	0.158749248346362	0.0242533573862498	0	0.00140308679094007	0	0.002939800895303	0.0014699004476515	0	0	0	0.0014699004476515	0.000267254626845727	0	0.000400881940268591	0.00106901850738291	6.68136567114318e-05	0.022583015968464	0.0227834569385982	0	0.000133627313422864	0.00153671410436293	0	0.000801763880537182	0.000133627313422864	0	0.000467695596980023	0.00160352776107436	0.0251219349234984	0.0136967996258435	6.68136567114318e-05	0.000400881940268591	0.000133627313422864	0.00073495022382575	0.000334068283557159	0.111578806708091	0	0.0722923765617692	0.000267254626845727	0.0031402418654373	0.0434956905191421	6.68136567114318e-05	0.0124941538050377	0.000534509253691455	0.0217144384312153	6.68136567114318e-05	0.000200440970134295	0.00728268858154607	0.000400881940268591	0	0.0159684639540322	0.00106901850738291	0.000467695596980023	0.000868577537248614	0.000200440970134295	0	0.0746308545466693	0.0012694594775172	0.000400881940268591	0.00227166432818868	6.68136567114318e-05	0	0.00220485067147725	0.000200440970134295	0.0266586490278613	0.000534509253691455	0.00968798022315761	0.000133627313422864	0.000133627313422864	0	0.049976615220151	0.00547871985033741	0.000133627313422864	0.000668136567114318	0.0471036279815594	0.00140308679094007	0.000534509253691455	0.00828489343221754	0.00260573261174584	0.000200440970134295	0.00434288768624307	0	0.0016703414177858	0.0149662591033607	0	0.0155675820137636	0.000133627313422864	0.0115587626110777	0	6.68136567114318e-05	0	0	0	0	0	0.0016703414177858	0.000133627313422864	0.00701543395470034	0.000267254626845727	0.000467695596980023	0	0.000133627313422864	0.00073495022382575	0	0.000133627313422864	0	0.000868577537248614
CS.105	0.00225647138964578	0.0151566757493188	0.00136239782016349	0.00934519754768392	0.000106437329700272	0	0.00568375340599455	0.0538147138964578	0.00753576294277929	0.000510899182561308	0	0.000106437329700272	0	0.00138368528610354	0	0.0142413147138965	0.0125596049046322	0	0	0.00389560626702997	0.00106437329700272	0.0030866825613079	0.00485354223433242	0	0.000638623978201635	0.276843494550409	0.0549855245231608	0	0.00478967983651226	2.12874659400545e-05	0.00438521798365123	0	0	0.000276737057220708	4.2574931880109e-05	0.0019158719346049	0.000234162125340599	0.000361886920980926	0.0019158719346049	4.2574931880109e-05	2.12874659400545e-05	0.00649267711171662	0.0153908378746594	0.000212874659400545	0.000149012261580381	0.00129853542234332	0.00019158719346049	0.000340599455040872	0.000127724795640327	0	0.00391689373297003	0.0028525204359673	0.00283123297002725	0.00364015667574932	0.000447036784741144	0.000468324250681199	8.5149863760218e-05	0.000532186648501362	0.00127724795640327	0.0259281335149864	0.000319311989100817	0.0231181880108992	0.000106437329700272	0.00112823569482289	0.0388922002724796	0	0.00974965940054496	2.12874659400545e-05	0.0157314373297003	2.12874659400545e-05	4.2574931880109e-05	0.00915361035422343	0.000638623978201635	2.12874659400545e-05	0.00461938010899183	0.00189458446866485	0.000234162125340599	4.2574931880109e-05	2.12874659400545e-05	6.38623978201635e-05	0.0181582084468665	0.000979223433242507	0.00112823569482289	0.00745061307901907	0.000447036784741144	0	0.000298024523160763	0	0.00796151226158038	4.2574931880109e-05	0.00853627384196185	0.000212874659400545	6.38623978201635e-05	0	0.0728031335149864	0.00940905994550409	4.2574931880109e-05	0.000255449591280654	0.0415318460490463	0.00515156675749319	0.00042574931880109	0.00430006811989101	0.0356777929155313	8.5149863760218e-05	0.0137729904632153	0	0.00195844686648501	0.0654589577656676	0.00061733651226158	0	0.000766348773841962	4.2574931880109e-05	0	0.000212874659400545	0.00042574931880109	0.000127724795640327	0	2.12874659400545e-05	0	0.0030866825613079	2.12874659400545e-05	0.0195631811989101	0.00106437329700272	0.00223518392370572	0	0	0.00834468664850136	0.000894073569482289	0.00430006811989101	0.000383174386920981	0
L.008.M1	0	4.17162046597001e-05	0.00206495213065515	0.010992219927831	6.25743069895501e-05	0	0.0001668648186388	0.110339361324907	0.0116388211000563	0	0.000771749786204451	0.0002920134326179	0.00010429051164925	0	0	4.17162046597001e-05	0.0280124314289886	2.085810232985e-05	0	0	2.085810232985e-05	0	0.000730033581544751	0	0	0.00022943912562835	0	0	4.17162046597001e-05	0	0.000563168762905951	0	0	0	0	0.000563168762905951	0.00010429051164925	0.00127234424212085	0.00123062803746115	0.0117222535093757	0.000896898400183551	0.154078801910602	0.00778007216903406	0	0	6.25743069895501e-05	0	0	0	0	2.085810232985e-05	0.00415076236364016	0.000709175479214901	0.000500594455916401	0.000834324093194001	0.0001251486139791	0	0	4.17162046597001e-05	0.0284713096802453	0	0.0249045741818409	2.085810232985e-05	0.00707089668981916	0.0755897628433765	8.34324093194001e-05	0.0133700435934339	0.0001251486139791	0.0162276036126233	0	0	0.0256763239680454	0.000730033581544751	2.085810232985e-05	0.00529795799178191	0.00456792441023716	0.00035458773960745	0.000375445841937301	6.25743069895501e-05	0	0.0114928143837474	0.00014600671630895	0	8.34324093194001e-05	0	0	0.00901070020649521	0	0.0030035667354984	0.00477650543353566	0.00467221492188641	0.0001668648186388	0.00018772292096865	0	0.142836284754813	0.00527709988945206	0	6.25743069895501e-05	0.0480153515633148	0.00168950628871785	0.000855182195523851	0.0139332123563398	2.085810232985e-05	0.000792607888534301	2.085810232985e-05	0	0	0.002502972279582	0	0	0	0	0	0.0161024549986442	4.17162046597001e-05	0	0	0	0	2.085810232985e-05	0	4.17162046597001e-05	2.085810232985e-05	0.00018772292096865	0	6.25743069895501e-05	0.136683144567507	0.0262186346286215	0.00896898400183551	0	0.0002085810232985
