PD_whole_tree	chao1	observed_otus	shannon	simpson
L.008.M1	48.26063	775.4	342	6.22021006954	0.960181811491
CS.172	57.76873	817.214285714	292	6.16415533253	0.967703288594
CS.174	83.72935	1166.15909091	538	7.34763833983	0.981812971685
L.002.M1	46.70484	668.773584906	330	6.04703378152	0.96279566741
CS.357	64.97559	1038.96875	446	6.73440810114	0.973225396733
L.006.M1	65.54753	661.270833333	362	7.24298862949	0.987928227401
CS.016	51.76786	496.214285714	258	6.21159425564	0.964744954163
CS.199	53.85998	394.888888889	226	6.19163763512	0.97339045028
CS.259	67.26999	1096.18181818	431	6.84496970515	0.975942465556
CS.093	77.93923	608.101694915	353	6.83245033616	0.97778766841
CS.001	87.25172	715.595744681	369	7.09209359199	0.985096187241
CS.280	83.39063	1210.08064516	477	7.04841912914	0.979812731725
CS.084	84.86866	616.188679245	364	7.15972677409	0.985506861372
L.007.M1	69.41397	1120.59677419	477	7.16661419094	0.981992396649
L.005.M1	70.963	1024.421875	457	7.01391595691	0.975874963445
CS.229	58.99669	688.53125	296	6.37016343859	0.972945371848
CS.377	58.07419	711.72	345	6.72719928304	0.981058690037
CS.060	55.22339	626.913043478	251	6.1521974145	0.973900853336
CS.287	59.87732	796.4	338	6.69591888841	0.980349700127
CS.154	30.01407	460	156	4.85330479262	0.935241741389
CS.360	60.72465	880.1	414	7.09051462288	0.984522201553
CS.161	48.61543	484.303030303	238	5.83257989884	0.963981962565
CS.056	56.12641	668.625	269	6.37092230781	0.974595907325
CS.381	75.59578	1054.17021277	413	7.21553544724	0.987855499321
CS.072	85.78439	1171.27083333	437	7.02835033787	0.981414491484
CS.153	75.75788	749.317073171	352	6.86003894222	0.982335133172
CS.063	54.01978	440.222222222	238	6.04233026265	0.961222650486
CS.327	56.35991	1193.625	403	6.35263509688	0.967896213981
CS.064	69.91233	564.756756757	298	6.60108838627	0.979089805897
CS.115	44.6346	385.681818182	187	5.64237523597	0.963870910706
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.125	51.33107	765.220338983	368	6.42363013852	0.964026818806
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.374	55.49643	923.660377358	378	6.69097223461	0.980555254941
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.128	70.82491	1293.68421053	475	7.10430674274	0.979665969072
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.203	59.31398	919.344262295	405	6.38679076113	0.962855330565
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
CS.178	67.57516	702.666666667	358	6.77081022645	0.977249829013
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.181	64.41238	881.038461538	379	6.60629832305	0.973310318743
CS.129	56.6716	935.459459459	348	6.71868482096	0.981093965333
CS.348	64.66566	918.294117647	333	6.50149004386	0.97650164433
CS.256	57.61418	716.631578947	364	6.57085381868	0.974419530843
CS.359	38.89341	629.75	313	6.1070300499	0.968807274724
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
CS.166	66.26063	928.5	376	6.78491363107	0.979089805897
CS.214	57.23535	744.666666667	346	6.29829327614	0.97100392405
CS.395	68.90364	852.01754386	402	7.00537435368	0.984435537553
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
T.CS.041	72.69004	1195.2	449	6.88680315381	0.974470048551
T.CS.076	76.56586	892.720588235	435	7.24970832703	0.987209656547
T.CS.052	61.68187	710.631578947	358	6.74864951566	0.98111878869
T.CS.089	70.10242	889.05	419	6.78507802949	0.970583233477
T.CS.001	51.28516	791.918367347	361	6.26814834108	0.959664440476
T.CS.080	61.42408	798.571428571	395	6.7836253576	0.977380042761
T.CS.023	40.38898	499.666666667	268	6.13024106614	0.972092667768
T.CS.007	48.22489	745.765957447	335	6.23828935331	0.967427618684
T.CS.042	85.55983	1109.50704225	507	7.39830215795	0.983956490317
T.CS.019	51.89856	844	329	6.03312979281	0.962033982304
T.CS.058	66.55328	897.37254902	381	6.65214767477	0.976433706722
T.CS.085	67.32207	1189.93617021	423	6.75640819582	0.974365964652
T.CS.038	89.12644	689.542372881	382	7.04704559662	0.983397311543
TFS.023	59.44978	914.118644068	395	6.78833076827	0.980861409675
T.CS.020	80.23638	974.651162791	399	7.21685119092	0.986980149371
T.CS.161	92.08494	1140.5	466	7.32759871853	0.986926147683
T.CS.092	87.55825	790.051724138	426	7.29315841023	0.976431529234
T.CS.091	85.16412	1180.25	494	7.30643276004	0.984324921191
T.CS.156	69.50112	1160	445	6.79265970547	0.973552455346
T.CS.104	88.68259	1167.47457627	467	6.90910636658	0.974018873155
T.CS.097	79.35565	1027.38356164	473	6.90584544245	0.973073843607
T.CS.098	84.25026	984.278688525	445	7.09317344419	0.982979669453
T.CS.167	67.45713	1092.47761194	454	6.64247245951	0.969674350221
T.CS.100	87.11607	828.518518519	426	7.47301869175	0.988512665029
T.CS.134	69.54457	928.512820513	456	6.67915939831	0.969938697196
T.CS.106	83.0265	801.554054054	430	6.87441342946	0.974452193154
T.CS.126	79.04796	1036.37333333	466	6.9746163331	0.980267391102
T.CS.153	94.78263	798.096385542	464	7.22965710182	0.981313891564
T.CS.180	72.78055	767.058823529	369	6.82958906007	0.981354828328
T.CS.120	73.60569	1351.02040816	460	7.04286832258	0.981471106157
CS.246	72.58829	1082.61111111	425	6.81818603639	0.977180149415
CS.087	50.38845	781.75	295	5.78199966618	0.947000173546
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.082	89.14972	719	410	7.08168303188	0.980971155042
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
CS.242	73.69293	1106.54237288	435	6.62854487692	0.96826377386
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
CS.088	40.29899	544.913043478	224	5.70294605883	0.957408127994
CS.085	80.66386	677.960784314	376	7.1406687311	0.98487277703
CS.237	57.98729	597.757575758	277	5.98425714399	0.957877158788
CS.238	66.18718	604	310	6.78334257858	0.982936990699
CS.015	55.59772	709.317073171	312	5.93450621484	0.95455779694
CS.356	35.34788	606.034482759	251	5.96774327889	0.970047136071
CS.110	51.46509	583.4	248	5.88367919275	0.961447802687
CS.338	59.59067	761.9	341	6.63836859261	0.977309056671
CS.347.0	43.29714	470.034482759	232	6.06462280369	0.969047669337
CS.358	36.71331	589.146341463	275	5.4880058848	0.937236755378
CS.304	50.77043	666.95	295	6.06768128883	0.9621907614
CS.188	59.07432	1038.67164179	464	6.99794933946	0.97794009253
CS.113	52.11911	711.1	271	5.87817746828	0.959037759592
CS.207	46.48063	583.27027027	269	5.94464040511	0.962924139168
