g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
L.012.M1	0	7.36566861856885e-05	3.68283430928443e-05	5.52425146392664e-05	0	0.000791809376496151	0.00546900894928737	0.030143998821493	0.00405111774021287	0.000386697602474865	0	0.014178912090745	0	0.00114167863587817	0	0.00243067064412772	0.00338820756454167	0	0	0.00112326446433175	0.000128899200824955	0.000147313372371377	0.021157883106839	0	0	0.0857916252347807	0.016664825249512	1.84141715464221e-05	5.52425146392664e-05	0.00143630538062093	0.000276212573196332	1.84141715464221e-05	0	9.20708577321106e-05	0.000165727543917799	0.00197031635546717	0	5.52425146392664e-05	0.000220970058557066	0.00395904688248076	0.00697897101609399	0.0282841674953044	0.0253379000478768	0.00130740617979597	0.00025779840164991	0.000534010974846242	0	0.00375649099547011	0.000239384230103488	1.84141715464221e-05	0.000883880234228262	0.00171251795381726	0.0166279969064192	0.0020808013847457	0.00314882333443818	0.00128899200824955	0	0.000313040916289176	0.000718152690310463	0.0417633410672854	3.68283430928443e-05	0.0102382793798107	5.52425146392664e-05	9.20708577321106e-05	0.0161676426177586	0	0.00513755386145177	7.36566861856885e-05	0.0148418222664162	0	1.84141715464221e-05	0.00381173351010938	0.000534010974846242	5.52425146392664e-05	0.00418001694103782	0.000128899200824955	0.000681324347217619	7.36566861856885e-05	0.00217287224247781	0.00060766766103193	0.0730858468677494	0.000791809376496151	0.00139947703752808	0.0142893971200236	0.000128899200824955	1.84141715464221e-05	0.0319854159761352	0.000386697602474865	0.00508231134681251	0.0144735388354878	0.065388723161345	0.000128899200824955	0	0	0.0723861083489854	0.0143814679777557	3.68283430928443e-05	0.00243067064412772	0.0364416454903694	0.00336979339299525	0.000626081832578352	0.0194637793245682	0.00534010974846242	0.00025779840164991	0.0485397561963687	0	0.000110485029278533	0.0017493462969101	0.0274555297757154	1.84141715464221e-05	0	0	0	0.00197031635546717	0	0.00150996206680661	1.84141715464221e-05	0	0	0	0	0	1.84141715464221e-05	1.84141715464221e-05	1.84141715464221e-05	0.000147313372371377	0.00307516664825249	0	0.0386697602474865	0.0267742054284978	0.0401428939712002	0.000276212573196332	1.84141715464221e-05
CS.176	0	0	0.000679194023092597	0.0360255829748698	5.65995019243831e-05	0.0023488793298619	0	0.10394498528413	0	0.002660176590446	0.00144328729907177	5.65995019243831e-05	0.000198098256735341	0.00529205342992982	0	5.65995019243831e-05	0.0894838125424496	0	0	0	0.00373556712700928	0.0102728095992755	0	0	0	0.135697305863708	0	0	0.0383178628028073	0	0.019951324428345	0	0	0.000198098256735341	0.000339597011546298	0.00226398007697532	0.000141498754810958	0.000396196513470681	0.00135838804618519	2.82997509621915e-05	0	0.0155648630292053	0.0204324201947023	0.00127348879329862	0.000339597011546298	0.00421666289336654	0.000169798505773149	0.00169798505773149	0.000254697758659724	8.48992528865746e-05	0.0143479737378311	0.00169798505773149	0.00178288431061807	0.00390536563278243	0.000565995019243831	0.00294317410006792	8.48992528865746e-05	0.000339597011546298	0.00107539053656328	0.0259508716323296	0.000198098256735341	0.0445155082635273	8.48992528865746e-05	0.00144328729907177	0.0463266923251075	0	0.0189042336427439	0.000452796015395065	0.0128197871858728	0	8.48992528865746e-05	0.00764093275979171	0.000877292279827938	0.000226398007697532	0.00984831333484265	0.00591464795109803	0.000509395517319448	0.000339597011546298	0	0	0.018621236133122	0.00189608331446683	0.00387706588182024	0.00798052977133801	0.000169798505773149	2.82997509621915e-05	0.00073579352501698	0	0.0241113878197872	0.000141498754810958	0.0132159836993434	0.000509395517319448	0	5.65995019243831e-05	0.0851539506452343	0.00280167534525696	0.00192438306542902	0.001330088295223	0.0594294770206022	0.00956531582522074	0.00345256961738737	0.00755603350690514	0	2.82997509621915e-05	0	8.48992528865746e-05	0.000169798505773149	0.000198098256735341	0	2.82997509621915e-05	0	0	0.000141498754810958	0.00962191532714512	0	0.000396196513470681	0	2.82997509621915e-05	0	0.000396196513470681	0	0	0	0	0.00973511433099389	0.000113199003848766	0.0110086031242925	0	0.00356576862123613	0.000792393026941363	0.00396196513470681	0.000933891781752321	0.00863142404346842
CS.313	0.000592150453587247	0.000663208508017717	0.000923754707596106	0.0271204907742959	2.36860181434899e-05	0.00172907932447476	0.00490300575570241	0.0324024728202942	0.011700892962884	0.00298443828607973	0	0.00336341457637557	0	0.0018711954333357	4.73720362869798e-05	7.10580544304697e-05	0.00871645467680428	0.00450034344726308	2.36860181434899e-05	0.00272389208650134	0.000189488145147919	0.000142116108860939	0.00987706956583529	0.00113692887088752	4.73720362869798e-05	0.103034178924181	0.0209147540207016	0.000686894526161207	0.000402662308439328	0.00191856746962268	0.000521092399156778	0.00878751273123475	0.000118430090717449	0.000284232217721879	0.000189488145147919	0.00606362064473341	2.36860181434899e-05	0.000142116108860939	0.00165802127004429	0.000142116108860939	0.000189488145147919	0.0355527132333783	0.0153485397569815	0.000355290272152348	2.36860181434899e-05	0.00426348326582818	0	0.000663208508017717	0.000118430090717449	4.73720362869798e-05	0.0035055306852365	0.00405030910253677	0.00312655439494067	0.0172907932447476	0.00104218479831356	0.00225017172363154	0.00149221914303986	0.000118430090717449	0.00172907932447476	0.0840853644093891	0.000142116108860939	0.0086690826405173	0.000450034344726308	0.000165802127004429	0.0296548947156494	0	0.0292285463890665	7.10580544304697e-05	0.00615836471730737	2.36860181434899e-05	7.10580544304697e-05	0.00236860181434899	0.000757952580591677	4.73720362869798e-05	0.00817167625950401	0.00132641701603543	0.000165802127004429	0.000426348326582818	0.000378976290295838	0.000142116108860939	0.0198015111679576	0.000710580544304697	0.000971126743883086	0.00852696653165636	0.000236860181434899	0	0.00911911698524361	0.000378976290295838	0.000639522489874227	0	0.0256045856131126	0.000639522489874227	2.36860181434899e-05	0	0.106966057936	0.0148274473578247	0.000118430090717449	4.73720362869798e-05	0.0584334067599896	0.00454771548355006	0.000971126743883086	0.00487931973755892	0.00118430090717449	0	0.0141405528316635	0	2.36860181434899e-05	2.36860181434899e-05	0.00999549965655274	0	0.000402662308439328	0.00357658873966697	7.10580544304697e-05	0.00971126743883086	0.00198962552405315	0.0072716075700514	0.000118430090717449	0	0.000165802127004429	0	2.36860181434899e-05	4.73720362869798e-05	0.00319761244937114	0	0.00812430422321704	7.10580544304697e-05	0.00101849878017007	0.0318813804211374	0.0277363272460267	0.0560884909637841	0.00968758142068737	0	0
CS.022	0	7.65990042129452e-05	0.000229797012638836	0.0156644963615473	0	0.00107238605898123	0	0.0917273075450019	0.00926847950976637	0.000229797012638836	0.00015319800842589	0.00072769054002298	0	3.82995021064726e-05	0	0	0.163040980467254	0	0	0.00819609345078514	0.000382995021064726	0.000114898506319418	0.000382995021064726	7.65990042129452e-05	0	0.0583684412102643	0.000191497510532363	0	0.000995787054768288	0	0.00467253925698966	0	7.65990042129452e-05	0	3.82995021064726e-05	0.000114898506319418	0.000229797012638836	3.82995021064726e-05	0.0121409421677518	0	0	0.00222137112217541	0.00570662581386442	0.00210647261585599	0.000957487552661815	0.000919188050555343	0	0.000421294523171199	0.000229797012638836	0	3.82995021064726e-05	0.00256606664113367	0.0981999234009958	0.00988127154346993	0	0.000306396016851781	0.00015319800842589	3.82995021064726e-05	0	0.0351589429337419	0	0.0264266564534661	0	0.00218307162006894	0.0222137112217541	0	0.00333205668326312	0	0.00310225967062428	3.82995021064726e-05	7.65990042129452e-05	0.00375335120643432	7.65990042129452e-05	0	0.00551512830333206	0	0.000919188050555343	3.82995021064726e-05	0	0	0.0604366143240138	0.00693220988127154	0.00015319800842589	0.00245116813481425	0	3.82995021064726e-05	0.00846418996553045	0.0211413251627729	0.070585982382229	0.00329375718115664	0.00823439295289161	0.000268096514745308	0.00015319800842589	0.00164687859057832	0.0885101493680582	0.00317885867483723	0.00256606664113367	0.00164687859057832	0.0311374952125622	0.00107238605898123	0.000919188050555343	0.00229797012638836	0.000229797012638836	0.000268096514745308	0.0127920337035619	0	3.82995021064726e-05	0.000459594025277671	0.000804289544235925	0	0	0	0	0.0222520107238606	0	0.000114898506319418	0.00815779394867867	0	0	0	0	0	0.00015319800842589	0	0.0397548831865186	0.000574492531597089	0.000497893527384144	0.000114898506319418	0.00149368058215243	0.0012638835695136	0.000497893527384144	0	7.65990042129452e-05
CS.280	0	0.00280278579921862	0.000106166128758281	0.0318923050789876	0.000382198063529811	0.0041192457958213	0.00477747579412264	0.0522762018005775	0.00382198063529811	0.000870562255817904	0	0.00762272804484457	0	0.00142262612536096	2.12332257516562e-05	0.000785629352811279	0.00125276031934772	0	0	0.0111686767453712	0.000191099031764906	0.000233565483268218	0.0195558009172754	0.000806862578562935	2.12332257516562e-05	0.180843383726856	0.0272846950908782	0	0.000254798709019874	0.00197468999490403	0.000509597418039749	0.0183455070494309	6.36996772549686e-05	0.000212332257516562	0.000191099031764906	0.0041192457958213	0	0.000297265160523187	0.0227832512315271	4.24664515033124e-05	2.12332257516562e-05	0.000191099031764906	0.0255648038049941	0.000743162901307967	0	0.0015500254798709	0	0.000212332257516562	0.000254798709019874	4.24664515033124e-05	0.00796245965687107	0.000573297095294717	0.0367122473246136	0.000870562255817904	0.000997961610327841	0.00142262612536096	0.00165619160862918	0.000382198063529811	0.0032486835400034	0.0115084083573977	8.49329030066248e-05	0.0399184644131136	0.000212332257516562	0.00437404450484118	0.0171564464073382	0	0.00428911160183455	0	0.00129522677085103	4.24664515033124e-05	2.12332257516562e-05	0.00630626804824189	8.49329030066248e-05	0	0.000467130966536436	0.000276031934771531	2.12332257516562e-05	0.000934261933072872	0.000106166128758281	0.00016986580601325	0.0272846950908782	0.00016986580601325	0.00197468999490403	0.0157975199592322	0.000191099031764906	0.000318498386274843	0.027666893154408	0.000297265160523187	0.0242271105826397	0.001358926448106	0.0117844402921692	0.00248428741294377	0.000467130966536436	0	0.0504289111601835	0.011423475454391	0.000127399354509937	0.000191099031764906	0.00811109223713266	0.00456514353660608	0.00110412773908612	0.00692203159503992	0.0279004586376762	0	0.00161372515712587	0	2.12332257516562e-05	0.00596653643621539	0.00779259385085782	0	0	0.000233565483268218	6.36996772549686e-05	0.021615423815186	0	0.000212332257516562	6.36996772549686e-05	0	0.0249065738066927	0	0.018218107694921	0	0.00775012739935451	2.12332257516562e-05	0.00114659419058943	0	0.0035884151520299	0.0966111771700357	0.000148632580261593	0.000636996772549686	0.0012102938678444	0.00273908612196365	0
CS.105	0.00225647138964578	0.0151566757493188	0.00136239782016349	0.00934519754768392	0.000106437329700272	0	0.00568375340599455	0.0538147138964578	0.00753576294277929	0.000510899182561308	0	0.000106437329700272	0	0.00138368528610354	0	0.0142413147138965	0.0125596049046322	0	0	0.00389560626702997	0.00106437329700272	0.0030866825613079	0.00485354223433242	0	0.000638623978201635	0.276843494550409	0.0549855245231608	0	0.00478967983651226	2.12874659400545e-05	0.00438521798365123	0	0	0.000276737057220708	4.2574931880109e-05	0.0019158719346049	0.000234162125340599	0.000361886920980926	0.0019158719346049	4.2574931880109e-05	2.12874659400545e-05	0.00649267711171662	0.0153908378746594	0.000212874659400545	0.000149012261580381	0.00129853542234332	0.00019158719346049	0.000340599455040872	0.000127724795640327	0	0.00391689373297003	0.0028525204359673	0.00283123297002725	0.00364015667574932	0.000447036784741144	0.000468324250681199	8.5149863760218e-05	0.000532186648501362	0.00127724795640327	0.0259281335149864	0.000319311989100817	0.0231181880108992	0.000106437329700272	0.00112823569482289	0.0388922002724796	0	0.00974965940054496	2.12874659400545e-05	0.0157314373297003	2.12874659400545e-05	4.2574931880109e-05	0.00915361035422343	0.000638623978201635	2.12874659400545e-05	0.00461938010899183	0.00189458446866485	0.000234162125340599	4.2574931880109e-05	2.12874659400545e-05	6.38623978201635e-05	0.0181582084468665	0.000979223433242507	0.00112823569482289	0.00745061307901907	0.000447036784741144	0	0.000298024523160763	0	0.00796151226158038	4.2574931880109e-05	0.00853627384196185	0.000212874659400545	6.38623978201635e-05	0	0.0728031335149864	0.00940905994550409	4.2574931880109e-05	0.000255449591280654	0.0415318460490463	0.00515156675749319	0.00042574931880109	0.00430006811989101	0.0356777929155313	8.5149863760218e-05	0.0137729904632153	0	2.12874659400545e-05	0.00195844686648501	0.0654589577656676	0.00061733651226158	0.00244805858310627	0	0.000766348773841962	4.2574931880109e-05	0	0.000212874659400545	0.00042574931880109	0.000127724795640327	0	2.12874659400545e-05	0	0.000149012261580381	0.0030866825613079	2.12874659400545e-05	0.0195631811989101	0.00106437329700272	0.00223518392370572	0	0.00834468664850136	0.000894073569482289	0.00430006811989101	0.000383174386920981	0
CS.043	7.70445702839092e-05	0.000577834277129319	0.00208020339766555	0.00300473824107246	0	0.000731923417697138	0.00285064910050464	0.0437613159212605	0.00581686505643515	3.85222851419546e-05	0.000192611425709773	0.00134827997996841	7.70445702839092e-05	0.00192611425709773	0	0.000192611425709773	0.196232520513117	0.000231133710851728	3.85222851419546e-05	0.0114025964020186	0.00130975769482646	0	0.00878308101236565	0	0	0.0846719827420163	0	0	0.011864863823722	0.000115566855425864	0.0141762009322393	0.000115566855425864	0	3.85222851419546e-05	0	0.00346700566277592	0.000115566855425864	0	0.00200315882738164	0.0028891713856466	0.000808967987981047	0.00951500443006279	0.0459185638892099	0	0.000115566855425864	0.00612504333757078	0.00050078970684541	0.00188759197195578	0.000192611425709773	0	0.00720366732154551	0.001694980546246	0.00327439423706614	0.00997727185176625	0.000539311991987365	0.00254247081936901	0.000154089140567818	0.000231133710851728	0.00654878847413229	0.0310489618244154	0	0.0411032782464656	3.85222851419546e-05	0.00100157941369082	0.0494240918371278	3.85222851419546e-05	0.0281597904387688	0	0.0148696020647945	7.70445702839092e-05	7.70445702839092e-05	0.00435301822104087	0.000423745136561501	3.85222851419546e-05	0.00785854616895874	0.000924534843406911	0.00658731075927424	0.000886012558264956	0	3.85222851419546e-05	0.0298162486998729	0.00250394853422705	0.00161793597596209	0.0165260603258985	7.70445702839092e-05	0	0.00616356562271274	0.00184906968681382	0.000616356562271274	0.000577834277129319	0.0113640741168766	0.000577834277129319	0	0.00104010169883277	0.0605955545282946	0.0148310797796525	0.00681844447012597	0.000808967987981047	0.0504256712508186	0.00835933587580415	0.00793559073924265	0.00666435532955815	0.00859046958665588	0.000423745136561501	0.0117107746831542	7.70445702839092e-05	0	0	0.027158211025078	0	0	0	0	0	0	0.000924534843406911	0	0	0	0	0	0.000192611425709773	7.70445702839092e-05	7.70445702839092e-05	0.0189914865749836	3.85222851419546e-05	0.0045841519318926	3.85222851419546e-05	0.00512346392387996	0.00412188451018914	0.000886012558264956	0.000808967987981047	0
CS.094	0	0	0.000344669117647059	0.00399241727941176	0	0	0	0.0793026194852941	0	0.000545726102941176	0.00212545955882353	0.000402113970588235	0	0.000574448529411765	0	0	0.0388614430147059	0	0	0.00390625	0.00152228860294118	0.00100528492647059	0.000201056985294118	0.00244140625	0	0.233312270220588	0	0	0.00120634191176471	0	0.0113453584558824	0	0	0	0	0.00126378676470588	0	0	0.00663488051470588	0	0	0.00212545955882353	0.00896139705882353	0	0.000229779411764706	0.000459558823529412	0	0.0009765625	2.87224264705882e-05	0	0	0.00330307904411765	0.00448069852941176	0.00413602941176471	0	0.000315946691176471	0	2.87224264705882e-05	2.87224264705882e-05	0.0167451746323529	0	0.00224034926470588	0	0.000459558823529412	0.0390337775735294	0	0.00427964154411765	0	0.00738166360294118	2.87224264705882e-05	2.87224264705882e-05	0.000373391544117647	0.00132123161764706	0	0.00496897977941176	0.000172334558823529	0	0	0	0	0.0373104319852941	0.000919117647058824	0.000517003676470588	0.00473920036764706	0	0	0.00143612132352941	0	0.000402113970588235	2.87224264705882e-05	0.00126378676470588	0	0	0	0.0741038602941176	0.00129250919117647	0	0.000459558823529412	0.0377125459558824	0.000430836397058824	0.00407858455882353	0.0142176011029412	0	0.000172334558823529	0.00772633272058824	0	0.000229779411764706	5.74448529411765e-05	0	0	0	0	0.000344669117647059	0.0414751838235294	0	0	0.0186121323529412	0	0	0	0	0	0.00267118566176471	0	0.00686465992647059	0	0.00106272977941176	0.247443704044118	0.000631893382352941	0.000402113970588235	0	0	0
CS.038	0	0.0158402621836499	0.000121381319414942	0.0123202039206166	3.03453298537355e-05	0	0.00534077805425745	0.0286459913819263	0.008375311039631	0.00221520907932269	0	3.03453298537355e-05	0	0.00394489288098562	0	0	0.0199975723736117	0	0	0	0	0.00106208654488074	0.000121381319414942	0	0	0.376828306123688	0.000151726649268678	0	0.00130484918371063	0	0.0018814104509316	0	0	0.000303453298537355	0	0.00172968380166292	0.000212417308976149	0.000455179947806033	0.0120167506220793	0	0	0.00467318079747527	0.008375311039631	0	0	0.000667597256782181	0	0.000394489288098562	6.0690659707471e-05	0	0.000303453298537355	0.00330764095405717	0.0535291618619894	0.00394489288098562	0.000121381319414942	0.000667597256782181	0	0.00585664866177095	0	0.0566850761667779	0	0.0201189536930266	0	0.00473387145718274	0.0241548825635735	0	0.00191175578078534	0.000515870607513504	0.00980154154275657	0	9.10359895612065e-05	0.00449110881835286	0.000212417308976149	0	0.0136250531043272	0.00528008739454998	0.000485525277659768	3.03453298537355e-05	0	3.03453298537355e-05	0.034077805425745	0.000788978576197123	0.000364143958244826	0.000788978576197123	0.000212417308976149	0	0.00112277720458821	0	0.00579595800206348	3.03453298537355e-05	0.00940705225465801	3.03453298537355e-05	0.000728287916489652	0	0.0615403289433756	0.0183892698913637	3.03453298537355e-05	3.03453298537355e-05	0.0353826546094556	0.00060690659707471	0.00118346786429568	0.0156885355343813	6.0690659707471e-05	3.03453298537355e-05	0.00968016022334163	0	0.000242762638829884	0.00142623050312557	0.0563512775383868	6.0690659707471e-05	0	0	0	0.00634217393943072	0	0.000849669235904594	0	0	0	0	0	0	0.00309522364508102	0	0.0116526066638344	3.03453298537355e-05	0.000212417308976149	3.03453298537355e-05	0.000121381319414942	0.0013655398434181	0.00373247557200947	0.000303453298537355	0
L.031.M1	0.0580615549379096	0.000254991457786164	0.00130045643470944	0.058036055792131	0	0.00242241884896856	0.00063747864446541	0.0775174031669939	0.00910319504296606	0.0049723334268302	2.54991457786164e-05	0.003722875283678	0	0.00112196241425912	0.000866970956472958	0.00035698804090063	0.0497743325598592	0.000101996583114466	0.000280490603564781	0.00063747864446541	0.000254991457786164	0.00191243593339623	0.00112196241425912	0	0	0.0177729046076956	0.000178494020450315	0.00721625825534845	0.000331488895122013	0	0.00385037101257108	2.54991457786164e-05	2.54991457786164e-05	0.00071397608180126	0.000152994874671699	0.00247341714052579	2.54991457786164e-05	0.00145345130938114	0.00270290945253334	0.000101996583114466	0.00112196241425912	0.000662977790244027	0.0221587576816177	0.00168294362138868	0.000152994874671699	0.00548231634240253	0.000688476936022643	0.00346788382589183	0.000535482061350945	2.54991457786164e-05	0.0190988601881837	0.00130045643470944	0.0143305199275824	0.00678277277711197	0.00221842568273963	0.00385037101257108	0.00629828900731825	0.0150699951551623	0.0305989749343397	0.0219547645153887	0.0021674273911824	0.00953668052120254	0.00109646326848051	0.00214192824540378	0.0346788382589183	2.54991457786164e-05	0.00790473519137109	2.54991457786164e-05	0.00764974373358493	2.54991457786164e-05	0.00063747864446541	0.0105821454981258	0.000280490603564781	0.000611979498686794	0.00239691970318994	0.000178494020450315	0.000280490603564781	0.00063747864446541	0	0.000433485478236479	0.00999566514521764	0.00181043935028177	0.00407986332457863	0.0650993191728077	0.00265191116097611	0	0.00423285819925033	2.54991457786164e-05	0.0107861386643547	0.00359537955478491	0.0218272687864957	0.000790473519137109	2.54991457786164e-05	0	0.0313894484534768	0.00160644618405283	0.000101996583114466	0.0108626361016906	0.0252696534666089	0.0229492312007548	0.00122395899737359	0.00846571639850065	0.0337863681566668	0.00135145472626667	0.0194303490833057	2.54991457786164e-05	0	0.00211642909962516	0.0110666292679195	0.000152994874671699	0.00239691970318994	0	0.000305989749343397	0.0350103271540403	0	7.64974373358493e-05	0.00397786674146416	0.000152994874671699	0.000178494020450315	7.64974373358493e-05	2.54991457786164e-05	0.000382487186679246	0.000127495728893082	0	0.000229492312007548	0.00509982915572328	0.00272840859831196	0.00150444960093837	0.00453884794859372	0.0237142055741133	0	0.000305989749343397	0.0445215085294643
