g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.007	0.000979581174626671	2.17684705472593e-05	0.000565980234228743	0.0459314728547172	2.17684705472593e-05	4.35369410945187e-05	0.00282990117114372	0.0387696460446689	0.00589925551830728	0.00143671905611912	4.35369410945187e-05	0.00328703905263616	2.17684705472593e-05	0.00457137881492446	0.00152379293830815	0.0193304018459663	0.00659584657581958	2.17684705472593e-05	2.17684705472593e-05	0	0.000130610823283556	0	0.0263833863032783	0	0	0.288649919456659	4.35369410945187e-05	0	0.00067482258696504	0.000696591057512299	8.70738821890374e-05	0	0	4.35369410945187e-05	0.00102311811572119	0.000152379293830815	0	0.00132787670338282	0	6.5305411641778e-05	0.00494144281422787	0.0164351952631808	0.000130610823283556	0	0.000740127998606818	0.000174147764378075	0.00111019199791023	2.17684705472593e-05	0.00165440376159171	0.00206800470198964	6.5305411641778e-05	0.00304758587661631	0.000565980234228743	0.00143671905611912	4.35369410945187e-05	0.000239453176019853	0.000457137881492446	0.035003700639993	4.35369410945187e-05	0.00881623057164004	6.5305411641778e-05	0.00145848752666638	0.0294309721798946	0	0.0181549044364143	4.35369410945187e-05	0.0213548696068614	0	0.000130610823283556	0.00531150681353128	0.000261221646567112	2.17684705472593e-05	0.00748835386825722	4.35369410945187e-05	0.000239453176019853	0.000217684705472594	0	4.35369410945187e-05	0.0481083199094432	0.00102311811572119	0.000827201880795855	0.00296051199442727	8.70738821890374e-05	0.000108842352736297	0.000108842352736297	0	0.0161086682049719	0.00141495058557186	0.00933867386477426	0.000805433410248596	0.000587748704776002	0	0.0726631546867517	0.0197440027863642	0.000217684705472594	0.000195916234925334	0.052875614959293	0.00102311811572119	0.00156732987940267	0.00822848186686403	0.0101658757455701	4.35369410945187e-05	0.0409464930993948	0	0	0	0.0276459575950194	0	0	0.00709652139840655	0.00100134964517393	0.0142583482084549	0	0	0	0	0.000282990117114372	0	0	0	0	0	0	0.0325438634681527	8.70738821890374e-05	0.00929513692367974	0	0	6.5305411641778e-05	0.000217684705472594	2.17684705472593e-05	8.70738821890374e-05	4.35369410945187e-05
CS.265	0.0474025079233843	0.0106498159412587	0.000236225122541782	0.00281501604362291	1.96854268784819e-05	0.00505915470776984	0.000472450245083565	0.0112403787476131	0.0025000492135672	0.000984271343924093	0	0.000944900490167129	0	0.00112206933207347	0.00385834366818244	0	0.0187995826689502	3.93708537569637e-05	3.93708537569637e-05	0.00171263213842792	0.000295281403177228	0.00118112561270891	0.00279533061674442	1.96854268784819e-05	0	0.024390243902439	0.00421268135199512	0.0106104450875017	0.00622059489360027	0.00381897281442548	0.000196854268784819	0	0.00277564518986594	0.000137797988149373	0.00242130750605327	0	1.96854268784819e-05	0.00248036378668871	0	0	0.000787417075139274	0.0522254375086124	0.00159451957715703	0	0.00586625720978759	0.000570877379475974	0.000629933660111419	0.000295281403177228	0.00370086025315459	0.0080316541664206	0.0419496446780448	0.00527569440343314	0.00277564518986594	0.00454733360892931	9.84271343924093e-05	0.000669304513868383	0.0332486859977559	0.017401917360578	0.000255910549420264	0.0235043996929073	0.00084647335577472	0.00324809543494951	0.0143703616212918	0.0134451465580031	0.0112403787476131	3.93708537569637e-05	0.0133270339967322	3.93708537569637e-05	0.000295281403177228	0.0061812240398433	0.000629933660111419	1.96854268784819e-05	0.0189767515108565	0.000866158782653202	0.000236225122541782	0.00053150652571901	0.000275595976298746	0.00171263213842792	0.00253942006732416	0.00116144018583043	0.00720486623752436	0.0319297623968976	0.00110238390519498	0	0.00251973464044568	0	0.00507884013464832	0.00179137384594185	0.0358865331994724	0.00053150652571901	0.000118112561270891	0	0.0700801196873954	0.00578751550227367	0.000511821098840528	0.0143309907675348	0.0566940294100278	0.0136616862536664	0.00179137384594185	0.017323175653064	0.0104923325262308	0.000885844209531684	0.0190751786452489	1.96854268784819e-05	1.96854268784819e-05	3.93708537569637e-05	0.00281501604362291	1.96854268784819e-05	5.90562806354456e-05	0.000255910549420264	0	0.0298234217209	5.90562806354456e-05	7.87417075139274e-05	0.00053150652571901	0.00234256579853934	0.00149609244276462	0.00533475068406858	3.93708537569637e-05	0.00118112561270891	0	0.00858284611901809	1.96854268784819e-05	0.000236225122541782	0.00244099293293175	0.00354337683812673	0.000275595976298746	0.156026693438847	0.00106301305143802	0.000925215063288647	0.0002165396956633	0.00419299592511664	0.00263784720171657
L.007.M1	9.2434866431618e-05	0.00130729311096145	0.000184869732863236	6.60249045940129e-05	0.00046217433215809	0.0106300096396361	0.00343329503888867	0.0379511151606386	0.00472738316893132	0.00040935440848288	0	0.00242971648905967	0	0.00199395211873919	1.32049809188026e-05	0.00110921839717942	0.0105903946968797	0.00184869732863236	0	0.000831913797884562	0	1.32049809188026e-05	0.0168627606333109	0.00145254790106828	0	0.286482061033422	0.0518955750108941	5.28199236752103e-05	2.64099618376051e-05	6.60249045940129e-05	0.00143934292014948	1.32049809188026e-05	0.000264099618376051	5.28199236752103e-05	0.00149216284382469	0	0.000277304599294854	0.0015317777865811	0.000686659007777734	0	0.00264099618376051	0.00628557091735002	0.000845118778803365	1.32049809188026e-05	0.000541404217670905	0.000290509580213657	0.00196754215690158	7.92298855128154e-05	0.00171664751944433	0.00246933143181608	0.0188038928283749	0.00175626246220074	0.00150536782474349	0.000303714561132459	0.00139972797739307	3.96149427564077e-05	0.000198074713782039	0.0328275825641432	9.2434866431618e-05	0.0100093755364524	0.000105639847350421	0.000950758626153785	0.0392452032906812	0.00174305748128194	0.0112506437428198	2.64099618376051e-05	0.00796260349403795	1.32049809188026e-05	0.000105639847350421	0.00272022606927333	0.000290509580213657	0	0.00396149427564077	0.00161100767209391	0.000937553645234983	0.000356534484807669	0.000686659007777734	2.64099618376051e-05	0.0195565767407466	0.000250894637457249	0.000316919542051262	0.00239010154630327	0.000158459771025631	9.2434866431618e-05	0.0146839387817085	0	0.0247329292609172	0.00478020309260653	0.00425200385585443	0.000171664751944433	0	0	0.0943627936457632	0.0051103276155766	5.28199236752103e-05	6.60249045940129e-05	0.0182360786488664	0.00191472223322637	0.0015185728056623	0.00388226439012796	0.0551175903550819	1.32049809188026e-05	0.00875490234916611	0	5.28199236752103e-05	0.00414636400850401	0.0198470863209603	1.32049809188026e-05	0	0.00886054219651653	0.000369739465726472	0.0239802453485455	0	0.000660249045940129	0.00345970500072627	0	2.64099618376051e-05	0	0	0	0	0.00106960345442301	0	0.00122806322544864	0	0.000567814179508511	0.000237689656538446	0.0483434351437362	0.0092434866431618	0.00371059963818352	0.00378982952369634	0.000171664751944433	0
CS.176	0	0	0.000679194023092597	0.0360255829748698	5.65995019243831e-05	0.0023488793298619	0	0.10394498528413	0	0.002660176590446	0.00144328729907177	5.65995019243831e-05	0.000198098256735341	0.00529205342992982	0	5.65995019243831e-05	0.0894838125424496	0	0	0	0.00373556712700928	0.0102728095992755	0	0	0	0.135697305863708	0	0	0.0383178628028073	0.019951324428345	0	0	0.000198098256735341	0.000339597011546298	0.00226398007697532	0.000141498754810958	0.000396196513470681	0.00135838804618519	2.82997509621915e-05	0	0.0155648630292053	0.0204324201947023	0.00127348879329862	0.000339597011546298	0.00421666289336654	0.000169798505773149	0.00169798505773149	0.000254697758659724	0.0143479737378311	0.00169798505773149	0.00178288431061807	0.00390536563278243	0.000565995019243831	0.00294317410006792	8.48992528865746e-05	0.000339597011546298	0.00107539053656328	0.0259508716323296	0.000198098256735341	0.0445155082635273	8.48992528865746e-05	0.00144328729907177	0.0463266923251075	0	0.0189042336427439	0.000452796015395065	0.0128197871858728	0	8.48992528865746e-05	0.00764093275979171	0.000877292279827938	0.000226398007697532	0.00984831333484265	0.00591464795109803	0.000509395517319448	0.000339597011546298	0	0	0.018621236133122	0.00189608331446683	0.00387706588182024	0.00798052977133801	0.000169798505773149	2.82997509621915e-05	0.00073579352501698	0	0.0241113878197872	0.000141498754810958	0.0132159836993434	0.000509395517319448	0	5.65995019243831e-05	0.0851539506452343	0.00280167534525696	0.00192438306542902	0.001330088295223	0.0594294770206022	0.00956531582522074	0.00345256961738737	0.00755603350690514	0	2.82997509621915e-05	0	8.48992528865746e-05	0.000169798505773149	0.000198098256735341	0	2.82997509621915e-05	0	0	0.000141498754810958	0.00962191532714512	0	0.000396196513470681	0	2.82997509621915e-05	0	0.000396196513470681	0	0	2.82997509621915e-05	0	0	0.00973511433099389	0.000113199003848766	0.0110086031242925	0	0	0.00356576862123613	0.000792393026941363	0.00396196513470681	0.000933891781752321	0.00863142404346842
CS.038	0	0.0158402621836499	0.000121381319414942	0.0123202039206166	3.03453298537355e-05	0	0.00534077805425745	0.0286459913819263	0.008375311039631	0.00221520907932269	0	3.03453298537355e-05	0	0.00394489288098562	0	0	0.0199975723736117	0	0	0	0	0.00106208654488074	0.000121381319414942	0	0	0.376828306123688	0.000151726649268678	0	0.00130484918371063	0.0018814104509316	0	0	0.000303453298537355	0	0.00172968380166292	0.000212417308976149	0.000455179947806033	0.0120167506220793	0	0	0.00467318079747527	0.008375311039631	0	0	0.000667597256782181	0	0.000394489288098562	6.0690659707471e-05	0.000303453298537355	0.00330764095405717	0.0535291618619894	0.00394489288098562	0.000121381319414942	0.000667597256782181	0	0.00585664866177095	0	0.0566850761667779	0	0.0201189536930266	0	0.00473387145718274	0.0241548825635735	0	0.00191175578078534	0.000515870607513504	0.00980154154275657	0	9.10359895612065e-05	0.00449110881835286	0.000212417308976149	0	0.0136250531043272	0.00528008739454998	0.000485525277659768	3.03453298537355e-05	0	3.03453298537355e-05	0.034077805425745	0.000788978576197123	0.000364143958244826	0.000788978576197123	0.000212417308976149	0	0.00112277720458821	0	0.00579595800206348	3.03453298537355e-05	0.00940705225465801	3.03453298537355e-05	0.000728287916489652	0	0.0615403289433756	0.0183892698913637	3.03453298537355e-05	3.03453298537355e-05	0.0353826546094556	0.00060690659707471	0.00118346786429568	0.0156885355343813	6.0690659707471e-05	3.03453298537355e-05	0.00968016022334163	0	0.000242762638829884	0.00142623050312557	0.0563512775383868	6.0690659707471e-05	0	0	0	0.00634217393943072	0	0.000849669235904594	0	0	0	0	0	0	0	0.00309522364508102	0	0.0116526066638344	3.03453298537355e-05	0.000212417308976149	0	3.03453298537355e-05	0.000121381319414942	0.0013655398434181	0.00373247557200947	0.000303453298537355	0
CS.217	0.000804206619239097	0.0236931642437365	0.0039901020723786	0.0105474791215589	3.09310238168883e-05	0.00340241261985772	0.00374265388184349	0.0371790906278998	0.00971234147850294	0.00145375811939375	0	0.00377358490566038	0	0.00315496442932261	3.09310238168883e-05	0.00173213733374575	0.00250541292916796	0	3.09310238168883e-05	0.0013300340241262	0.00037117228580266	0.00074234457160532	0.00931023816888339	0.00222703371481596	0	0.200711413547788	0.0330652644602536	0	0.000680482523971544	0.00018558614290133	0.00974327250231983	0.0191772347664708	0.00160841323847819	6.18620476337767e-05	0.00191772347664708	0.00018558614290133	0.00856789359727807	0.00247448190535107	0.00686668728734921	0.00269099907206929	0.144509743272502	0.00961954840705227	0.000494896381070213	3.09310238168883e-05	0.00355706773894216	3.09310238168883e-05	0.000896999690689762	0	0.00114444788122487	0.00389730900092793	0.00893906588308073	0.00262913702443551	0.000463965357253325	0.0010516548097742	0.00541292916795546	0.000123724095267553	0.00253634395298484	0.0231673368388494	9.2793071450665e-05	0.0200433034333436	6.18620476337767e-05	0.000278379214351995	0.0229198886483143	0.0224868543148778	0.035725332508506	0	0.00275286111970306	0	0	0.00247448190535107	0.000247448190535107	0	0.0055675842870399	0.000278379214351995	6.18620476337767e-05	0.000123724095267553	6.18620476337767e-05	3.09310238168883e-05	0.0112279616455305	0.0010516548097742	0.000649551500154655	0.00643365295391277	0.00018558614290133	3.09310238168883e-05	0.00330961954840705	6.18620476337767e-05	0.00572223940612434	0.000773275595422209	0.00989792762140427	0.000154655119084442	0	0	0.0349829879369007	0.0131766161459944	0.000123724095267553	0.000711413547788432	0.0199195793380761	0.00269099907206929	0.000804206619239097	0.00720692854933498	0.00330961954840705	0	0.00658830807299722	0	0	0.0055675842870399	0.0279307145066502	0	0	0.00612434271574389	0.000216517166718218	0.0119703062171358	0	0.0131456851221775	6.18620476337767e-05	9.2793071450665e-05	0.00256727497680173	0.000154655119084442	3.09310238168883e-05	0.000123724095267553	0	0.00918651407361584	6.18620476337767e-05	0.0031858954531395	3.09310238168883e-05	0.00204144757191463	9.2793071450665e-05	0.00943396226415094	0.0167336838849366	0.00906278997834828	0.0106402721930096	6.18620476337767e-05	0
CS.086	0	0.0149892933618844	0.00042263045193283	0.0636481460610842	0	0.00760734813479094	2.81753634621887e-05	0.0609714865321763	0.00698749013862279	0.00264848416544573	0	0.00910064239828694	0	0.0012397159923363	0.000394455088470641	0.00231037980389947	0.020314437056238	0	0	0.00512791615011834	0.000140876817310943	0.000281753634621887	0.00718471768285811	0	0.000169052180773132	0.260593936661783	0.0240617603967091	0	0.000450805815395019	0.00115518990194974	0	0	0.000901611630790037	0.000253578271159698	0.00183139862504226	0.000197227544235321	0.000478981178857207	0.00346556970584921	0.000169052180773132	5.63507269243773e-05	0.00388820015778204	0.0240054096697847	0.00177504789811789	8.4526090386566e-05	0.00140876817310943	0.000225402907697509	0.00115518990194974	8.4526090386566e-05	0.000366279725008453	0.0102276569367745	0.00205680153273977	0.00267665952890792	0.000704384086554717	0.00163417108080694	0.00211315225966415	0.00115518990194974	0.000394455088470641	0.048095345429956	0.000169052180773132	0.0154400991772794	0.000169052180773132	0.0176941282542545	0.0403752958413164	0.000760734813479094	0.0390510537585935	0	0.0163698861715316	2.81753634621887e-05	0.000112701453848755	0.00264848416544573	8.4526090386566e-05	5.63507269243773e-05	0.00673391186746309	0.00343739434238702	0.000281753634621887	0.000253578271159698	0.000394455088470641	0.000281753634621887	0.0200608587850783	0.000873436267327849	0.001493294263496	0.00439535670010143	5.63507269243773e-05	0	0.000563507269243773	5.63507269243773e-05	0.0114110222021864	0.000169052180773132	0.00493068860588302	0.000338104361546264	8.4526090386566e-05	2.81753634621887e-05	0.0542939253916376	0.00712836695593373	0.000197227544235321	0.00262030880198355	0.0498422179646117	0.00183139862504226	0.00169052180773132	0.00205680153273977	0.0121717570156655	2.81753634621887e-05	0.00848078440211879	0	0	5.63507269243773e-05	0.002986588526992	0.000788910176941283	0	0	0.000197227544235321	0.0244562154851798	0	0.00135241744618506	5.63507269243773e-05	0	0.004479882790488	0.000676208723092528	0	0	2.81753634621887e-05	0.0133832976445396	0.000366279725008453	0.000901611630790037	0.000169052180773132	0.000619857996168151	0	0.000563507269243773	0.0022258537135129	0.000732559450016905	0.0022258537135129	0.00619857996168151	0.000338104361546264
L.022.M1	0.0104308699209163	0.0103286064903191	0.000102263430597218	0.0011248977365694	3.40878101990728e-05	0.0058971911644396	0.000715844014180529	0.0862762476138533	0.0207935642214344	0.0147259340059995	0	0.016396236705754	0	0.0127488410144532	3.40878101990728e-05	0.000443141532587947	0.00330651758931006	0.0119648213798746	0	0.00197709299154622	0.000477229342787019	0	0.00886283065175893	0.000647668393782383	0	0.0884237796563949	0.00293155167712026	0.000443141532587947	0.000170439050995364	0.000204526861194437	0.0147600218161985	0.0016362148895555	0.0143850559040087	0.000443141532587947	0.00368148350149986	0.000102263430597218	6.81756203981456e-05	0.000477229342787019	0	0.000409053722388874	0.00719252795200436	0.0417575674938642	0.00398827379329152	0	0.00876056722116171	0	0.00327242977911099	0.000681756203981456	0.00668121079901827	0.00449959094627761	0.00132942459776384	0.00344286883010635	0.00235205890373602	0.00780610853558767	0.00085219525497682	0.0023861467139351	0.0103286064903191	0.0446209435505863	0.000886283065175893	0.014044177802018	0.000374965912189801	0.00272702481592582	0.0553245159530952	0.00541996182165258	0.0186801199890919	0	0.0251568039269157	3.40878101990728e-05	0.000511317152986092	0.00306790291791655	0.00129533678756477	0	0.00709026452140714	0.00156803926915735	0.00749931824379602	0	6.81756203981456e-05	0.00023861467139351	0.0161235342241614	0.00139760021816199	0.0120670848104718	0.00872647941096264	0.00146577583856013	0	0.00119307335696755	0	0.00484046904826834	0.000272702481592582	0.0163280610853559	0.00156803926915735	3.40878101990728e-05	0	0.0780269975456777	0.00562448868284701	0.000920370875374966	0.00194300518134715	0.0194300518134715	0.0109762748841014	0.00412462503408781	0.0118284701390783	0.0343264248704663	6.81756203981456e-05	0.00620398145623125	0	3.40878101990728e-05	0.000204526861194437	0.0223956913007908	0	0.000306790291791655	0.0046359421870739	0	0.00831742568857377	0.000647668393782383	0.000715844014180529	0	0.000409053722388874	0.000954458685574039	0.000340878101990728	0	0.00415871284428688	6.81756203981456e-05	0.00207935642214344	0.000136351240796291	0.00109080992637033	0.00146577583856013	0.00405644941368966	3.40878101990728e-05	0.00446550313607854	0.00146577583856013	0.00306790291791655	0.00122716116716662	0.00616989364603218	0.00685164985001364
CS.261	0.0125114433933476	0.000586840684490974	0.000657261566629891	7.04208821389169e-05	0.000258209901176029	0.00124410225112087	0.00286378254031596	0.0327222365672167	0.00445998920213141	0.000516419802352057	0	0.00211262646416751	0	0.000821576958287364	2.3473627379639e-05	0.00161968028919509	0.0261496209009178	0.0185676392572944	0	0.00769934978052158	0.000845050585667003	0.00023473627379639	0.0166193281847844	0.000821576958287364	0	0.165324757634797	0.0104457641839393	0.00413135841881646	0.0012675758785005	0.000258209901176029	0.0210323701321565	0.0193422689608225	0.00169010117133401	7.04208821389169e-05	0.00420177930095538	4.6947254759278e-05	2.3473627379639e-05	0.000140841764277834	0.00023473627379639	0.00103283960470411	0.000187789019037112	0.0284735100115021	0.000586840684490974	2.3473627379639e-05	0.00678387831271566	0.000610314311870613	0.00115020774160231	0.000164315391657473	0.00880261026736462	0.00309851881411234	0.0100701861458651	0.00413135841881646	0.00154925940705617	0.00368535949860332	0.00260557263913993	0.000352104410694585	0.00929555644233704	0.0301401375554564	0.000610314311870613	0.0411492687965071	0.000117368136898195	0.000328630783314946	0.020868054740499	2.3473627379639e-05	0.0386610642942654	0.000140841764277834	0.00920166193281848	0	0.000328630783314946	0.00284030891293632	0.00046947254759278	4.6947254759278e-05	0.00842703222929039	0.00420177930095538	0	0.000492946174972418	4.6947254759278e-05	0.0012675758785005	0.00366188587122368	0.00190136381775076	0.00490598812234455	0.0221591042463792	0.00103283960470411	2.3473627379639e-05	0.00213610009154715	0	0.0159385929907749	0.00110326048684303	0.0363606488110608	0.000187789019037112	2.3473627379639e-05	0	0.110255627802164	0.00260557263913993	0.000727682448768808	0.0146005962301354	0.0340837069552358	0.0110326048684303	0.00288725616769559	0.00960071359827234	0.00929555644233704	9.38945095185559e-05	0.0176052205347292	9.38945095185559e-05	4.6947254759278e-05	0.000727682448768808	0.0272763550151405	2.3473627379639e-05	0	0	9.38945095185559e-05	0.0055397760615948	0	9.38945095185559e-05	0	0.00246473087486209	0.0131217577052182	0.000328630783314946	2.3473627379639e-05	0	2.3473627379639e-05	0.00673693105795639	0	0.00131452313325978	0.000140841764277834	0.0102345015375226	2.3473627379639e-05	0.00112673411422267	0.00131452313325978	0.00389662214502007	0.00115020774160231	0.00115020774160231	4.6947254759278e-05
CS.043	7.70445702839092e-05	0.000577834277129319	0.00208020339766555	0.00300473824107246	0	0.000731923417697138	0.00285064910050464	0.0437613159212605	0.00581686505643515	3.85222851419546e-05	0.000192611425709773	0.00134827997996841	7.70445702839092e-05	0.00192611425709773	0	0.000192611425709773	0.196232520513117	0.000231133710851728	3.85222851419546e-05	0.0114025964020186	0.00130975769482646	0	0.00878308101236565	0	0	0.0846719827420163	0	0	0.011864863823722	0.0141762009322393	0.000115566855425864	0	3.85222851419546e-05	0	0.00346700566277592	0.000115566855425864	0	0.00200315882738164	0.0028891713856466	0.000808967987981047	0.00951500443006279	0.0459185638892099	0	0.000115566855425864	0.00612504333757078	0.00050078970684541	0.00188759197195578	0.000192611425709773	0.00720366732154551	0.001694980546246	0.00327439423706614	0.00997727185176625	0.000539311991987365	0.00254247081936901	0.000154089140567818	0.000231133710851728	0.00654878847413229	0.0310489618244154	0	0.0411032782464656	3.85222851419546e-05	0.00100157941369082	0.0494240918371278	3.85222851419546e-05	0.0281597904387688	0	0.0148696020647945	7.70445702839092e-05	7.70445702839092e-05	0.00435301822104087	0.000423745136561501	3.85222851419546e-05	0.00785854616895874	0.000924534843406911	0.00658731075927424	0.000886012558264956	0	3.85222851419546e-05	0.0298162486998729	0.00250394853422705	0.00161793597596209	0.0165260603258985	7.70445702839092e-05	0	0.00616356562271274	0.00184906968681382	0.000616356562271274	0.000577834277129319	0.0113640741168766	0.000577834277129319	0	0.00104010169883277	0.0605955545282946	0.0148310797796525	0.00681844447012597	0.000808967987981047	0.0504256712508186	0.00835933587580415	0.00793559073924265	0.00666435532955815	0.00859046958665588	0.000423745136561501	0.0117107746831542	7.70445702839092e-05	0	0	0.027158211025078	0	0	0	0	0	0	0.000924534843406911	0	0	0	0	0	0	7.70445702839092e-05	7.70445702839092e-05	7.70445702839092e-05	0.0189914865749836	3.85222851419546e-05	0.0045841519318926	0	3.85222851419546e-05	0.00512346392387996	0.00412188451018914	0.000886012558264956	0.000808967987981047	0
