PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.174	83.72935	1166.15909091	538	7.34763833983	0.981812971685
CS.084	84.86866	616.188679245	364	7.15972677409	0.985506861372
CS.295	60.26104	823.610169492	385	6.52059363954	0.969244078704
CS.039	63.3587	645.636363636	323	6.48697468786	0.972185428733
CS.093	77.93923	608.101694915	353	6.83245033616	0.97778766841
CS.314	66.81832	885	375	6.88235303534	0.979356330359
CS.037	47.27508	483	241	5.91222752467	0.964095191912
CS.003	73.62033	813.384615385	353	6.6694939346	0.975165538039
CS.036	63.08862	541.03125	279	6.55065721303	0.978710923083
CS.035	65.71162	685.135135135	315	6.36193399321	0.965595480755
L.006.M1	65.54753	661.270833333	362	7.24298862949	0.987928227401
L.008.M1	48.26063	775.4	342	6.22021006954	0.960181811491
CS.313	79.00583	925.982142857	435	7.31479954166	0.986734528788
L.012.M1	65.23339	965.32	406	7.06225621307	0.984788726015
CS.009	41.96573	407.117647059	221	5.88402514309	0.968875212332
CS.305	77.52314	1076.62295082	459	7.06400878246	0.977686197495
CS.042	50.70491	1049.64705882	273	6.18995964707	0.973014615949
CS.371.1	54.09516	958.701754386	395	6.39048846079	0.967608350142
CS.154	30.01407	460	156	4.85330479262	0.935241741389
CS.287	59.87732	796.4	338	6.69591888841	0.980349700127
CS.137	62.84043	551.246153846	338	6.61935329435	0.9750335823
CS.058	66.93286	614.772727273	311	6.53618051833	0.977769377515
CS.066	52.22094	475.090909091	244	6.01373183012	0.967176336634
CS.269	35.64252	530.875	244	5.63820648881	0.953633235775
CS.161	48.61543	484.303030303	238	5.83257989884	0.963981962565
CS.229	58.99669	688.53125	296	6.37016343859	0.972945371848
CS.373	63.72245	956.784313725	385	6.37312539508	0.958786477542
CS.377	58.07419	711.72	345	6.72719928304	0.981058690037
CS.115	44.6346	385.681818182	187	5.64237523597	0.963870910706
CS.327	56.35991	1193.625	403	6.35263509688	0.967896213981
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.126	72.30157	1211.87301587	476	7.0231210093	0.978482286902
