g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.174	0.00226769145547708	3.46212435950699e-05	3.46212435950699e-05	0.00515856529566542	0	0.00219844896828694	0.00221575959008448	0.0417705303974519	0.0066819000138485	0.00102132668605456	0	0.00280432073120066	0	0.0028216313529982	0.00154064533998061	0.0141947098739787	0	0	0.00211189585929927	0.000571250519318654	0	0.0214824816507409	0.00102132668605456	0	0.206377233070212	0.0531089876748373	0.00020772746157042	3.46212435950699e-05	0.00167913031436089	0.00628375571250519	0	6.92424871901399e-05	3.46212435950699e-05	0.00226769145547708	0	0	0.00328901814153164	0	0	0.00100401606425703	0.0134157318930896	8.65531089876748e-05	1.7310621797535e-05	0.00176568342334857	0.000259659326963025	0.000328901814153164	0.00017310621797535	0	0.000571250519318654	0.0035140562248996	0.00976319069380972	0.00538360337903337	0.000415454923140839	0.000605871762913724	0.000796288602686609	0.00017310621797535	0.000588561141116189	0.0387238609610857	6.92424871901399e-05	0.0318342334856668	0.000380833679545769	0.00270045700041545	0.0211882010801828	0	0.0270218806259521	1.7310621797535e-05	0.0169297881179892	0.00020772746157042	8.65531089876748e-05	0.00105594792964963	0.000259659326963025	0	0.0132599362969118	0.00782440105248581	5.19318653926049e-05	0	0	0	0.0124636476942252	0.000917462955269353	0.00200803212851406	0.00290818446198587	0.000536629275723584	0.00024234870516549	0.00406799612242072	0	0.0150602409638554	0.00148871347458801	0.0146447860407146	5.19318653926049e-05	0	0.000190416839772885	0	0.0779151087107049	0.00862068965517241	0.000121174352582745	0.0020772746157042	0.024494529843512	0.00119443290402991	0.00244079767345243	0.00586830078936435	0.0232827863176845	8.65531089876748e-05	0.0129829663481512	1.7310621797535e-05	0.000225038083367955	0.0149217559894751	0	0	0.0164797119512533	0.000225038083367955	0.0263294557540507	0	8.65531089876748e-05	0	5.19318653926049e-05	0.0186262290541476	0.00169644093615843	0.00308129067996122	3.46212435950699e-05	0.0121520565018695	0	0.00832640908461432	0.000294280570558094	0.00547015648802105	0.00133291787841019	0.0855144716798227	0.00017310621797535	6.92424871901399e-05	0.000796288602686609	0	6.92424871901399e-05
CS.084	0.00287491752285795	0.00254500895466114	0.000565557545480253	0.00183806202281082	4.71297954566877e-05	4.71297954566877e-05	0.00160241304552738	0.0131963427278726	0.0148458855688566	0.000141389386370063	0.000141389386370063	0.00386464322744839	0	0.00405316240927514	0.00197945140918088	0.0474125742294278	0.000989725704590442	0.000188519181826751	0.00278065793194458	0.000424168159110189	0.00395890281836177	0.0405316240927514	0	0.000282778772740126	0.108351399754925	0.00278065793194458	0.000282778772740126	0.00410029220473183	0.00433594118201527	0	0	0.00607974361391272	0	0.00240361956829107	0.000141389386370063	4.71297954566877e-05	0.00160241304552738	0.000565557545480253	4.71297954566877e-05	0.00706946931850316	0.0178621924780846	0.00150815345461401	0.000188519181826751	0.00664530115939297	0.000235648977283439	0.00131963427278726	9.42595909133754e-05	9.42595909133754e-05	0.00890753134131398	0.00141389386370063	0.0286549156376661	0.0103685550004713	0.000706946931850316	0.000989725704590442	0.00287491752285795	0.000801206522763691	0.00570270525025921	0.0589122443208596	0.000282778772740126	0.0378923555471769	4.71297954566877e-05	0.00146102365915732	0.0388820812517674	0	0.0255914789329814	0	0.011923838250542	0	0.000235648977283439	0.0106984635686681	0.000659817136393628	0.000471297954566877	0.0122066170232821	0.00212084079555095	0.00150815345461401	0.000471297954566877	4.71297954566877e-05	0.000989725704590442	0.0269582430012254	0.00113111509096051	0.00183806202281082	0.0108869827504949	0.000141389386370063	0	0.0127250447733057	9.42595909133754e-05	0.0583466867753794	0.00127250447733057	0.0187576585917617	0.000989725704590442	4.71297954566877e-05	0.000471297954566877	0.000141389386370063	0.0557074182298049	0.00626826279573947	0.00207371100009426	0.00127250447733057	0.0609859553209539	0.00476010934112546	0.00113111509096051	0.0113111509096051	0.00584409463662928	0	0.017060985955321	0	0.0697992270713545	0.0215383165237063	0.000188519181826751	4.71297954566877e-05	0.000235648977283439	9.42595909133754e-05	9.42595909133754e-05	0	0.000141389386370063	0.00179093222735413	9.42595909133754e-05	0	0.00235648977283439	0	9.42595909133754e-05	4.71297954566877e-05	0.00061268734093694	0.0122537468187388	0.000188519181826751	0.0034404750683382	0	9.42595909133754e-05	0.0019323216137242	0.0019323216137242	0.000659817136393628	0.000895466113677067	0.00197945140918088
CS.295	0	4.15305387895232e-05	5.53740517193643e-05	0.0125699097402957	1.38435129298411e-05	0.00383465308156598	0.000429148900825073	0.0457804972589844	0	0.00321169499972313	0.000276870258596822	0.000207652693947616	0	0	2.76870258596822e-05	0.0764023478597929	0	0.00220111855584473	0.000484522952544438	0.00181350019380918	0.000802923749930782	0.000276870258596822	1.38435129298411e-05	0	0.260839470624066	2.76870258596822e-05	0	0.00224264909463425	0.0064372335123761	0	0	0.000332244310316186	0	0.00089982834043967	0	0.000193809181017775	0.00600808461155103	0.000747549698211418	0	0.000982889418018716	0.0151448031452461	0.000595271055983166	4.15305387895232e-05	0.000830610775790465	0	0.000844454288720306	0.000429148900825073	1.38435129298411e-05	0.00102441995680824	0.000650645107702531	0.0025610498920206	0.00598039758569135	0.000304557284456504	0.000373774849105709	0	0.000166122155158093	0.00326706905144249	0.0505288221939199	0.000207652693947616	0.0023257101722133	0.000193809181017775	0.00790464588293925	0.0535882385514148	0	0.00503903870646215	0	0.0186610554294258	6.92175646492054e-05	0	0.00466526385735644	0.000235339719807298	2.76870258596822e-05	0.00974583310260812	0	1.38435129298411e-05	0.000622958081842848	0.00110748103438729	0	0.0210698266792181	0.000567584030123484	0.000941358879229193	0.00429148900825073	0.000442992413754914	2.76870258596822e-05	0.00528822193919929	0	0.0193809181017775	9.69045905088875e-05	0.003571626335899	0.000802923749930782	9.69045905088875e-05	0.000207652693947616	0.00181350019380918	0.101735976521402	0.00805692452516751	0.00281023312475774	0.000885984827509829	0.0533805858574672	0.00051220997840412	0.000581427543053325	0.000318400797386345	0.0480646768924082	0.000415305387895232	0.0269533196744006	0.000179965668087934	0.00012459161636857	0.000166122155158093	0.0170552079295642	0	0	0.000567584030123484	0.0355639847167617	0.000526053491333961	0	0	0	0	0.00012459161636857	0	5.53740517193643e-05	0	0.00152278642228252	0.0186195248906362	0.000595271055983166	0.000152278642228252	0	5.53740517193643e-05	0.00143972534470347	0.00224264909463425	9.69045905088875e-05	4.15305387895232e-05	1.38435129298411e-05
CS.039	0	0.0012694594775172	0.000200440970134295	0.00928709828288902	0.000133627313422864	0	0.000200440970134295	0.0214471838043696	0.00227166432818868	0.000133627313422864	6.68136567114318e-05	0.000400881940268591	6.68136567114318e-05	0.000534509253691455	0.00374156477584018	0.0794414378298924	0	0.000267254626845727	0.00140308679094007	0.000200440970134295	0.000534509253691455	0.0075499432083918	0	0	0.158749248346362	0.0242533573862498	0	0.00140308679094007	0.002939800895303	0.0014699004476515	0	0	0	0.0014699004476515	0.000267254626845727	0	0.000400881940268591	0.00106901850738291	6.68136567114318e-05	0.022583015968464	0.0227834569385982	0	0.000133627313422864	0.00153671410436293	0	0.000801763880537182	0.000133627313422864	0	0.000467695596980023	0.00160352776107436	0.0251219349234984	0.0136967996258435	6.68136567114318e-05	0.000400881940268591	0.000133627313422864	0.00073495022382575	0.000334068283557159	0.111578806708091	0	0.0722923765617692	0.000267254626845727	0.0031402418654373	0.0434956905191421	6.68136567114318e-05	0.0124941538050377	0.000534509253691455	0.0217144384312153	6.68136567114318e-05	0.000200440970134295	0.00728268858154607	0.000400881940268591	0	0.0159684639540322	0.00106901850738291	0.000467695596980023	0.000868577537248614	0.000200440970134295	0	0.0746308545466693	0.0012694594775172	0.000400881940268591	0.00227166432818868	6.68136567114318e-05	0	0.00220485067147725	0.000200440970134295	0.0266586490278613	0.000534509253691455	0.00968798022315761	0.000133627313422864	0	0.000133627313422864	0	0.049976615220151	0.00547871985033741	0.000133627313422864	0.000668136567114318	0.0471036279815594	0.00140308679094007	0.000534509253691455	0.00828489343221754	0.00260573261174584	0.000200440970134295	0.00434288768624307	0	0.0016703414177858	0.0149662591033607	0	0	0.0155675820137636	0.000133627313422864	0.0115587626110777	0	6.68136567114318e-05	0	0	0	0	0	6.68136567114318e-05	0.0016703414177858	0.000133627313422864	0.00701543395470034	0.000267254626845727	0.000467695596980023	0	0.000133627313422864	0.00073495022382575	0	0.000133627313422864	0	0.000868577537248614
CS.093	0	0.085546282245827	0.000460654671580316	0.00124647734662909	8.12920008671147e-05	0.000460654671580316	0.00235746802514633	0.0450357684803815	0.00785822675048775	0.00135486668111858	0.000135486668111858	0.00216778668978972	0	0.000270973336223716	0.00121938001300672	0.00793951875135487	2.70973336223716e-05	0	0.00444396271406894	2.70973336223716e-05	5.41946672447431e-05	0.0244688922610015	0.000948406676783005	0	0.194775634077607	0.0236017775850856	0	0.000189681335356601	0.000270973336223716	0.000433557337957945	8.12920008671147e-05	0.00108389334489486	0.000216778668978972	0.00330587470192933	0.000162584001734229	0.000162584001734229	0.00186971601994364	0	0.00208649468892261	0.00655755473661392	0.0518913938868415	0.00102969867765012	0.000162584001734229	0.00186971601994364	8.12920008671147e-05	0.00146325601560806	0.000433557337957945	0.000677433340559289	0.00360394537177542	0.0064762627357468	0.0130338174723607	0.0111370041187947	0.00051484933882506	0.00216778668978972	0.000108389334489486	0.0234933882505961	0.00162584001734229	0.0321103403425103	5.41946672447431e-05	0.0122750921309343	5.41946672447431e-05	0.00298070669846087	0.0162854975070453	0.0265282896163018	0.0164751788424019	0	0.0116247561239974	0	5.41946672447431e-05	0.00211359202254498	0.00035226533709083	8.12920008671147e-05	0.00471493605029265	0.000270973336223716	0.000433557337957945	0.000975504010405376	0.000433557337957945	8.12920008671147e-05	0.0248211575980923	0.00195100802081075	0.0021948840234121	0.00336006936917407	0.000677433340559289	2.70973336223716e-05	0.00135486668111858	8.12920008671147e-05	0.0201875135486668	0.000325168003468459	0.012979622805116	0.000189681335356601	0	0.000298070669846087	0	0.0584760459570778	0.0084814654238023	8.12920008671147e-05	0.000758725341426404	0.0313245176674615	0.00224907869065684	0.00105679601127249	0.0117060481248645	0.0191036202037719	8.12920008671147e-05	0.00577173206156514	2.70973336223716e-05	0.000623238673314546	0.0257695642748754	0.00035226533709083	2.70973336223716e-05	0.0292651203121613	0.00105679601127249	0.00831888142206807	0	0.00149035334923044	8.12920008671147e-05	2.70973336223716e-05	0.000108389334489486	5.41946672447431e-05	0.00211359202254498	5.41946672447431e-05	0.00127357468025146	0	0.0039020160416215	2.70973336223716e-05	0.000948406676783005	2.70973336223716e-05	0.012979622805116	0.00945696943420767	0.00574463472794277	0.00189681335356601	0.00655755473661392	8.12920008671147e-05
CS.314	6.11489895129483e-05	0.000642064389885957	0.000519766410860061	0.079249090408781	6.11489895129483e-05	0.00308802397040389	0	0.033662518726878	0.00424985477114991	0.000244595958051793	9.17234842694224e-05	0.00131470327452839	3.05744947564741e-05	0.00198734215917082	0	0.021921912740392	0	9.17234842694224e-05	0.00431100376066285	0.000152872473782371	0.00088666034793775	0.00657351637264194	0	0.000183446968538845	0.155868774268505	0.0157458647995842	0.000183446968538845	0.00155929923258018	0.00158987372733666	0.0110679671018436	0.000122297979025897	0	0	0.00571743051946067	0	0.000794936863668328	0.00409698229736754	0.000183446968538845	3.05744947564741e-05	0.000947809337450699	0.00648179288837252	6.11489895129483e-05	0.000458617421347112	0.00464732320298407	0.000122297979025897	0.000611489895129483	0	6.11489895129483e-05	3.05744947564741e-05	0.00125355428501544	0.069190081633901	0.00908062494267282	0.000244595958051793	0.00113125630598954	0.000122297979025897	0	0.00265998104381325	0.016510227168496	0.000336319442321216	0.0338459656954169	0.000275170452808267	0.00290457700186504	0.029015195523894	3.05744947564741e-05	0.00999785978536705	0	0.0098144128168282	0.000214021463295319	0	0.00571743051946067	0.000122297979025897	0	0.00675696334118079	0.00134527776928486	0	0	3.05744947564741e-05	0.000152872473782371	0.0204849114868377	0.000428042926590638	0.00073378787415538	0.00480019567676644	6.11489895129483e-05	0.000672638884642431	0.0164490781789831	0.000122297979025897	0.0535359403185862	0.000397468431834164	0.00122297979025897	0	0	0.000244595958051793	3.05744947564741e-05	0.0942611673342098	0.0134222031980922	0.00122297979025897	0.0016510227168496	0.0293209404714587	0.00317974745467331	0.00137585226404134	0.0143394380407864	0.00158987372733666	0.000580915400373009	0.0111902650808695	0	0.000580915400373009	0.0188644632647446	0.00116183080074602	0	0.0146146084935946	0.00073378787415538	0.0222582321827132	9.17234842694224e-05	0	9.17234842694224e-05	0	0	0	3.05744947564741e-05	0	0.00510594062433118	0.000122297979025897	0.00749075121533617	6.11489895129483e-05	0.00214021463295319	0	0.0102118812486624	0.00131470327452839	0.0140642675879781	9.17234842694224e-05	0	0.000122297979025897
CS.037	0	0.0112310385064177	0	3.64644107351225e-05	0	0	0.00043757292882147	0.0131271878646441	0.0183780630105017	7.2928821470245e-05	0	0	0	0.00579784130688448	0.000109393232205368	0.37948512252042	0	0.00350058343057176	0	0.00116686114352392	0.00342765460910152	0	0	0	0.00014585764294049	0	0	0.00408401400233372	0.00280775962660443	0	0	0.000218786464410735	0	0.00441219369894983	0	0	3.64644107351225e-05	0	0	0.000838681446907818	0.0102829638273046	0	0	0.00204200700116686	0	7.2928821470245e-05	7.2928821470245e-05	0	0.00138564760793466	0.00897024504084014	0.00277129521586931	0.0243582263710618	0.000546966161026838	0.00014585764294049	0	0	0.00014585764294049	0.0204565344224037	0	0.0156067677946324	0.000218786464410735	0.012507292882147	0.0465650525087515	3.64644107351225e-05	0.0119603267211202	0.00240665110851809	0.0270565927654609	0	0	0.0137106184364061	0.000218786464410735	0	0.0218421820303384	0.00127625437572929	0.000802217036172695	0.00302654609101517	0.00058343057176196	0	0.0179404900816803	0.000838681446907818	0.000838681446907818	0.00072928821470245	7.2928821470245e-05	0	0.00138564760793466	0	7.2928821470245e-05	0.000255250875145858	0.0162631271878646	0.00029171528588098	0	0	0	0.0766481913652275	0.00649066511085181	0	3.64644107351225e-05	0.0210035005834306	0.000838681446907818	0.000255250875145858	0.0428092182030338	3.64644107351225e-05	7.2928821470245e-05	0.00689177362893816	3.64644107351225e-05	0.00043757292882147	0.0389075262543757	0	0	0	0	0	0	3.64644107351225e-05	0	0	0	0	0	0	0	0.000109393232205368	0.0799299883313886	7.2928821470245e-05	0.000328179696616103	0	7.2928821470245e-05	0.00561551925320887	0.000218786464410735	0.000619894982497083	3.64644107351225e-05	3.64644107351225e-05
CS.003	0.000969675599435825	0.00176304654442877	0.000749294781382229	0.00846262341325811	4.40761636107193e-05	0.00418723554301834	0.000969675599435825	0.0693758815232722	0.00396685472496474	0.000396685472496474	0	0.000220380818053597	8.81523272214386e-05	0.000528913963328632	0	0.0184679125528914	0	4.40761636107193e-05	0	0.000176304654442877	0.000308533145275035	0.0123854019746121	0	4.40761636107193e-05	0.216942877291961	0.0174541607898449	8.81523272214386e-05	0.000749294781382229	0.00123413258110014	0.000132228490832158	0	0.000220380818053597	0.000484837799717913	0.00207157968970381	8.81523272214386e-05	0	0.00559767277856135	4.40761636107193e-05	0	0.000925599435825106	0.0282528208744711	0	0	0.00215973201692525	0.00066114245416079	0.000925599435825106	8.81523272214386e-05	8.81523272214386e-05	0.00396685472496474	0.00132228490832158	0.00603843441466855	0.0040990832157969	0.00066114245416079	0.00149858956276446	0.000220380818053597	0.00202750352609309	0.0110190409026798	0.0448254583921016	0.000484837799717913	0.00850669957686883	4.40761636107193e-05	0.0013663610719323	0.0275476022566996	0	0.0184238363892807	4.40761636107193e-05	0.017894922425952	0	8.81523272214386e-05	0.00515691114245416	0.00110190409026798	8.81523272214386e-05	0.00617066290550071	0.00207157968970381	0.000396685472496474	0.000749294781382229	0.000528913963328632	0.00317348377997179	0.0155588857545839	0.000705218617771509	0.0040990832157969	0.00868300423131171	0.000396685472496474	0	0.00484837799717913	0	0.0283850493653032	0.00268864598025388	0.0123854019746121	0.00537729196050776	0	0.000396685472496474	0	0.0531117771509168	0.0038787023977433	0.000572990126939351	0.0015867418899859	0.0456629055007052	0.0054654442877292	0.00110190409026798	0.00220380818053597	0.0308092383638928	8.81523272214386e-05	0.020892101551481	8.81523272214386e-05	0.000440761636107193	0.0220380818053597	0	0	0	0.000969675599435825	0.0283850493653032	0	0	0.000484837799717913	4.40761636107193e-05	0.000396685472496474	8.81523272214386e-05	0.0200105782792666	0.000132228490832158	0.00780148095909732	4.40761636107193e-05	0.00348201692524683	0	0.00260049365303244	0.000132228490832158	0.0849347672778561	8.81523272214386e-05	0.00180712270803949	0.000837447108603667	0.000925599435825106	0.0013663610719323
CS.036	0	0	0.00179533213644524	0.000209455415918612	0.00068821065230401	0	0.00218432076600838	0.079443447037702	0.0134649910233393	0.000329144225014961	2.99222022740874e-05	2.99222022740874e-05	5.98444045481747e-05	0.00341113105924596	2.99222022740874e-05	0.0988330341113106	0	0.00182525433871933	0	0.00203470975463794	0.0128665469778576	0	0	0	0.00068821065230401	2.99222022740874e-05	0	0.0385697187312986	0.0126271693596649	0	0	0	0.00158587672052663	0.0066427289048474	0.000239377618192699	0	0.0115798922800718	0.0033213644524237	0.000538599640933573	0.014721723518851	0.0222022740873728	0	0	0.00371035308198683	0	0.0068821065230401	8.97666068222621e-05	0.000149611011370437	0.0492519449431478	0.000538599640933573	0.00281268701376421	0.00694195092758827	0.00161579892280072	0.00511669658886894	2.99222022740874e-05	0.000179533213644524	0.00771992818671454	0.0372531418312388	0.000299222022740874	0.0049670855774985	5.98444045481747e-05	0.000448833034111311	0.0627169359664871	0.0255535607420706	0.0179233991621783	0	0.0251645721125075	0.00158587672052663	0.000807899461400359	0.023638539796529	0.00248354278874925	5.98444045481747e-05	0.0059245960502693	0	0.000179533213644524	0.000149611011370437	0	0.000628366247755835	0.00122681029323758	0.00362058647516457	0.000598444045481747	0.0366247755834829	2.99222022740874e-05	0	0.00152603231597846	0	0.0267803710353082	0	0.0360562537402753	0.000119688809096349	0	0.000658288450029922	0	0.00577498503889886	0.00137642130460802	0.000837821663674446	0.00233393177737881	0.0357570317175344	0.0252842609216038	0.00128665469778576	0.00942549371633752	0.00484739676840215	5.98444045481747e-05	0.0907839616995811	2.99222022740874e-05	0	0.00272292040694195	0	0	0	0	0.00691202872531418	0	8.97666068222621e-05	0	0	0.000598444045481747	0.000418910831837223	0	0.000807899461400359	0	2.99222022740874e-05	0.00526630760023938	0.00167564332734889	0.00739078396169958	0	0	0.00119688809096349	0.000299222022740874	8.97666068222621e-05	0.0103231597845601	0.0426391382405745
CS.035	0.00365166309438755	0.000476303881876637	0.000119075970469159	0.00595379852345797	7.93839803127729e-05	0.0055568786218941	0.00246090338969596	0.0410415178217036	0.000436611891720251	0.000476303881876637	0.000595379852345797	0.000119075970469159	0	0.000119075970469159	0.00198459950781932	0.0216321346352306	0.000476303881876637	0.000238151940938319	0.000873223783440502	0.000238151940938319	0.00111137572437882	0.0100420735095658	0	0	0.271135984758276	0.0132571247122331	0.000436611891720251	0.00158767960625546	0.00658887036596015	0.00400889100579503	3.96919901563864e-05	0	0.000357227911407478	0.00111137572437882	0	0	0.000357227911407478	3.96919901563864e-05	0	0.00198459950781932	0.00841470191315393	0	0.000238151940938319	0.00158767960625546	0.000635071842502183	0.00138921965547353	0.000317535921251092	0	0.00194490751766294	0.00452488687782805	0.0029372072715726	0.00631102643486544	0.000992299753909661	0.00436611891720251	0.000119075970469159	0.00154798761609907	0.000754147812971342	0.0298483765976026	0	0.0112328332142574	3.96919901563864e-05	0.00297689926172898	0.0481860760498531	0.00345320314360562	0.046836548384536	0	0.0113122171945701	0.000119075970469159	0.000357227911407478	0.00623164245455267	0.00158767960625546	0	0.00861316186393586	0.00515995872033024	7.93839803127729e-05	3.96919901563864e-05	3.96919901563864e-05	0	0.029888068587759	0.001746447566881	0.000674763832658569	0.0138525045645789	3.96919901563864e-05	0	7.93839803127729e-05	0	0.00984361355878384	0	0.00750178613955704	3.96919901563864e-05	7.93839803127729e-05	0	7.93839803127729e-05	0.0808525839485592	0.0100420735095658	0.000396919901563864	0.00154798761609907	0.0319520520758911	0.00325474319282369	0.00313566722235453	0.010478685401286	0.00194490751766294	0.000277843931094705	0.00460427085814083	3.96919901563864e-05	3.96919901563864e-05	0.0429467333492101	0	0.00627133444470906	0.012939588790982	0.000873223783440502	0	0.00436611891720251	0	0.000912915773596888	3.96919901563864e-05	0.000198459950781932	0	3.96919901563864e-05	0	0.000674763832658569	0	0.0135349686433278	0.000198459950781932	0.00337381916329285	0	0.000119075970469159	0.0813288878304358	0.000476303881876637	0	0	0.0014686036357863
