g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.259	0.000120977498185338	0.0461865204183133	0.000322606661827567	0.000134419442428153	2.68838884856306e-05	0.00025539694061349	0.00438207382315778	0.0269376562626018	0.00356211522434605	0.000618329435169503	0	0.000860284431540178	0	0.00112912331639648	0	0.00338736994918945	0.0264671882141033	0	1.34419442428153e-05	0.00227168857703578	4.03258327284458e-05	0.000309164717584751	0.0340350028228083	0.00178777858429443	0	0.253783907304353	2.68838884856306e-05	0	0.000470468048498535	0	0.000914052208511439	0.00224480468855015	0	0	2.68838884856306e-05	0.00118289109336774	2.68838884856306e-05	0	0.002110385246122	1.34419442428153e-05	0	0.00435518993467215	0.0150953033846816	0.000618329435169503	0.000134419442428153	0.00107535553942522	0.00022851305212786	0.000268838884856306	9.4093609699707e-05	0.000134419442428153	0.00274215662553432	0.024087964083125	0.00346802161464634	0.000537677769712611	0.000537677769712611	0.00147861386670968	5.37677769712611e-05	0.000430142215770089	0.0311718686990886	0	0.016372288087749	0.000134419442428153	0.00127698470306745	0.0356614780761889	0	0.0166008011398769	4.03258327284458e-05	0.00680162378686453	0	0.00125010081458182	0.000241954996370675	6.72097212140764e-05	0.00884479931177246	0.00832056348630266	0.000403258327284458	0.000322606661827567	2.68838884856306e-05	0.000188187219399414	0.00973196763179826	0.000578003602441057	0.000752748877597656	0.00180122052853725	0.00022851305212786	2.68838884856306e-05	6.72097212140764e-05	0	0.00606231685350969	0	0.00479877409468506	4.03258327284458e-05	0	0	0.0470333629056107	0.0061564104632094	0.000376374438798828	0.00022851305212786	0.0288732962335672	0.00134419442428153	0.000685539156383579	0.00220447885582171	0.00647901712503697	0.000188187219399414	0.0093287093045138	0	0	0.065059010135226	1.34419442428153e-05	0	1.34419442428153e-05	0.000618329435169503	0	0	0.000268838884856306	1.34419442428153e-05	0	0	0	0.00513482270075544	0	0.0079173051590182	1.34419442428153e-05	0.00166680108610909	0.00571282630319649	0.114821087722128	6.72097212140764e-05	5.37677769712611e-05	0	0.000914052208511439	0.000134419442428153
CS.260	0.00023248605083695	0.0203037817730936	0.000271233725976441	0.00550216986980781	0.000174364538127712	0.000484345939243645	0.000716831990080595	0.0312887476751395	0	0.00154990700557967	0.00122055176689399	0.000891196528208308	0	0	0	0.000348729076255425	0.346326720396776	0	0	0.00685833849969002	0.00118180409175449	0.00377789832610043	0.00583152510849349	0	0	0.000910570365778053	9.68691878487291e-05	0	0.00817575945443273	0	0.00420412275263484	0	0	5.81215127092374e-05	0	0	0.000116243025418475	0	0.00263484190948543	0	1.93738375697458e-05	0.0027898326100434	0.0155571915685059	9.68691878487291e-05	0.000309981401115933	0.00213112213267204	0	0.00164677619342839	5.81215127092374e-05	0.000368102913825171	0.00125929944203348	0.00238298202107874	0.00470784252944823	0.000193738375697458	0.000736205827650341	0	0	0.00060058896466212	0.0350666460012399	0	0.00844699318040918	0.000135616862988221	0.00862135771853689	0.0465940793552387	0	0.0276464662120273	0	0.00736205827650341	1.93738375697458e-05	0.00825325480471172	0.000716831990080595	0	0.00953192808431494	0.00519218846869188	3.87476751394916e-05	0	0	0	0.0309012709237446	0.00257672039677619	0.00337104773713577	0.00610275883446993	0	0	0.000445598264104154	0	0.000581215127092374	0.000213112213267204	0.00435911345319281	0.000154990700557967	0.000406850588964662	0	0.145051921884687	0.00585089894606324	5.81215127092374e-05	0.0178239305641661	0.0760423124612523	0.0043978611283323	0.00629649721016739	0	1.93738375697458e-05	0.00193738375697458	0.0332261314321141	3.87476751394916e-05	0.000135616862988221	0.00120117792932424	0	0	0	0	0.00205362678239306	5.81215127092374e-05	0.0004649721016739	0.000891196528208308	1.93738375697458e-05	0.000445598264104154	0	0.00732331060136392	0.000116243025418475	0.0004649721016739	0.000309981401115933	0.00112368257904526	0	0.000406850588964662	0.000116243025418475	0.00104618722876627	0.000154990700557967	0.00100743955362678	0.00478533787972722
CS.091	9.86485153398441e-05	0.00187432179145704	0.00108513366873829	0.0550787543980796	9.86485153398441e-05	0.000131531353786459	9.86485153398441e-05	0.0572490217355562	0	3.28828384466147e-05	0.00529413698990497	3.28828384466147e-05	0	6.57656768932294e-05	0	0.000131531353786459	0.258196047482819	3.28828384466147e-05	0.00489954292854559	0	0	0	0.00213738449902996	0	0.0140409720167045	0.00108513366873829	0	0.00213738449902996	0.00414323764427345	0	0.00779323271184769	0	0	0	0	0.00407747196738022	9.86485153398441e-05	0	0	0.000361711222912762	0.00147972773009766	0.00519548847456512	0.00295945546019532	0.000887836638058597	0.00121666502252474	0.0105553911413633	0	0	0.000460359738252606	0.000131531353786459	0.00236756436815626	0.00503107428233205	0.00427476899805991	0.000230179869126303	0.00138107921475782	3.28828384466147e-05	0.000295945546019532	0.000295945546019532	0.039689586005064	9.86485153398441e-05	0.00180855611456381	0.000197297030679688	0.00756305284272138	0.0543553319522541	0	0.00263062707572918	0	0.0104567426260235	0.000394594061359377	0	0	0.000723422445825524	0.0058202624050508	0.003584229390681	0	0.00269639275262241	0	0	0.0195324060372891	0.000460359738252606	0.00101936799184506	0.00766170135806123	0	0	0.0024662128834961	0	0.00723422445825524	0.000164414192233074	0.0435039952648713	3.28828384466147e-05	0.000295945546019532	0.000263062707572918	0.116471013777909	0.0293972575712736	0	0.00644503633553648	0.0602084771957515	0.00154549340699089	0.000131531353786459	0.000887836638058597	0.0144355660780639	0.000427476899805991	6.57656768932294e-05	0.000230179869126303	0.000328828384466147	0.0587287494656539	9.86485153398441e-05	0	0	0	3.28828384466147e-05	0	0.000756305284272138	0	3.28828384466147e-05	0	0	0	0	0.0201571799677748	9.86485153398441e-05	0.00318963532932163	0	0	0.000789188122718753	0.003584229390681	0.00473512873631252	0.000723422445825524	0
L.011.M1	0.00251493241119145	0.000285787773999028	0.000314366551398931	0.057643394015604	0	0.015889800234346	0.000285787773999028	0.0881369495013003	0.0124603469463576	0.000142893886999514	0	0.00488697093538338	0	0.00640164613757823	8.57363321997085e-05	2.85787773999028e-05	0.00894515732616959	0	0.000257208996599125	0.0070875367951759	5.71575547998057e-05	0.000142893886999514	0.000314366551398931	2.85787773999028e-05	0	0.160612728987454	2.85787773999028e-05	0	0.000657311880197765	0	0.00157183275699466	0	0	0.000171472664399417	0	0.00114315109599611	8.57363321997085e-05	0.000142893886999514	0.0298362436054986	0.00348661084278815	0.000628733102797862	0.00397245005858649	0.0136034980423537	0.000114315109599611	0	0.000685890657597668	0	0.00114315109599611	2.85787773999028e-05	0.00117172987339602	0.00917378754536881	0.0306936069274956	0.00417250150038581	0	0.00180046297619388	0	8.57363321997085e-05	0.000628733102797862	0.0324654911262896	0.000171472664399417	0.0463261981652425	0.000285787773999028	0.00151467520219485	0.0199765654025321	0.000657311880197765	0.0188048355291361	5.71575547998057e-05	0.0231488096939213	0	0.0020290931953931	0.000428681660998543	0	0.00520133748678232	0.00228630219199223	0.000314366551398931	0	0.000228630219199223	0	0.0232631248035209	0.000114315109599611	0.000514417993198251	0.00348661084278815	5.71575547998057e-05	0.000114315109599611	0.0112600382955617	0	0.0111171444085622	0	0.00640164613757823	0.00120030865079592	0	0	0.1176016690006	0.0211197164985282	0.000171472664399417	0.000457260438398445	0.0386956645994684	0.00108599354119631	0.00417250150038581	0.000485839215798348	0.00877368466177017	0	0.0160612728987454	0	0.00217198708239262	0	0	0	2.85787773999028e-05	0	0.0280929381841045	0.00397245005858649	0.00225772341459232	0	0	0	0	0.000342945328798834	5.71575547998057e-05	0.000314366551398931	0.000457260438398445	0.000971678431596696	0	2.85787773999028e-05	0.039410134034466	0.00948815409676774	0.00111457231859621	0	8.57363321997085e-05
CS.043	7.70445702839092e-05	0.000577834277129319	0.00208020339766555	0.00300473824107246	0	0.000731923417697138	0.00285064910050464	0.0437613159212605	0.00581686505643515	3.85222851419546e-05	0.000192611425709773	0.00134827997996841	7.70445702839092e-05	0.00192611425709773	0	0.000192611425709773	0.196232520513117	0.000231133710851728	3.85222851419546e-05	0.0114025964020186	0.00130975769482646	0	0.00878308101236565	0	0	0.0846719827420163	0	0	0.011864863823722	0.000115566855425864	0.0141762009322393	0.000115566855425864	0	3.85222851419546e-05	0	0.00346700566277592	0.000115566855425864	0	0.00200315882738164	0.0028891713856466	0.000808967987981047	0.00951500443006279	0.0459185638892099	0	0.000115566855425864	0.00612504333757078	0.00050078970684541	0.00188759197195578	0.000192611425709773	0.00720366732154551	0.001694980546246	0.00327439423706614	0.00997727185176625	0.000539311991987365	0.00254247081936901	0.000154089140567818	0.000231133710851728	0.00654878847413229	0.0310489618244154	0	0.0411032782464656	3.85222851419546e-05	0.00100157941369082	0.0494240918371278	3.85222851419546e-05	0.0281597904387688	0	0.0148696020647945	7.70445702839092e-05	0.00435301822104087	0.000423745136561501	3.85222851419546e-05	0.00785854616895874	0.000924534843406911	0.00658731075927424	0.000886012558264956	0	3.85222851419546e-05	0.0298162486998729	0.00250394853422705	0.00161793597596209	0.0165260603258985	7.70445702839092e-05	0	0.00616356562271274	0.00184906968681382	0.000616356562271274	0.000577834277129319	0.0113640741168766	0.000577834277129319	0	0.00104010169883277	0.0605955545282946	0.0148310797796525	0.00681844447012597	0.000808967987981047	0.0504256712508186	0.00835933587580415	0.00793559073924265	0.00666435532955815	0.00859046958665588	0.000423745136561501	0.0117107746831542	7.70445702839092e-05	0	0.027158211025078	0	0	0	0	0	0	0.000924534843406911	0	0	0	0	7.70445702839092e-05	7.70445702839092e-05	0.0189914865749836	3.85222851419546e-05	0.0045841519318926	0	3.85222851419546e-05	0.00512346392387996	0.00412188451018914	0.000886012558264956	0.000808967987981047	0
L.007.M1	9.2434866431618e-05	0.00130729311096145	0.000184869732863236	6.60249045940129e-05	0.00046217433215809	0.0106300096396361	0.00343329503888867	0.0379511151606386	0.00472738316893132	0.00040935440848288	0	0.00242971648905967	0	0.00199395211873919	1.32049809188026e-05	0.00110921839717942	0.0105903946968797	0.00184869732863236	0	0.000831913797884562	0	1.32049809188026e-05	0.0168627606333109	0.00145254790106828	0	0.286482061033422	0.0518955750108941	5.28199236752103e-05	2.64099618376051e-05	0.000369739465726472	6.60249045940129e-05	0.00143934292014948	1.32049809188026e-05	0.000264099618376051	5.28199236752103e-05	0.00149216284382469	0	0.000277304599294854	0.0015317777865811	0.000686659007777734	0	0.00264099618376051	0.00628557091735002	0.000845118778803365	1.32049809188026e-05	0.000541404217670905	0.000290509580213657	0.00196754215690158	7.92298855128154e-05	0.00171664751944433	0.00246933143181608	0.0188038928283749	0.00175626246220074	0.00150536782474349	0.000303714561132459	0.00139972797739307	3.96149427564077e-05	0.000198074713782039	0.0328275825641432	9.2434866431618e-05	0.0100093755364524	0.000105639847350421	0.000950758626153785	0.0392452032906812	0.00174305748128194	0.0112506437428198	2.64099618376051e-05	0.00796260349403795	1.32049809188026e-05	0.00272022606927333	0.000290509580213657	0	0.00396149427564077	0.00161100767209391	0.000937553645234983	0.000356534484807669	0.000686659007777734	2.64099618376051e-05	0.0195565767407466	0.000250894637457249	0.000316919542051262	0.00239010154630327	0.000158459771025631	9.2434866431618e-05	0.0146839387817085	0	0.0247329292609172	0.00478020309260653	0.00425200385585443	0.000171664751944433	0	0	0.0943627936457632	0.0051103276155766	5.28199236752103e-05	6.60249045940129e-05	0.0182360786488664	0.00191472223322637	0.0015185728056623	0.00388226439012796	0.0551175903550819	1.32049809188026e-05	0.00875490234916611	0	0.00414636400850401	0.0198470863209603	1.32049809188026e-05	0	0.00886054219651653	0.000369739465726472	0.0239802453485455	0	0.000660249045940129	0.00345970500072627	2.64099618376051e-05	0	0	0.00106960345442301	0	0.00122806322544864	0	0.000567814179508511	0.000237689656538446	0.0483434351437362	0.0092434866431618	0.00371059963818352	0.00378982952369634	0.000171664751944433	0
CS.219	0.00714698238521513	0.00375397054576956	0.000397054576956396	0.0107204735778227	3.60958706323997e-05	0	0.00140773895466359	0.0767398209644817	0.00483684666474155	0.00173260179035518	0	0.00166041004909038	0	3.60958706323997e-05	0.000397054576956396	0.00259890268553278	0.146440947155645	0	0.00151602656656079	0.00285157377995957	0.000433150447588796	0.000144383482529599	0.00815766676292232	0.00425931273462316	0.00115506786023679	0.00537828472422755	0.000974588507074791	0.00137164308403119	0.00873520069304072	0	0.00335691596881317	0	0	7.21917412647993e-05	0.000685821542015593	0.00425931273462316	0	0	0.0517253826162287	0	0	0.000794109153912792	0.0283352584464337	0.000108287611897199	7.21917412647993e-05	0.00220184810857638	0.000830205024545192	0.000938492636442391	0.000252671094426798	0.019780537106555	0.000577533930118394	0.0613629800750794	0.00252671094426798	0.00115506786023679	0.00458417557031476	0.00288766965059197	0.000433150447588796	0.0116950620848975	0.0199249205890846	0.00101068437770719	0.0348686110308981	3.60958706323997e-05	0.00303205313312157	0.021946289344499	0	0.0346520358071037	0	0.0105399942246607	0.000108287611897199	0.00530609298296275	0.000649725671383194	0.000108287611897199	0.00256280681490038	0.00332082009818077	0.000144383482529599	7.21917412647993e-05	3.60958706323997e-05	0.000324862835691597	0.00934883049379151	0.000252671094426798	0.00169650591972278	0.0275772451631533	3.60958706323997e-05	0	0.00667773606699394	0	0.0434594282414092	0.00187698527288478	0.0110453364135143	0.00173260179035518	0.000108287611897199	0	0.0363124458561941	0.00122725960150159	0.000433150447588796	0.00256280681490038	0.0156656078544615	0.0128501299451343	0.0133193762633555	0.00169650591972278	0.0149797863124459	0.00512561362980075	0.00573924343055154	0	0.00173260179035518	0.00902396765809991	0.00108287611897199	0	0	0	0.000252671094426798	0.000144383482529599	3.60958706323997e-05	0.000144383482529599	0	0.00447588795841756	0	0.00158821830782558	7.21917412647993e-05	0.00133554721339879	0.000252671094426798	0.00364568293387237	0	7.21917412647993e-05	3.60958706323997e-05	0.0209356049667918	0.000144383482529599	0	0.103956107421311
L.033.M1	9.62556550197324e-05	9.62556550197324e-05	0.000288766965059197	0.0272403503705843	0	0.00664164019636154	0.00346520358071037	0.0331119453267879	0.00606410626624314	0.00962556550197324	0	0.000577533930118394	0	0.00221388006545385	0	0.000192511310039465	0.0138608143228415	0	9.62556550197324e-05	0	0	0.00038502262007893	0.00519780537106555	0.00115506786023679	0	0.189912407353932	0.0332082009818077	0	0.00125132351525652	0	0.00394648185580903	0	0	0	0	0.000770045240157859	0	0.000962556550197324	0.000288766965059197	0	0	0.000481278275098662	0.0129945134276639	9.62556550197324e-05	0.000192511310039465	0.000962556550197324	9.62556550197324e-05	0.00134757917027625	0.000770045240157859	0	0.00173260179035518	0.00837424198671672	0.0065453845413418	9.62556550197324e-05	0.00163634613533545	9.62556550197324e-05	0	0	0.0221388006545385	0	0.00991433246703244	0.00346520358071037	0.00173260179035518	0.0669939358937338	0	0.00481278275098662	0	0.0873038791028973	0.000192511310039465	0.00587159495620368	0.00163634613533545	0	0.0118394455674271	0.00933679853691404	0	0	0	9.62556550197324e-05	0.0130907690826836	0.000192511310039465	0.000770045240157859	0.00231013572047358	0	0	0.000577533930118394	0	0.000962556550197324	0.000192511310039465	0.00221388006545385	0.00134757917027625	0	0	0.0783521031860622	0.0113581672923284	0.00269515834055251	0.000288766965059197	0.0129945134276639	0.000481278275098662	0.00173260179035518	0.00211762441043411	0.0178072961786505	0	0.0265665607854461	0	0	0.0690153046491481	0.0369621715275772	0.000962556550197324	0	0.000673789585138127	0.0414861873135047	0.00635287323130234	0.000288766965059197	0.000481278275098662	0	0	0	0	9.62556550197324e-05	0.0108768890172298	0.00134757917027625	0.00500529406102609	0.000577533930118394	0.0443738569640966	0.000192511310039465	0.000192511310039465	0	0	0.00038502262007893
CS.357	0	0	0.000159300237502172	0.0131350286740428	5.7927359091699e-05	0.000680646469327463	0.000144818397729248	0.0763482592828593	0.00402595145687308	0.000101372878410473	0	0.000637200950008689	0	0.00127440190001738	0.000448937032960667	0.00196953020911777	0.00143370213751955	1.44818397729248e-05	0.000144818397729248	0.0014047384579737	2.89636795458495e-05	0.000144818397729248	0.00645890053872444	0.00217227596593871	0	0.284597115217517	0.046776342466547	7.24091988646238e-05	0.000593755430689915	0.000868910386375485	4.34455193187743e-05	1.44818397729248e-05	1.44818397729248e-05	0	2.89636795458495e-05	0.000810983027283786	2.89636795458495e-05	0	0.00483693448415687	0.00057927359091699	0.00057927359091699	0.0155100503968024	0.00611133638417425	7.24091988646238e-05	4.34455193187743e-05	0.000868910386375485	0.000318600475004345	0.000868910386375485	0.000144818397729248	0.000246191276139721	0.00501071656143196	0.00265017667844523	0.00228813068412211	0.000260673115912646	0.00137577477842785	1.44818397729248e-05	0.00114406534206106	0.000260673115912646	0.00955801425013034	2.89636795458495e-05	0.0658923709668076	2.89636795458495e-05	0.00144818397729248	0.0183774546718415	0	0.0141053119388287	0	0.016161733186584	0	0.00278051323640155	0.000173782077275097	4.34455193187743e-05	0.00330185946822684	0.00212883044661994	0.000130336557956323	0	8.68910386375485e-05	5.7927359091699e-05	0.0174361350866014	0.000448937032960667	0.000550309911371141	0.00186815733070729	0.000115854718183398	0	0.0164368881422696	0	0.00441696113074205	4.34455193187743e-05	0.0109337890285582	8.68910386375485e-05	0	0	0.0720037073509819	0.00356253258413949	0.000144818397729248	8.68910386375485e-05	0.044270984185831	0.000767537507965012	0.000231709436366796	0.00632856398076812	0.0472107976597347	5.7927359091699e-05	0.0578549498928344	0	0.000347564154550194	0.00660371893645369	0	0.00260673115912646	0	0.000188263917048022	0.0178126629206974	0.00250535828071598	0.0108034524706019	8.68910386375485e-05	1.44818397729248e-05	0	0	0.00328737762845392	0	0.0030411863523142	0.000419973353414818	0.000405491513641893	0.000101372878410473	0.0346260788970631	0.00656027341713491	0.00172333893297805	0.000999246944331808	0	0
CS.002	0	0.001495034350194	0.000427152671484	0.00658527035204499	0.003524009539743	7.11921119139999e-05	3.5596055957e-05	0.00516142811376499	0.000213576335742	0.00035596055957	0.000640729007225999	0.000177980279785	0.000284768447656	0.001815398853807	0	0.000569536895311999	0.149183070515787	0	7.11921119139999e-05	0.000320364503613	0.002918876588474	0.000427152671484	0.004164738546969	0.000462748727441	0	0.0569892855871569	0.002562916028904	0	0.015199515893639	7.11921119139999e-05	0.00793792047841099	0	0	0.000106788167871	0.000213576335742	0.00740397963905599	0	0	0.000996689566795999	0	0	0.001744206741893	0.033353504431709	7.11921119139999e-05	0.000106788167871	0.000854305342967999	0	0.001708610685936	0.000249172391699	0.024774854946072	0.001317054070409	0.004378314882711	0.00751076780692699	0.00035596055957	0.002740896308689	0	0.000747517175096999	0.000783113231053999	0.049905670451714	0.000320364503613	0.00904139821307799	0	0.00822268892606699	0.0621863097568789	0.002171359413377	0.051863453529349	0.000177980279785	0.015128323781725	0.000177980279785	0.00569536895311999	0.000640729007225999	0.000391556615527	0.016196205460435	0.002669704196775	0	0.003239241092087	0	0.000177980279785	0.0427152671484	0.003346029259958	0.002028975189549	0.010572028619229	3.5596055957e-05	0	0.001922187021678	0	0.00886341793329299	0.000320364503613	0.013775673655359	0.000106788167871	0.000391556615527	0.000177980279785	0.0813369878617449	0.014380806606628	0.002028975189549	0.00569536895311999	0.178478624568398	0.003737585875485	0.001673014629979	0.00537500444950699	0.001317054070409	0	0.003381625315915	7.11921119139999e-05	0.000249172391699	0.018367564873812	0	0	7.11921119139999e-05	0	0.001708610685936	0	0.000106788167871	7.11921119139999e-05	0.000391556615527	0	0.000676325063182999	0.000462748727441	0	0.001281458014452	0	0.000711921119139999	0	0	0.000783113231053999	0.001744206741893	0.000142384223828	0.001174669846581	0.00035596055957
