PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.022	45.82996	489.444444444	225	5.91088745483	0.967185482082
CS.036	63.08862	541.03125	279	6.55065721303	0.978710923083
CS.005	87.21391	928.195652174	414	7.15163235249	0.982798937996
CS.017	60.60506	613.25	302	5.71078691957	0.929080322939
L.036.M1	71.89136	945.529411765	411	6.99718833886	0.97921914865
CS.174	83.72935	1166.15909091	538	7.34763833983	0.981812971685
CS.265	97.47906	820.391891892	452	7.12389616961	0.974288446099
CS.098	78.16861	582.767857143	347	6.95380003971	0.984374132407
L.002.M1	46.70484	668.773584906	330	6.04703378152	0.96279566741
CS.016	51.76786	496.214285714	258	6.21159425564	0.964744954163
CS.093	77.93923	608.101694915	353	6.83245033616	0.97778766841
L.031.M1	85.97143	843.337837838	446	7.18369394995	0.982809389936
CS.176	71.62528	995.12195122	375	6.50851256646	0.964899555771
CS.172	57.76873	817.214285714	292	6.16415533253	0.967703288594
CS.264	50.00241	428.5	240	5.26145135452	0.934977829912
CS.373	63.72245	956.784313725	385	6.37312539508	0.958786477542
CS.076	51.772	521.181818182	243	5.83708274666	0.964640434766
CS.064	69.91233	564.756756757	298	6.60108838627	0.979089805897
CS.118	58.82064	683.090909091	283	5.9547534053	0.959999338044
CS.127	62.95792	1080.48214286	432	6.97132601311	0.982353424066
CS.149	61.41136	789.85	381	6.62464378968	0.977054290641
CS.137	62.84043	551.246153846	338	6.61935329435	0.9750335823
CS.062	63.05917	793.777777778	321	6.3955299512	0.970645074121
CS.154	30.01407	460	156	4.85330479262	0.935241741389
CS.153	75.75788	749.317073171	352	6.86003894222	0.982335133172
CS.065	60.62497	907.45	343	6.38383497062	0.971754286221
CS.366	41.97411	784.2	321	6.0310979711	0.957813140658
CS.230	42.67571	561.027027027	271	5.86024907839	0.947471381827
CS.073	58.90019	688.571428571	302	6.52426661077	0.979663356087
CS.269	35.64252	530.875	244	5.63820648881	0.953633235775
CS.380	73.08874	1110.59649123	464	7.29262079238	0.984911100809
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.374	55.49643	923.660377358	378	6.69097223461	0.980555254941
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.125	51.33107	765.220338983	368	6.42363013852	0.964026818806
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
