PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.021	55.93926	1502.25	291	6.45316861598	0.975866253496
CS.293	70.45321	1065.35	442	6.91126224323	0.97709435641
CS.172	57.76873	817.214285714	292	6.16415533253	0.967703288594
CS.297	67.1433	1048.953125	443	6.77684726875	0.975110229858
L.001.M1	76.14962	674.833333333	354	6.61833056202	0.968494152031
CS.091	55.72078	684.24	255	6.066246071	0.972315642482
CS.244	63.61954	489.161290323	274	6.76268413751	0.983052833031
CS.354	60.82721	1116.7755102	419	6.82118206902	0.974552793074
L.006.M1	65.54753	661.270833333	362	7.24298862949	0.987928227401
CS.245	54.19798	903.20754717	380	6.39147229151	0.969663898282
CS.105	69.69049	700.127659574	338	6.35411311319	0.961236586405
CS.019	60.53423	750.527777778	308	6.20863252641	0.963951477741
CS.038	51.52944	592.8	282	6.07038893117	0.957079327392
CS.007	65.82883	842.01754386	380	6.40182612807	0.962483415711
CS.039	63.3587	645.636363636	323	6.48697468786	0.972185428733
CS.127	62.95792	1080.48214286	432	6.97132601311	0.982353424066
CS.269	35.64252	530.875	244	5.63820648881	0.953633235775
CS.062	63.05917	793.777777778	321	6.3955299512	0.970645074121
CS.334	46.2462	583	303	6.41928034707	0.974082891285
CS.122	66.96008	592.7	302	6.40043786684	0.97152390805
CS.287	59.87732	796.4	338	6.69591888841	0.980349700127
CS.073	58.90019	688.571428571	302	6.52426661077	0.979663356087
CS.186	84.44578	925.430769231	435	7.02103401701	0.98178422885
CS.154	30.01407	460	156	4.85330479262	0.935241741389
CS.149	61.41136	789.85	381	6.62464378968	0.977054290641
CS.230	42.67571	561.027027027	271	5.86024907839	0.947471381827
CS.171	62.12473	644.375	302	6.02866622131	0.944641083657
CS.229	58.99669	688.53125	296	6.37016343859	0.972945371848
CS.072	85.78439	1171.27083333	437	7.02835033787	0.981414491484
CS.341	52.44954	789.288461538	351	6.25779382049	0.963905750505
CS.380	73.08874	1110.59649123	464	7.29262079238	0.984911100809
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.374	55.49643	923.660377358	378	6.69097223461	0.980555254941
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.203	59.31398	919.344262295	405	6.38679076113	0.962855330565
CS.128	70.82491	1293.68421053	475	7.10430674274	0.979665969072
CS.359	38.89341	629.75	313	6.1070300499	0.968807274724
CS.349	74.49299	795.6	429	7.02620693026	0.980594885213
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
CS.385	65.50113	890.038461538	388	6.87889430286	0.982373892448
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.395	68.90364	852.01754386	402	7.00537435368	0.984435537553
CS.386	41.30146	534.125	279	5.56718084205	0.937366533629
CS.129	56.6716	935.459459459	348	6.71868482096	0.981093965333
CS.323	72.60433	997.172413793	430	7.1232104629	0.985316984467
CS.182	78.28983	838.180722892	448	7.10242456785	0.983314567021
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
CS.214	57.23535	744.666666667	346	6.29829327614	0.97100392405
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
T.CS.025	66.86535	1078.41176471	408	6.7995361445	0.98035971657
T.CS.057	48.4391	795.558139535	342	6.58019024863	0.978455721555
T.CS.038	89.12644	689.542372881	382	7.04704559662	0.983397311543
T.CS.079	53.03933	636.966666667	344	6.60273114939	0.978379509495
T.CS.004	69.63832	1299.5	497	7.23067328989	0.984696836045
T.CS.016	64.4371	1012.55813953	384	6.9380758968	0.984133737794
T.CS.085	67.32207	1189.93617021	423	6.75640819582	0.974365964652
T.CS.056	54.67527	866.294117647	327	6.30850200919	0.966642852212
T.CS.062	71.71145	1043.19565217	404	6.73537592434	0.969595525176
T.CS.042	85.55983	1109.50704225	507	7.39830215795	0.983956490317
T.CS.001	51.28516	791.918367347	361	6.26814834108	0.959664440476
T.CS.080	61.42408	798.571428571	395	6.7836253576	0.977380042761
T.CS.050	64.39068	879.222222222	383	6.47567975545	0.968356099327
T.CS.048	60.09315	1007	378	7.03084269579	0.985694125291
T.CS.012	50.08713	839.019230769	363	6.65453843847	0.980076207705
T.CS.159	95.15364	926.833333333	422	7.15131294291	0.983327631945
T.CS.098	84.25026	984.278688525	445	7.09317344419	0.982979669453
T.CS.180	72.78055	767.058823529	369	6.82958906007	0.981354828328
T.CS.130	78.76038	1044.78846154	422	7.04628516855	0.983254903865
T.CS.115	92.23456	870.467741935	427	7.149093667	0.984338421613
T.CS.153	94.78263	798.096385542	464	7.22965710182	0.981313891564
T.CS.097	79.35565	1027.38356164	473	6.90584544245	0.973073843607
T.CS.161	92.08494	1140.5	466	7.32759871853	0.986926147683
T.CS.120	73.60569	1351.02040816	460	7.04286832258	0.981471106157
T.CS.110	84.52998	1048.01587302	450	7.00845971088	0.979095902861
T.CS.108	89.05924	970.538461538	419	7.15242853132	0.985449375703
T.CS.091	85.16412	1180.25	494	7.30643276004	0.984324921191
T.CS.156	69.50112	1160	445	6.79265970547	0.973552455346
T.CS.107	72.61591	1235.55223881	488	6.97809999867	0.978147824832
T.CS.128	86.10473	1189.06976744	430	7.01123743532	0.977528982902
CS.082	89.14972	719	410	7.08168303188	0.980971155042
CS.237	57.98729	597.757575758	277	5.98425714399	0.957877158788
CS.242	73.69293	1106.54237288	435	6.62854487692	0.96826377386
CS.085	80.66386	677.960784314	376	7.1406687311	0.98487277703
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
CS.015	55.59772	709.317073171	312	5.93450621484	0.95455779694
CS.006	60.00565	727.487179487	319	6.23407554922	0.959827752034
CS.087	50.38845	781.75	295	5.78199966618	0.947000173546
CS.238	66.18718	604	310	6.78334257858	0.982936990699
CS.246	72.58829	1082.61111111	425	6.81818603639	0.977180149415
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.110	51.46509	583.4	248	5.88367919275	0.961447802687
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
CS.356	35.34788	606.034482759	251	5.96774327889	0.970047136071
CS.345.0	37.63155	386.217391304	171	4.81918383044	0.923613087483
CS.150	66.94112	824.529411765	365	6.447622457	0.972313900492
CS.187	60.15305	960.222222222	375	6.40752613733	0.965895974022
CS.338	59.59067	761.9	341	6.63836859261	0.977309056671
CS.189	53.15177	700.923076923	297	6.12030120477	0.967521686142
CS.164	34.23974	265.1875	127	4.474847785	0.918791259304
CS.304	50.77043	666.95	295	6.06768128883	0.9621907614
CS.387	64.93147	915.957746479	427	6.94966765719	0.982711838498
CS.165	47.92018	880.625	275	6.05074099901	0.969080767146
CS.234	37.48329	452.083333333	258	5.59677968789	0.941445838593
CS.113	52.11911	711.1	271	5.87817746828	0.959037759592
CS.364	43.52221	580.181818182	319	6.22348126099	0.969224481317
CS.188	59.07432	1038.67164179	464	6.99794933946	0.97794009253
CS.311	57.14124	699.871794872	305	6.28005565622	0.971325756693
CS.346	39.3207	472.666666667	209	5.35391085463	0.943672537245
CS.318	51.06444	945.837209302	365	6.64404594304	0.975062760632
CS.319	53.9492	753.385964912	361	6.3871986511	0.967597462705
CS.320	58.78536	1218.48648649	384	6.76643098394	0.981705839303
CS.152	87.54165	1207.08196721	501	7.57518731551	0.989029600546
CS.194	40.20467	712.2	330	6.10918845056	0.964248487027
CS.331	69.81227	900.166666667	402	6.84844477802	0.980614047102
CS.321	59.33279	1066.12244898	400	6.50523760779	0.971733817839
CS.361	48.34804	846.65	329	6.0839114268	0.959404448476
CS.080	46.68489	562.387096774	253	6.1549317024	0.971206865879
CS.158	52.29032	487.75	237	6.1880105362	0.974004937235
CS.322	49.82949	778.019230769	356	6.5752519076	0.977547273797
CS.227	37.19008	544.565217391	213	5.53732353545	0.953009167875
CS.163	48.48348	482.724137931	224	5.61125977418	0.957438177321
CS.112	52.42753	423.823529412	241	5.87623492148	0.956752704276
CS.223	61.99983	848	386	6.74119286332	0.98001654455
CS.255	63.33195	817.3	386	6.79222140496	0.980752535303
CS.270	55.99204	780.738095238	335	6.42339109332	0.97373710628
CS.326	56.58978	797.32	350	6.40306491496	0.973306834763
CS.370	66.09111	965	421	6.862358157	0.978998786922
CS.262	54.74726	845.833333333	404	6.64796585148	0.975349753476
CS.253	35.3477	452	193	5.19197465655	0.944494756501
CS.390	56.30072	733.5	376	6.48283351825	0.970498311467
CS.145	76.54653	1125.64179104	474	7.01539840853	0.978578531847
CS.393	55.79994	678.096774194	278	6.02509040176	0.963987188535
TFS.021	74.06193	1249.06521739	589	7.7528956303	0.9875297472
TFS.025	55.15351	777.637931034	381	6.71581603945	0.976676278822
T.CS.066	82.80711	1037.33333333	448	7.01610680501	0.979691227927
TFS.022	85.35109	923.585365854	484	7.53049887882	0.988977776345
T.CS.031	69.59732	1055.25	450	7.10036882505	0.982170950619
T.CS.036	73.66872	728.75	384	6.98749520503	0.980229067323
T.CS.064	78.30626	1207.17808219	508	7.17147354262	0.977475852209
T.CS.045	65.05925	893.169491525	403	6.35761728919	0.947492721204
T.CS.061	64.21836	1020.47169811	419	6.95588355221	0.982369101976
TFS.027	63.11404	821.0625	432	6.63983654244	0.971030053899
T.CS.055	68.59212	1196.28571429	433	6.76564831284	0.975867559988
TFS.020	74.43619	920	430	7.13757444011	0.984555299362
T.CS.043	62.43045	1125.4	417	6.89697890561	0.97904407866
T.CS.008	57.31252	887.5	436	6.58064120084	0.956473114889
T.CS.026	47.56452	644.87755102	327	6.29978642405	0.972353966261
T.CS.095	81.92477	1068.01408451	494	7.4123257758	0.984782193553
T.CS.157	60.1959	897.659574468	371	6.57682651712	0.974680829335
T.CS.109	84.20443	1256.125	487	7.446466494	0.9877030752
T.CS.152	71.33776	1121.63793103	453	6.84242072759	0.972753317457
T.CS.141	57.93121	978.701754386	415	6.85157191148	0.979743487625
T.CS.166	78.041	1034.08333333	472	7.11500391965	0.980617531082
T.CS.158	79.81069	1075.36842105	497	7.07137945874	0.977147922601
T.CS.142	61.04052	1043.50847458	428	6.72773244955	0.977238506078
T.CS.151	68.85297	1059.6557377	451	6.86014303146	0.976006919184
