PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.007	65.82883	842.01754386	380	6.40182612807	0.962483415711
CS.104	66.29261	659.7	309	6.42033473396	0.970498311467
L.005.M1	70.963	1024.421875	457	7.01391595691	0.975874963445
CS.028	77.99057	596.826086957	334	6.79842140871	0.980433315645
L.002.M1	46.70484	668.773584906	330	6.04703378152	0.96279566741
CS.001	87.25172	715.595744681	369	7.09209359199	0.985096187241
CS.021	55.93926	1502.25	291	6.45316861598	0.975866253496
CS.295	60.26104	823.610169492	385	6.52059363954	0.969244078704
CS.098	78.16861	582.767857143	347	6.95380003971	0.984374132407
CS.199	53.85998	394.888888889	226	6.19163763512	0.97339045028
L.031.M1	85.97143	843.337837838	446	7.18369394995	0.982809389936
CS.257	71.43757	1174.38181818	454	6.94926444886	0.978245376269
CS.101	74.43904	775	340	6.82961558164	0.979415993515
L.022.M1	93.75942	990	476	7.53865164893	0.988110700848
CS.017	60.60506	613.25	302	5.71078691957	0.929080322939
CS.230	42.67571	561.027027027	271	5.86024907839	0.947471381827
CS.335	33.76463	576.27027027	262	5.69736265406	0.956336804176
CS.269	35.64252	530.875	244	5.63820648881	0.953633235775
CS.377	58.07419	711.72	345	6.72719928304	0.981058690037
CS.360	60.72465	880.1	414	7.09051462288	0.984522201553
CS.137	62.84043	551.246153846	338	6.61935329435	0.9750335823
CS.381	75.59578	1054.17021277	413	7.21553544724	0.987855499321
CS.040	61.12304	719	304	6.11328587049	0.962114984837
CS.153	75.75788	749.317073171	352	6.86003894222	0.982335133172
CS.290	49.11392	675	334	6.25015827634	0.95688030504
CS.064	69.91233	564.756756757	298	6.60108838627	0.979089805897
CS.122	66.96008	592.7	302	6.40043786684	0.97152390805
CS.117	61.416	617.6	281	6.28119277593	0.974535373175
CS.371.1	54.09516	958.701754386	395	6.39048846079	0.967608350142
CS.063	54.01978	440.222222222	238	6.04233026265	0.961222650486
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.203	59.31398	919.344262295	405	6.38679076113	0.962855330565
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.125	51.33107	765.220338983	368	6.42363013852	0.964026818806
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.128	70.82491	1293.68421053	475	7.10430674274	0.979665969072
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.126	72.30157	1211.87301587	476	7.0231210093	0.978482286902
CS.214	57.23535	744.666666667	346	6.29829327614	0.97100392405
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.386	41.30146	534.125	279	5.56718084205	0.937366533629
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
CS.182	78.28983	838.180722892	448	7.10242456785	0.983314567021
CS.323	72.60433	997.172413793	430	7.1232104629	0.985316984467
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.348	64.66566	918.294117647	333	6.50149004386	0.97650164433
CS.147	58.42932	847.230769231	406	6.74398006229	0.977459303304
CS.385	65.50113	890.038461538	388	6.87889430286	0.982373892448
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
CS.148	47.5661	486.766666667	303	6.14357379957	0.970204786161
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.129	56.6716	935.459459459	348	6.71868482096	0.981093965333
T.CS.048	60.09315	1007	378	7.03084269579	0.985694125291
TFS.023	59.44978	914.118644068	395	6.78833076827	0.980861409675
T.CS.076	76.56586	892.720588235	435	7.24970832703	0.987209656547
T.CS.007	48.22489	745.765957447	335	6.23828935331	0.967427618684
