PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.092	84.14307	598.659574468	348	6.99543580558	0.983021041714
L.004.M1	81.8203	1116.825	522	7.54829133652	0.987306336989
CS.257	71.43757	1174.38181818	454	6.94926444886	0.978245376269
CS.028	77.99057	596.826086957	334	6.79842140871	0.980433315645
CS.265	97.47906	820.391891892	452	7.12389616961	0.974288446099
CS.280	83.39063	1210.08064516	477	7.04841912914	0.979812731725
L.011.M1	57.58105	829.125	303	6.31546578459	0.973151797657
CS.260	59.33226	720.333333333	338	6.4665581437	0.972846078421
CS.357	64.97559	1038.96875	446	6.73440810114	0.973225396733
CS.009	41.96573	407.117647059	221	5.88402514309	0.968875212332
CS.313	79.00583	925.982142857	435	7.31479954166	0.986734528788
L.002.M1	46.70484	668.773584906	330	6.04703378152	0.96279566741
CS.104	66.29261	659.7	309	6.42033473396	0.970498311467
CS.106	71.28009	559.5	324	6.50326337233	0.973281575909
CS.005	87.21391	928.195652174	414	7.15163235249	0.982798937996
CS.056	56.12641	668.625	269	6.37092230781	0.974595907325
CS.062	63.05917	793.777777778	321	6.3955299512	0.970645074121
CS.067	35.34234	309.882352941	151	5.12352270866	0.944192956743
CS.161	48.61543	484.303030303	238	5.83257989884	0.963981962565
CS.301	68.72994	923.15625	429	7.04717846796	0.981761582981
CS.122	66.96008	592.7	302	6.40043786684	0.97152390805
CS.367	35.51786	519.029411765	241	5.76612704329	0.963685824274
CS.382	61.95589	1238	422	7.23800514428	0.987131702497
CS.366	41.97411	784.2	321	6.0310979711	0.957813140658
CS.073	58.90019	688.571428571	302	6.52426661077	0.979663356087
CS.287	59.87732	796.4	338	6.69591888841	0.980349700127
CS.373	63.72245	956.784313725	385	6.37312539508	0.958786477542
CS.381	75.59578	1054.17021277	413	7.21553544724	0.987855499321
CS.063	54.01978	440.222222222	238	6.04233026265	0.961222650486
CS.327	56.35991	1193.625	403	6.35263509688	0.967896213981
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.125	51.33107	765.220338983	368	6.42363013852	0.964026818806
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.380	73.08874	1110.59649123	464	7.29262079238	0.984911100809
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.374	55.49643	923.660377358	378	6.69097223461	0.980555254941
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.148	47.5661	486.766666667	303	6.14357379957	0.970204786161
CS.178	67.57516	702.666666667	358	6.77081022645	0.977249829013
CS.349	74.49299	795.6	429	7.02620693026	0.980594885213
CS.323	72.60433	997.172413793	430	7.1232104629	0.985316984467
CS.182	78.28983	838.180722892	448	7.10242456785	0.983314567021
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
CS.386	41.30146	534.125	279	5.56718084205	0.937366533629
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
CS.395	68.90364	852.01754386	402	7.00537435368	0.984435537553
CS.166	66.26063	928.5	376	6.78491363107	0.979089805897
CS.385	65.50113	890.038461538	388	6.87889430286	0.982373892448
CS.348	64.66566	918.294117647	333	6.50149004386	0.97650164433
T.CS.042	85.55983	1109.50704225	507	7.39830215795	0.983956490317
T.CS.003	71.68788	1045.52941176	467	7.03553985188	0.977866928952
T.CS.076	76.56586	892.720588235	435	7.24970832703	0.987209656547
T.CS.059	69.90013	526.411764706	316	6.58201432311	0.977206714762
T.CS.007	48.22489	745.765957447	335	6.23828935331	0.967427618684
T.CS.019	51.89856	844	329	6.03312979281	0.962033982304
T.CS.023	40.38898	499.666666667	268	6.13024106614	0.972092667768
T.CS.034	72.15467	902.789473684	446	6.75874115741	0.972982824632
T.CS.052	61.68187	710.631578947	358	6.74864951566	0.98111878869
T.CS.014	67.02432	855.022222222	372	6.6680817653	0.97373536429
T.CS.020	80.23638	974.651162791	399	7.21685119092	0.986980149371
TFS.024	57.08813	893.622222222	368	6.64555195495	0.97649990234
T.CS.050	64.39068	879.222222222	383	6.47567975545	0.968356099327
T.CS.041	72.69004	1195.2	449	6.88680315381	0.974470048551
T.CS.012	50.08713	839.019230769	363	6.65453843847	0.980076207705
T.CS.123	67.52862	1208.12244898	428	6.78750719617	0.977747602641
T.CS.107	72.61591	1235.55223881	488	6.97809999867	0.978147824832
T.CS.115	92.23456	870.467741935	427	7.149093667	0.984338421613
T.CS.112	63.0913	1166.23404255	405	6.46998238807	0.970981713678
T.CS.110	84.52998	1048.01587302	450	7.00845971088	0.979095902861
T.CS.167	67.45713	1092.47761194	454	6.64247245951	0.969674350221
T.CS.131	81.53118	1127.55882353	468	6.86189151315	0.974474839024
T.CS.180	72.78055	767.058823529	369	6.82958906007	0.981354828328
T.CS.161	92.08494	1140.5	466	7.32759871853	0.986926147683
T.CS.105	90.85852	720.303571429	386	7.05814609918	0.983396876046
T.CS.100	87.11607	828.518518519	426	7.47301869175	0.988512665029
T.CS.144	74.32503	977.3	446	7.07943433156	0.978432640188
T.CS.120	73.60569	1351.02040816	460	7.04286832258	0.981471106157
T.CS.097	79.35565	1027.38356164	473	6.90584544245	0.973073843607
T.CS.098	84.25026	984.278688525	445	7.09317344419	0.982979669453
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
CS.237	57.98729	597.757575758	277	5.98425714399	0.957877158788
CS.088	40.29899	544.913043478	224	5.70294605883	0.957408127994
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
CS.087	50.38845	781.75	295	5.78199966618	0.947000173546
CS.242	73.69293	1106.54237288	435	6.62854487692	0.96826377386
CS.238	66.18718	604	310	6.78334257858	0.982936990699
CS.356	35.34788	606.034482759	251	5.96774327889	0.970047136071
CS.085	80.66386	677.960784314	376	7.1406687311	0.98487277703
CS.246	72.58829	1082.61111111	425	6.81818603639	0.977180149415
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
CS.082	89.14972	719	410	7.08168303188	0.980971155042
CS.015	55.59772	709.317073171	312	5.93450621484	0.95455779694
CS.110	51.46509	583.4	248	5.88367919275	0.961447802687
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.311	57.14124	699.871794872	305	6.28005565622	0.971325756693
CS.308.0	46.10123	522.451612903	235	5.26081522864	0.933720548666
CS.325	33.53254	593.5625	249	5.50557691382	0.947953477545
CS.078	56.3662	589.727272727	297	6.3682733954	0.975743443204
CS.358	36.71331	589.146341463	275	5.4880058848	0.937236755378
CS.228	56.21136	460.108108108	254	6.01750865849	0.96295157551
CS.330	57.16872	860.245283019	389	6.71392196499	0.973972710421
CS.187	60.15305	960.222222222	375	6.40752613733	0.965895974022
CS.387	64.93147	915.957746479	427	6.94966765719	0.982711838498
CS.336	62.30037	949.9	364	6.8173638144	0.982815922398
CS.189	53.15177	700.923076923	297	6.12030120477	0.967521686142
CS.191	74.677	1144.9	440	7.05419639048	0.979959494379
CS.234	37.48329	452.083333333	258	5.59677968789	0.941445838593
CS.165	47.92018	880.625	275	6.05074099901	0.969080767146
CS.274	52.58266	803.725806452	390	6.69418497968	0.973216686783
CS.080	46.68489	562.387096774	253	6.1549317024	0.971206865879
CS.320	58.78536	1218.48648649	384	6.76643098394	0.981705839303
CS.158	52.29032	487.75	237	6.1880105362	0.974004937235
CS.318	51.06444	945.837209302	365	6.64404594304	0.975062760632
CS.322	49.82949	778.019230769	356	6.5752519076	0.977547273797
CS.194	40.20467	712.2	330	6.10918845056	0.964248487027
CS.112	52.42753	423.823529412	241	5.87623492148	0.956752704276
CS.343	44.51465	705.75	342	6.32668288632	0.966822277177
CS.223	61.99983	848	386	6.74119286332	0.98001654455
CS.339	42.78467	1062.26086957	298	5.93989961751	0.955460147734
CS.152	87.54165	1207.08196721	501	7.57518731551	0.989029600546
CS.319	53.9492	753.385964912	361	6.3871986511	0.967597462705
CS.331	69.81227	900.166666667	402	6.84844477802	0.980614047102
CS.202	50.96405	914.645833333	366	6.07334563574	0.954360952076
CS.361	48.34804	846.65	329	6.0839114268	0.959404448476
CS.326	56.58978	797.32	350	6.40306491496	0.973306834763
CS.255	63.33195	817.3	386	6.79222140496	0.980752535303
CS.270	55.99204	780.738095238	335	6.42339109332	0.97373710628
CS.253	35.3477	452	193	5.19197465655	0.944494756501
CS.145	76.54653	1125.64179104	474	7.01539840853	0.978578531847
CS.393	55.79994	678.096774194	278	6.02509040176	0.963987188535
CS.390	56.30072	733.5	376	6.48283351825	0.970498311467
CS.262	54.74726	845.833333333	404	6.64796585148	0.975349753476
CS.370	66.09111	965	421	6.862358157	0.978998786922
TFS.022	85.35109	923.585365854	484	7.53049887882	0.988977776345
T.CS.031	69.59732	1055.25	450	7.10036882505	0.982170950619
T.CS.008	57.31252	887.5	436	6.58064120084	0.956473114889
TFS.020	74.43619	920	430	7.13757444011	0.984555299362
T.CS.043	62.43045	1125.4	417	6.89697890561	0.97904407866
TFS.027	63.11404	821.0625	432	6.63983654244	0.971030053899
T.CS.064	78.30626	1207.17808219	508	7.17147354262	0.977475852209
T.CS.061	64.21836	1020.47169811	419	6.95588355221	0.982369101976
T.CS.055	68.59212	1196.28571429	433	6.76564831284	0.975867559988
T.CS.036	73.66872	728.75	384	6.98749520503	0.980229067323
T.CS.045	65.05925	893.169491525	403	6.35761728919	0.947492721204
T.CS.066	82.80711	1037.33333333	448	7.01610680501	0.979691227927
T.CS.049	50.15581	862.62	372	6.56196279248	0.974686055305
T.CS.026	47.56452	644.87755102	327	6.29978642405	0.972353966261
TFS.021	74.06193	1249.06521739	589	7.7528956303	0.9875297472
T.CS.151	68.85297	1059.6557377	451	6.86014303146	0.976006919184
T.CS.157	60.1959	897.659574468	371	6.57682651712	0.974680829335
T.CS.152	71.33776	1121.63793103	453	6.84242072759	0.972753317457
T.CS.095	81.92477	1068.01408451	494	7.4123257758	0.984782193553
T.CS.158	79.81069	1075.36842105	497	7.07137945874	0.977147922601
T.CS.109	84.20443	1256.125	487	7.446466494	0.9877030752
T.CS.142	61.04052	1043.50847458	428	6.72773244955	0.977238506078
T.CS.141	57.93121	978.701754386	415	6.85157191148	0.979743487625
T.CS.166	78.041	1034.08333333	472	7.11500391965	0.980617531082
