g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Leuconostoc	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Coprobacillus	g__Erysipelatoclostridium	g__Faecalicoccus	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.244	0.00027027027027027	0.00324324324324324	0.00101351351351351	0.00351351351351351	0	0.0027027027027027	0.00398648648648649	0.0163513513513514	0.00141891891891892	6.75675675675676e-05	0	0.00925675675675676	0	0.0052027027027027	0.00554054054054054	0.0133783783783784	0.00358108108108108	0	0	0	6.75675675675676e-05	0.00709459459459459	6.75675675675676e-05	0	0.208918918918919	0.020472972972973	0.000472972972972973	0.000405405405405405	0	0	0	0	0.0251351351351351	0	0.00398648648648649	0	6.75675675675676e-05	0.0608783783783784	0	0	0.0022972972972973	0.00439189189189189	0.0333783783783784	0.000135135135135135	0	6.75675675675676e-05	0	0.0022972972972973	0	0	0.000743243243243243	0.00628378378378378	0.000202702702702703	0.00986486486486486	6.75675675675676e-05	0.000608108108108108	0.0197972972972973	0.00317567567567568	0.00027027027027027	0.0238513513513514	0	0.0181756756756757	6.75675675675676e-05	0.000135135135135135	0.0202027027027027	0.0136486486486486	0.0259459459459459	0	0.0097972972972973	0	0	0.000540540540540541	6.75675675675676e-05	0	0.00304054054054054	0.00027027027027027	0.00195945945945946	0	0.000135135135135135	0	0.0481081081081081	0.000878378378378378	0	0.00472972972972973	0.00182432432432432	0	0.0110135135135135	0	0.0202702702702703	0	0.0136486486486486	0.000135135135135135	0	0	0	0.0310810810810811	0.000540540540540541	0	0	0.0619594594594595	0.00391891891891892	0.000743243243243243	0.0181756756756757	0.00195945945945946	0	6.75675675675676e-05	6.75675675675676e-05	0.00452702702702703	0	6.75675675675676e-05	0	0.0118243243243243	6.75675675675676e-05	0.000135135135135135	0	0.00195945945945946	0.00216216216216216	0	0.000202702702702703	0.000608108108108108	0	0.00939189189189189	0.000135135135135135	0	0.00236486486486486	0.00391891891891892	0.00601351351351351	0	0.01	0	0.000202702702702703	0	0.0125	0.0124324324324324	0.0119594594594595	0.00425675675675676	0.0550675675675676	0
CS.101	0.00108764297242299	0.000105255771524805	0.000350852571749351	0.00417514560381728	0.000105255771524805	0.00750824503543611	0.00298224685986948	0.0356115360325591	0.00754333029261104	0.00112272822959792	0	0.0111921970388043	0	0.00182443337309662	0.00119289874394779	0.0148410637849975	0	0	0.000842046172198442	0.000526278857624026	0.000350852571749351	0.0153322573854466	0.00136832502982247	0	0.261736018525016	0.0414707739807733	0.000596449371973897	7.01705143498702e-05	0.00280682057399481	3.50852571749351e-05	0.00712230720651182	3.50852571749351e-05	7.01705143498702e-05	0.000175426285874675	0.00252613851659533	0.00014034102869974	7.01705143498702e-05	0.00635043154866325	7.01705143498702e-05	0.000806960915023507	0	0.0014034102869974	0.0177180548733422	0.000210511543049611	0	0.00375412251771805	0.000526278857624026	0.000842046172198442	0.000105255771524805	0	0.00308750263139429	0.00273665005964494	0.0317872430004912	0.00775384183566066	0.000385937828924286	0.00112272822959792	0.00375412251771805	7.01705143498702e-05	0.00178934811592169	0.0442775945547681	0.000175426285874675	0.0101747245807312	7.01705143498702e-05	0.000350852571749351	0.0458915163848151	0.00705213669216195	0.0216826889341099	0	0.0103852361237808	0	0.00014034102869974	0.00178934811592169	0.000596449371973897	0.000105255771524805	0.00982387200898183	0.0039997193179426	0.000701705143498702	0	0.000280682057399481	0.000456108343274156	0.0146656374991229	0.000982387200898183	0.0019998596589713	0.00385937828924286	0.000315767314574416	3.50852571749351e-05	0.000245596800224546	0	0.0279278647112483	0	0.0285944845975721	0.000315767314574416	0	0.000175426285874675	0	0.0316469019717915	0.0263490281383763	0.00126306925829766	0.0074029892639113	0.0666619886323767	0.00298224685986948	0.000421023086099221	0.00270156480247	0.0146305522419479	0	0	0	0.00764858606413585	0	0	0	0.00175426285874675	0	0	0	0.000315767314574416	0.0258227492807522	0.00105255771524805	0.000175426285874675	0	0.000491193600449091	0.000631534629148832	0.000175426285874675	0	0	0	0.030804855799593	0	0.00908708160830819	0.00014034102869974	0.00449091291839169	0	0	0.00182443337309662	0.00182443337309662	0.0019998596589713	0	0
CS.010	0.00313873195229127	0.0155367231638418	0	0	0	0	0	0.0191462649089768	0.00392341494036409	0	0	0	0	0	0.00282485875706215	0.040646578782172	0	0.00156936597614564	0.00109855618330195	0.00266792215944758	0	0.00706214689265537	0	0	0.103421217827997	0.00894538606403013	0.000313873195229127	0.00847457627118644	0	0.00721908349026993	0.00156936597614564	0	0	0	0.00564971751412429	0	0	0.0130257376020088	0	0	0	0.00282485875706215	0.014752040175769	0	0	0.0127118644067797	0	0	0	0	0.000627746390458255	0.00188323917137476	0.0091023226616447	0.00894538606403013	0	0.00455116133082235	0.00235404896421846	0.00125549278091651	0.00486503452605147	0.0277777777777778	0	0.00894538606403013	0	0.000156936597614564	0.0409604519774011	0.00627746390458255	0.0152228499686127	0	0.0128688010043942	0	0	0.00627746390458255	0.00266792215944758	0	0.0160075329566855	0.00156936597614564	0.00109855618330195	0	0	0	0.0139673571876962	0.00612052730696798	0	0.00706214689265537	0	0	0	0	0.0069052102950408	0.000941619585687382	0.0106716886377903	0.00204017576898933	0	0	0	0.054300062774639	0.008631512868801	0.000313873195229127	0	0.0376647834274953	0.00486503452605147	0	0.00706214689265537	0.00235404896421846	0	0.00141242937853107	0	0.0145951035781544	0.00109855618330195	0	0	0.0100439422473321	0	0.00470809792843691	0.00360954174513497	0	0.00470809792843691	0.000627746390458255	0	0.00266792215944758	0	0	0	0	0	0.00973006905210295	0	0.00156936597614564	0.00816070307595731	0.000156936597614564	0.00109855618330195	0	0.0034526051475204	0.0357815442561205	0.0034526051475204	0	0.219711236660389	0.0230696798493409
CS.297	0	0.0436308124145912	8.61782412252084e-05	0.00108338360397405	2.46223546357738e-05	0.000258534723675625	0.0011326283132456	0.0216307385475273	0.00126805126374235	0.000172356482450417	0	0.000603247688576459	0	0.000443202383443929	0.00754675169586468	0.0317628374801482	0	0	0.00478904797665801	0.00244992428625949	0.000972583008113066	0.00766986346904354	0.00683270341142724	0	0.320213722038239	0.0413409334334642	1.23111773178869e-05	0.00241299075430583	0	0.00418580028808155	1.23111773178869e-05	0	0.0029177490243392	0.000209290014404077	0.00185898777500092	3.69335319536607e-05	0	0.00156351951937164	0	2.46223546357738e-05	0	0.00164969776059685	0.0099720536274884	7.38670639073215e-05	4.92447092715476e-05	0.00611865512698979	0.000209290014404077	0.000393957674172381	0.00016004530513253	0	0.00209290014404077	0.00112031713592771	0.00381646496854494	0.00476442562202223	0.00119418419983503	0.000775604171026875	1.23111773178869e-05	8.61782412252084e-05	0.000640181220530119	0.0412793775468748	1.23111773178869e-05	0.0212614032279907	3.69335319536607e-05	0.00137885185960333	0.0325015081192214	0	0.00977507479040221	4.92447092715476e-05	0.00847008999470619	0	2.46223546357738e-05	0.00432122323857831	0.000369335319536607	0	0.00899947061937533	0.00016004530513253	9.84894185430953e-05	0	1.23111773178869e-05	0.00035702414221872	0.00624176690016866	0.000886404766887858	0.00185898777500092	0.00839622293079887	0	4.92447092715476e-05	2.46223546357738e-05	0	0.0165585334925579	1.23111773178869e-05	0.00353330789023354	1.23111773178869e-05	0	0	0	0.0940081499993844	0.00336095140778313	6.15558865894345e-05	8.61782412252084e-05	0.0199441072549768	0.00134191832764967	0.00110800595860982	0.00215445603063021	0.0281433513486895	0	3.69335319536607e-05	0	0.00993512009553474	0	3.69335319536607e-05	0.000455513560761816	0.0204488655250102	7.38670639073215e-05	0.00152658598741798	0	0.000689425929801667	0.0455267337215458	0.000209290014404077	0.000972583008113066	2.46223546357738e-05	3.69335319536607e-05	0	0.000578625333940685	1.23111773178869e-05	0	0	0.00478904797665801	0	0.0323045292821353	0.000147734127814643	0.00459206913957182	0	9.84894185430953e-05	0.010341388947025	0.00405037733758479	0.00493678210447265	1.23111773178869e-05	0
CS.002	0	0.001495034350194	0.000427152671484	0.00658527035204499	0.003524009539743	7.11921119139999e-05	3.5596055957e-05	0.00516142811376499	0.000213576335742	0.00035596055957	0.000640729007225999	0.000177980279785	0.000284768447656	0.001815398853807	0.000569536895311999	0.149183070515787	0	7.11921119139999e-05	0.000320364503613	0.002918876588474	0.000427152671484	0.004164738546969	0.000462748727441	0	0.0569892855871569	0.002562916028904	0	0.015199515893639	7.11921119139999e-05	0.00793792047841099	0	0	0.000106788167871	0.000213576335742	0.00740397963905599	0	0	0.000996689566795999	0	0	0	0.001744206741893	0.033353504431709	7.11921119139999e-05	0.000106788167871	0.000854305342967999	0	0.001708610685936	0.000249172391699	0	0.024774854946072	0.001317054070409	0.004378314882711	0.00751076780692699	0.00035596055957	0.002740896308689	0	0.000747517175096999	0.000783113231053999	0.049905670451714	0.000320364503613	0.00904139821307799	0	0.00822268892606699	0.0621863097568789	0.002171359413377	0.051863453529349	0.000177980279785	0.015128323781725	0.000177980279785	0.00035596055957	0.00569536895311999	0.000640729007225999	0.000391556615527	0.016196205460435	0.002669704196775	0	0.003239241092087	0	0.000177980279785	0.0427152671484	0.003346029259958	0.002028975189549	0.010572028619229	3.5596055957e-05	0	0.001922187021678	0	0.00886341793329299	0.000320364503613	0.013775673655359	0.000106788167871	0.000249172391699	0.000391556615527	0.000177980279785	0.0813369878617449	0.014380806606628	0.002028975189549	0.00569536895311999	0.178478624568398	0.003737585875485	0.001673014629979	0.00537500444950699	0.001317054070409	0	0	0	0.003381625315915	7.11921119139999e-05	3.5596055957e-05	0.000249172391699	0.018367564873812	0	0	7.11921119139999e-05	0	0.001708610685936	0	0.000106788167871	7.11921119139999e-05	3.5596055957e-05	0.000391556615527	0	0	0.000676325063182999	0	0.000462748727441	0	0.001281458014452	0	0.000711921119139999	0	0	0.000783113231053999	0.001744206741893	0.000142384223828	0.001174669846581	0.00035596055957
CS.354	0	0.000166126754713847	0.00049838026414154	0.00207658443392308	0	0.00024919013207077	0	0.0163634853393139	0.00872165462247695	0.000830633773569233	0	0.00315640833956309	0	0.00315640833956309	0.00282415483013539	0.0437743998670986	0	0.00024919013207077	0.00207658443392308	0	0.000166126754713847	0.00265802807542155	0.000830633773569233	0	0.261483511919595	0.0388736606030401	0	0.00099676052828308	0	0.00149514079242462	0	0	0	0	0.00323947171692001	0	0	0.0201844006977324	0	0	0	0.00656200681119694	0.00789102084890772	0.000332253509427693	0	0.000664507018855387	0.00024919013207077	0	0	0	0.000166126754713847	0.00182739430185231	0.0177755627543816	0.00440235899991694	0.000166126754713847	0.000332253509427693	0	0	8.30633773569233e-05	0.0380430268294709	8.30633773569233e-05	0.0307334496220616	8.30633773569233e-05	0.0039039787357754	0.0681950328100341	0	0.0088877813771908	0	0.0240883794335078	0	0	0.00448542237727386	0.000830633773569233	0	0.0255835202259324	0.00107982390564	0.00049838026414154	0	0.00124595066035385	0	0.0372954564332586	0.000664507018855387	0.000166126754713847	0.000830633773569233	0	0.000166126754713847	0.00564830966027079	0	0.0338898579616247	0.00024919013207077	0.00191045767920924	8.30633773569233e-05	0	0	0	0.103829221696154	0.00398704211313232	0	0	0.0271617243957139	0.00099676052828308	0.000664507018855387	0.0210980978486585	0.00415316886784617	0	0.00024919013207077	0	0.00913697150926157	0	0.000415316886784617	8.30633773569233e-05	0.029238308829637	0.0039039787357754	0.000166126754713847	8.30633773569233e-05	0	0.0100506686601877	0.00024919013207077	0.00049838026414154	8.30633773569233e-05	0	0	0	0	0	0.000166126754713847	0.00166126754713847	0.00024919013207077	0.0345543649804801	0	0.00024919013207077	0	8.30633773569233e-05	0	0.00074757039621231	0.000581443641498463	0	0
CS.092	0.00507312184887107	0.0117120220461591	0.0003131556696834	0.0119938621488742	0	0.00454075721040929	0.0023486675226255	0.0438104781887076	0.0626937650706166	0.0034447123665174	0.00018789340181004	0.0258666583158488	0	0.0350108038706041	0.000626311339366799	0.049008862305452	0.00817336297873673	0.00028184010271506	0.011242288541634	0.00034447123665174	0.0001565778348417	0.00973914132715373	0.00021920896877838	0.000563680205430119	0.0777565527823881	0.0003131556696834	0.000469733504525099	0.00275576989321392	6.26311339366799e-05	0.00103341370995522	6.26311339366799e-05	0	0.0001565778348417	0.00100209814298688	0.00457207277737763	6.26311339366799e-05	0.00037578680362008	0.000845520308145179	6.26311339366799e-05	0.00012526226787336	0.00012526226787336	0.00228603638868882	0.0479441330285285	0.00028184010271506	3.131556696834e-05	0.0034447123665174	0.0001565778348417	0.00028184010271506	0.000407102370588419	3.131556696834e-05	0.00676416246516143	0.00598127329095293	0.0294992640841762	0.00331945009864404	0.001565778348417	0.00717126483574985	0.00012526226787336	0.00510443741583941	0.00948861679140701	0.0418375974697022	0.00037578680362008	0.0181003977077005	0.000626311339366799	0.00532364638461779	0.0365452666520527	0.00310024112986566	0.00814204741176839	6.26311339366799e-05	0.00441549494253593	3.131556696834e-05	9.39467009050199e-05	0.00131525381267028	0.000438417937556759	0.00012526226787336	0.00782889174208499	0.0020355118529421	0.00134656937963862	0.0001565778348417	3.131556696834e-05	0.000438417937556759	0.00836125638054677	0.00106472927692356	0.00353865906742242	0.011054395139824	0.00244261422353052	3.131556696834e-05	0.00607521999185795	0	0.00306892556289732	0.00122130711176526	0.0449691541665362	9.39467009050199e-05	0	0.00018789340181004	0	0.0480693952964018	0.00475996617918767	9.39467009050199e-05	0.00482259731312435	0.0355118529420975	0.00936335452353365	0.00206682741991044	0.0159083080199167	0.0012526226787336	0	3.131556696834e-05	0	0.00106472927692356	0	0	0.00256787649140388	0.00447812607647261	0	0	9.39467009050199e-05	0	0.0622553471330598	3.131556696834e-05	0.0001565778348417	6.26311339366799e-05	0.00181630288416372	0	6.26311339366799e-05	0	3.131556696834e-05	0	0.00306892556289732	0	0.00936335452353365	3.131556696834e-05	0.00194156515203708	0	0.00122130711176526	0.00886230545204021	0.000751573607240159	0.000657626906335139	0.0142172674036263	0.00034447123665174
L.005.M1	0	3.65523795599094e-05	8.52888856397885e-05	0.00698150449594269	3.65523795599094e-05	0.0028632697321929	0.00285108560567293	0.0251480371372176	0.00224187927967444	0.000475180934278822	0	0.00320442527475205	0	0.00124278090503692	0.00197382849623511	0.00536101566878671	0	0	0.0012915174111168	0	0	0.0285839608158491	0.00694495211638278	0	0.20965226502912	0.0168750152301581	3.65523795599094e-05	0	0	0.000280234909959305	0.00441065380022906	1.21841265199698e-05	2.43682530399396e-05	0.000194946024319517	0.00119404439895704	0.000170577771279577	0.000341155542559154	0.00498330774666764	0	0.00335063479299169	0.000889441235957794	0.0636376928138022	0.0185807929429539	0.00165704120671589	0	0.00103565075419743	3.65523795599094e-05	0.00115749201939713	0.000170577771279577	0	0.000280234909959305	0.00330189828691181	0.0157662597168409	0.00381363160075054	0.00159612057411604	0.00054828569339864	0.00275361259351317	0.000194946024319517	0.000207130150839486	0.0193971294197919	2.43682530399396e-05	0.012500913809489	0.000121841265199698	0.000377707922119063	0.0114287106757317	0	0.0127080439603285	2.43682530399396e-05	0.00790749811146039	0	2.43682530399396e-05	0.00203474912883495	0.000207130150839486	0	0.00402076175159003	9.74730121597583e-05	0.000109657138679728	0	4.87365060798791e-05	0	0.0222116626459049	0.000170577771279577	0.000706679338158247	0.00727392353242196	0.000280234909959305	0	0.0148402661013232	6.09206325998489e-05	0.000938177742037673	0.0039111046129103	0.0148280819748032	6.09206325998489e-05	0	0.000219314277359456	0	0.0940005361015669	0.00252211418963375	0.000134025391719668	0	0.00593366961522528	0.00319224114823208	0.000523917440358701	0.00281453322611302	0.0271584180130126	0	0	0	0.00731047591198187	0	0	0.000134025391719668	0.00829739016009942	0	0	0.00662816482686356	0.00214440626751468	0.022589370568024	0.0272071545190925	0.00795623461754027	0	0	4.87365060798791e-05	0	0	0	0	0.00188853961059532	0	0.00523917440358701	1.21841265199698e-05	0.00215659039403465	0.00057265394643858	0.135061042473865	0.0224309769232644	0.00678655847162317	0.00444720617978897	0.00125496503155689	0
CS.059	0.0206687394872318	0.000178398491258474	0.000484224476273001	0.0609867985116469	0.0011978184413069	0	2.54854987512106e-05	0.0126408073806004	0.00448544778021306	0.00247209337886742	0.000305825985014527	0.00173301391508232	2.54854987512106e-05	2.54854987512106e-05	0.000841021458789948	0.0337428003466028	0.0116978439268056	0.00124878943880932	0.0086905550741628	0.00129976043631174	0.00247209337886742	0.00356796982516948	0	0	0.128294000713594	0.0224017534023141	0	0.0134053723431368	0.000203883990009685	0.0116468729293032	0.0305825985014527	0	0.000152912992507263	0.000637137468780264	0.00160558642132627	0	0.000305825985014527	0.00091747795504358	0	0	0	0.0173556246495744	0.0226566083898262	0	2.54854987512106e-05	0.00856312758040675	0.00043325347877058	0.000713593965033896	0.000305825985014527	2.54854987512106e-05	0.0151383862582191	0.00614200519904175	0.0274988531525562	0.00326214384015495	0.00178398491258474	0.00435802028645701	0	0.0205158264947245	0.00219175289260411	0.0283143891125949	0.000968448952546001	0.00568326622151996	0.000407767980019369	0.00310923084764769	0.0409806819919466	0.0122330394005811	0.00904735205667975	0	0.00899638105917733	2.54854987512106e-05	0.000331311483765737	0.00440899128395943	0.000356796982516948	0	0.00512258524899332	0	0.000254854987512106	0.000280340486263316	0	7.64564962536317e-05	0.0214333044497681	0.0011978184413069	0.00244660788011621	0.0297415770426627	5.09709975024211e-05	0	0	0	0.00973546052296244	0.000152912992507263	0.018757327080891	0.000356796982516948	0	0	0	0.0882817676741934	0.00499515775523727	0.000229369488760895	0.00122330394005811	0.0382792191243183	0.00894541006167491	0.00219175289260411	0.00257403537387227	0.0322391559202814	0	0.00043325347877058	0	0.0212039349610072	5.09709975024211e-05	0	0.00163107192007748	0.0372343136755186	0	0	0	0.00045873897752179	0	0	0.000101941995004842	0.000203883990009685	0.000866506957541159	0.00298180335389164	0.000407767980019369	0	5.09709975024211e-05	0	0.0148325602732045	0	0.00461287527396911	2.54854987512106e-05	0.00616749069779296	0	0.000407767980019369	7.64564962536317e-05	0.000764564962536317	0.000127427493756053	0	0
CS.086	0	0.0149892933618844	0.00042263045193283	0.0636481460610842	0	0.00760734813479094	2.81753634621887e-05	0.0609714865321763	0.00698749013862279	0.00264848416544573	0	0.00910064239828694	0	0.0012397159923363	0.00231037980389947	0.020314437056238	0	0	0.00512791615011834	0.000140876817310943	0.000281753634621887	0.00718471768285811	0	0.000169052180773132	0.260593936661783	0.0240617603967091	0	0.000450805815395019	0.000873436267327849	0.00115518990194974	0	0	0.000901611630790037	0.000253578271159698	0.00183139862504226	0.000197227544235321	0.000478981178857207	0.00346556970584921	0.000281753634621887	0.000169052180773132	5.63507269243773e-05	0.00388820015778204	0.0240054096697847	0.00177504789811789	8.4526090386566e-05	0.00140876817310943	0.000225402907697509	0.00115518990194974	8.4526090386566e-05	0.00104248844810098	0.000366279725008453	0.0102276569367745	0.00205680153273977	0.00267665952890792	0.000704384086554717	0.00163417108080694	0.00211315225966415	0.00115518990194974	0.000394455088470641	0.048095345429956	0.000169052180773132	0.0154400991772794	0.000169052180773132	0.0176941282542545	0.0403752958413164	0.000760734813479094	0.0390510537585935	0	0.0163698861715316	2.81753634621887e-05	0.000112701453848755	0.00264848416544573	8.4526090386566e-05	5.63507269243773e-05	0.00673391186746309	0.00343739434238702	0.000281753634621887	0.000253578271159698	0.000394455088470641	0.000281753634621887	0.0200608587850783	0.000873436267327849	0.001493294263496	0.00439535670010143	5.63507269243773e-05	0	0.000563507269243773	5.63507269243773e-05	0.0114110222021864	0.000169052180773132	0.00493068860588302	0.000338104361546264	0	8.4526090386566e-05	2.81753634621887e-05	0.0542939253916376	0.00712836695593373	0.000197227544235321	0.00262030880198355	0.0498422179646117	0.00183139862504226	0.00169052180773132	0.00205680153273977	0.0121717570156655	0	2.81753634621887e-05	0	0.00848078440211879	0	0	5.63507269243773e-05	0.002986588526992	0.000788910176941283	0	0	0.000197227544235321	0.0244562154851798	0	0.00135241744618506	5.63507269243773e-05	0	0.004479882790488	0.000676208723092528	0	0	2.81753634621887e-05	0.0133832976445396	0.000366279725008453	0.000901611630790037	0.000169052180773132	0.000619857996168151	0	0.000563507269243773	0.0022258537135129	0.000732559450016905	0.0022258537135129	0.00619857996168151	0.000338104361546264
