g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Coprobacillus	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.296	0.000200251224263167	0.000382297791775136	0.000273069851267954	0.00402322914201453	0.000109227940507182	0.000782800240301469	0.002403014691158	0.0351896015000637	0.00227558209389962	0.000546139702535909	0	0.000873823524057454	0	0.00100125612131583	0	0	0.0196428246345415	0	9.10232837559848e-05	0	0.000364093135023939	0.00023666053776556	0.0164388050463309	0	0	0.269283282663705	0.0328594054359105	0.000527935045784712	0.00116509803207661	0	0.000928437494311045	0	0.0218455881014363	0	0.000254865194516757	0.00314940561795707	3.64093135023939e-05	0.0006007536727895	0.0168757168083596	0.000782800240301469	1.8204656751197e-05	0.00140175856984217	0.0188054104239865	0.000127432597258379	7.28186270047878e-05	0.00285813110993792	0	0.00109227940507182	0.000364093135023939	0	0.00342247546922503	0.00145637254009576	0.0104676776319382	0.00438732227703847	0.00083741421055506	0.000964846807813439	0	0.000309479164770348	0.0018204656751197	0.0233747792685369	7.28186270047878e-05	0.00806466294078025	0.000273069851267954	0.00209353552638765	0.0220094300121971	0	0.0270157106187763	1.8204656751197e-05	0.0150188418197375	3.64093135023939e-05	0.000109227940507182	0.0054067830551055	0.000327683821521545	0.000254865194516757	0.00387759188800495	0.00101946077806703	0.000527935045784712	0	5.46139702535909e-05	0	0.0379749139829968	0.00189328430212448	0.0029673590504451	0.0071726347599716	0	0	0.000910232837559848	0	0.0346434617975278	0.000309479164770348	0.00915694234585207	0.000382297791775136	0	0.000782800240301469	0.0450201161457101	0.00369554532049298	0.00249403797491398	0.00100125612131583	0.0346070524840254	0.00362272669348819	0.00156560048060294	0.00486064335256959	0.033642205676212	0	1.8204656751197e-05	0.00646265314667492	1.8204656751197e-05	0	0.000145637254009576	0.00065536764304309	3.64093135023939e-05	0.00688136025195245	0	0.000910232837559848	0.0465493073128106	1.8204656751197e-05	0.000691776956545484	0	1.8204656751197e-05	0.016639056270594	0.000109227940507182	1.8204656751197e-05	0.01414501829568	0.000163841910760773	0.00704520216271322	0	0.0160018932843021	0.000509730389033515	0.00263967522892356	0.00023666053776556	0.0519196810544137	0.00138355391309097	0.0053703737416031	0.000509730389033515	0	1.8204656751197e-05
CS.019	0	0.00833680700291788	8.33680700291788e-05	0.0970404335139642	5.55787133527859e-05	0.000222314853411144	0.000527997776851466	0.048158955120189	0.00402945671807698	0.0023620953174934	0.000138946783381965	0.00533555648186744	0	0	0	0	0.0164512991524246	0	2.77893566763929e-05	0.00411282478810616	0.000666944560233431	0.00111157426705572	0.0255662081422815	0	0	0.242350979574823	0	0	0.00250104210087536	2.77893566763929e-05	0.00205641239405308	0	0	0.00144504654717243	2.77893566763929e-05	0.00177851882728915	8.33680700291788e-05	8.33680700291788e-05	0.0070862859524802	0	0	0.00047241906349868	0.0184521328331249	0.000166736140058358	8.33680700291788e-05	0.000555787133527859	0.000500208420175073	0.000583576490204252	0.000166736140058358	0	0.000666944560233431	0.0015839933305544	0.0246213700152841	0.0023620953174934	0.000305682923440322	0.000666944560233431	0.00169515075725997	0.000416840350145894	0.00233430596081701	0.0512991524246214	5.55787133527859e-05	0.0305682923440322	0.000194525496734751	0.00683618174239266	0.0322078643879394	0	0.00803112407947756	2.77893566763929e-05	0.0108378491037932	0	0.000111157426705572	0.00419619285813533	0.000194525496734751	2.77893566763929e-05	0.00461303320828123	0.000972627483673753	0.000166736140058358	0	0.000166736140058358	5.55787133527859e-05	0.0146449909684591	0.00125052105043768	0.000778101986939002	0.00533555648186744	0	0.000111157426705572	0.00105599555370293	0	0.0345977490621092	0.000639155203557038	0.0139502570515493	0.000166736140058358	0	5.55787133527859e-05	0.0683062387105739	0.0176740308461859	0.000138946783381965	0.000500208420175073	0.0368208975962206	0.0015839933305544	0.00125052105043768	0.00564123940530777	0.0422398221481173	0	0.000138946783381965	0.0272891482562179	0.000111157426705572	2.77893566763929e-05	2.77893566763929e-05	0.000222314853411144	0	0	0	0.000305682923440322	0.0192858135334167	0	5.55787133527859e-05	8.33680700291788e-05	0	0	2.77893566763929e-05	0	0	0	0.0106155342503821	0.000138946783381965	0.0137557315548145	0	0.00227872724746422	0	0	0.000583576490204252	8.33680700291788e-05	2.77893566763929e-05	0	0
CS.038	0	0.0158402621836499	0.000121381319414942	0.0123202039206166	3.03453298537355e-05	0	0.00534077805425745	0.0286459913819263	0.008375311039631	0.00221520907932269	0	3.03453298537355e-05	0	0.00394489288098562	0	0	0.0199975723736117	0	0	0	0	0.00106208654488074	0.000121381319414942	0	0	0.376828306123688	0.000151726649268678	0	0.00130484918371063	0	0.0018814104509316	0	0	0.000303453298537355	0	0.00172968380166292	0.000212417308976149	0.000455179947806033	0.0120167506220793	0	0	0.00467318079747527	0.008375311039631	0	0	0.000667597256782181	0	0.000394489288098562	6.0690659707471e-05	0	0.000303453298537355	0.00330764095405717	0.0535291618619894	0.00394489288098562	0.000121381319414942	0.000667597256782181	0	0.00585664866177095	0	0.0566850761667779	0	0.0201189536930266	0	0.00473387145718274	0.0241548825635735	0	0.00191175578078534	0.000515870607513504	0.00980154154275657	0	9.10359895612065e-05	0.00449110881835286	0.000212417308976149	0	0.0136250531043272	0.00528008739454998	0.000485525277659768	3.03453298537355e-05	0	3.03453298537355e-05	0.034077805425745	0.000788978576197123	0.000364143958244826	0.000788978576197123	0.000212417308976149	0	0.00112277720458821	0	0.00579595800206348	3.03453298537355e-05	0.00940705225465801	3.03453298537355e-05	0	0.000728287916489652	0.0615403289433756	0.0183892698913637	3.03453298537355e-05	3.03453298537355e-05	0.0353826546094556	0.00060690659707471	0.00118346786429568	0.0156885355343813	6.0690659707471e-05	9.10359895612065e-05	3.03453298537355e-05	0.00968016022334163	0	0.000242762638829884	0.00142623050312557	0.0563512775383868	6.0690659707471e-05	0	0	0	0.00634217393943072	0	0.000849669235904594	0	0	0	0	0	0	0	0.00309522364508102	0	0.0116526066638344	3.03453298537355e-05	0.000212417308976149	0	3.03453298537355e-05	0.000121381319414942	0.0013655398434181	0.00373247557200947	0.000303453298537355	0
CS.017	0	7.3062029663184e-05	0.00018265507415796	0.00179001972674801	0	0	0.00204573683056915	0.0301380872360634	0.00226492291955871	0.000255717103821144	0	0.000876744355958208	0	0.00113246145977935	0	0.00672170672901293	0.00672170672901293	0	0	0.00299554321619055	0.000292248118652736	0.000438372177979104	0.0221012639731132	0	0	0.30656827646672	0.0592533060568423	7.3062029663184e-05	0.000401841163147512	0	0.00347044640900124	0.00325126032001169	0	7.3062029663184e-05	7.3062029663184e-05	0.0013881785636005	0.000109593044494776	0	0.00124205450427413	0.000949806385621393	0	0.00515087309125447	0.0281288814203259	0	0	0.00157083363775846	0	0.000840213341126616	3.6531014831592e-05	0	0.00157083363775846	0.00208226784540075	0.0322568860962958	0.00774457514429751	0.00102286841528458	0.00073062029663184	0	0.00131511653393731	0.000584496237305472	0.0377730693358662	3.6531014831592e-05	0.035727332505297	0.000146124059326368	0.00299554321619055	0.0341564988675385	0	0.0146489369474684	7.3062029663184e-05	0.0116168627164463	0	0	0.00116899247461094	0.00036531014831592	0	0.0139183166508366	0.00116899247461094	0.000474903192810696	7.3062029663184e-05	7.3062029663184e-05	0.000219186088989552	0.00675823774384452	0.00102286841528458	0.00116899247461094	0.00489515598743333	0.000146124059326368	3.6531014831592e-05	0.00252064002337985	0.000401841163147512	0.0323664791407905	0.00153430262292687	0.0134434134580259	3.6531014831592e-05	0	0.000109593044494776	0.0782859647841017	0.00938847081171915	3.6531014831592e-05	0.00171695769708483	0.0688244319427194	0.000584496237305472	0.00131511653393731	0.00376269452765398	0.00657558266968656	0	0	0	0	3.6531014831592e-05	0.00142470957843209	0.00657558266968656	0	0	0.025608241396946	0.00036531014831592	0.0199094030832177	0	0	0	0	0	0	0	0	0	0.00697742383283408	0	0.00653905165485497	0.000840213341126616	0.000255717103821144	0	0.000219186088989552	0.00153430262292687	0.000474903192810696	0.00036531014831592	0	0
CS.357	0	0	0.000159300237502172	0.0131350286740428	5.7927359091699e-05	0.000680646469327463	0.000144818397729248	0.0763482592828593	0.00402595145687308	0.000101372878410473	0	0.000637200950008689	0	0.00127440190001738	0.000448937032960667	0.00196953020911777	0.00143370213751955	1.44818397729248e-05	0.000144818397729248	0.0014047384579737	2.89636795458495e-05	0.000144818397729248	0.00645890053872444	0.00217227596593871	0	0.284597115217517	0.046776342466547	7.24091988646238e-05	0.000593755430689915	0.000868910386375485	4.34455193187743e-05	1.44818397729248e-05	1.44818397729248e-05	0	2.89636795458495e-05	0.000810983027283786	2.89636795458495e-05	0	0.00483693448415687	0.00057927359091699	0.00057927359091699	0.0155100503968024	0.00611133638417425	7.24091988646238e-05	4.34455193187743e-05	0.000868910386375485	0.000318600475004345	0.000868910386375485	0.000144818397729248	1.44818397729248e-05	0.000246191276139721	0.00501071656143196	0.00265017667844523	0.00228813068412211	0.000260673115912646	0.00137577477842785	1.44818397729248e-05	0.00114406534206106	0.000260673115912646	0.00955801425013034	2.89636795458495e-05	0.0658923709668076	2.89636795458495e-05	0.00144818397729248	0.0183774546718415	0	0.0141053119388287	0	0.016161733186584	0	0.000130336557956323	0.00278051323640155	0.000173782077275097	4.34455193187743e-05	0.00330185946822684	0.00212883044661994	0.000130336557956323	0	8.68910386375485e-05	5.7927359091699e-05	0.0174361350866014	0.000448937032960667	0.000550309911371141	0.00186815733070729	0.000115854718183398	0	0.0164368881422696	0	0.00441696113074205	4.34455193187743e-05	0.0109337890285582	8.68910386375485e-05	0	0	0.0720037073509819	0.00356253258413949	0.000144818397729248	8.68910386375485e-05	0.044270984185831	0.000767537507965012	0.000231709436366796	0.00632856398076812	0.0472107976597347	0	5.7927359091699e-05	0.0578549498928344	0	0	0.000347564154550194	0.00660371893645369	0	0.00260673115912646	0	0.000188263917048022	0.0178126629206974	0.00250535828071598	0.0108034524706019	8.68910386375485e-05	0	1.44818397729248e-05	0	0	0	0	0.00328737762845392	0	0.0030411863523142	0.000419973353414818	0.000405491513641893	0.000101372878410473	0.0346260788970631	0.00656027341713491	0.00172333893297805	0.000999246944331808	0	0
L.033.M1	9.62556550197324e-05	9.62556550197324e-05	0.000288766965059197	0.0272403503705843	0	0.00664164019636154	0.00346520358071037	0.0331119453267879	0.00606410626624314	0.00962556550197324	0	0.000577533930118394	0	0.00221388006545385	0	0.000192511310039465	0.0138608143228415	0	9.62556550197324e-05	0	0	0.00038502262007893	0.00519780537106555	0.00115506786023679	0	0.189912407353932	0.0332082009818077	0	0.00125132351525652	0	0.00394648185580903	0	0	0	0	0.000770045240157859	0	0.000962556550197324	0.000288766965059197	0	0	0.000481278275098662	0.0129945134276639	9.62556550197324e-05	0.000192511310039465	0.000962556550197324	9.62556550197324e-05	0.00134757917027625	0.000770045240157859	0	0	0.00173260179035518	0.00837424198671672	0.0065453845413418	9.62556550197324e-05	0.00163634613533545	9.62556550197324e-05	0	0	0.0221388006545385	0	0.00991433246703244	0.00346520358071037	0.00173260179035518	0.0669939358937338	0	0.00481278275098662	0	0.0873038791028973	0.000192511310039465	0.000577533930118394	0.00587159495620368	0.00163634613533545	0	0.0118394455674271	0.00933679853691404	0	0	0	9.62556550197324e-05	0.0130907690826836	0.000192511310039465	0.000770045240157859	0.00231013572047358	0	0	0.000577533930118394	0	0.000962556550197324	0.000192511310039465	0.00221388006545385	0.00134757917027625	0	0	0.0783521031860622	0.0113581672923284	0.00269515834055251	0.000288766965059197	0.0129945134276639	0.000481278275098662	0.00173260179035518	0.00211762441043411	0.0178072961786505	0	0	0.0265665607854461	0	0	0	0.0690153046491481	0.0369621715275772	0.000962556550197324	0	0.000673789585138127	0.0414861873135047	0.00635287323130234	0.000288766965059197	0.000481278275098662	0	0	0	0	0	0	0	9.62556550197324e-05	0.0108768890172298	0.00134757917027625	0.00500529406102609	0.000577533930118394	0.0443738569640966	0.000192511310039465	0.000192511310039465	0	0	0.00038502262007893
CS.099	0.000579038795599305	0.00106899469956795	0.000356331566522649	0.0297536858046412	4.45414458153312e-05	0.00405327156919514	0.000356331566522649	0.0612444879960804	0.006859382655561	0.0012917019286446	0.000178165783261325	0.000623580241414636	0	0.00195982361587457	0	0.000668121687229968	0.00369694000267249	0.00111353614538328	0	0.000356331566522649	4.45414458153312e-05	0	0.0208008551957597	0.00115807759119861	8.90828916306623e-05	0.351298383145517	0.0293973542381186	0.000222707229076656	0	0.000133624337445994	0.000356331566522649	0.000846287470491292	0	0.000178165783261325	4.45414458153312e-05	0.000668121687229968	0.000356331566522649	0.00120261903701394	0.0114471515745401	0.00837379181328226	0.0055676807269164	0.00881920627143557	0.00712663133045299	4.45414458153312e-05	0	0.000979911807937286	0.000178165783261325	0.000133624337445994	0	0	0.000445414458153312	0.00365239855685716	0.0190637388089617	0.00360785711104182	0.000133624337445994	0.000534497349783974	0.000534497349783974	0.000356331566522649	0.00222707229076656	0.0179947441093938	4.45414458153312e-05	0.0278829450803973	8.90828916306623e-05	0.00351877421941116	0.0298873101420872	0	0.0126497706115541	4.45414458153312e-05	0.0123379804908467	0	8.90828916306623e-05	0.00338514988196517	0.000623580241414636	0	0.00432052024408712	0.0021379893991359	4.45414458153312e-05	8.90828916306623e-05	4.45414458153312e-05	0.000489955903968643	0.00922007928377355	0.000356331566522649	0.000935370362121955	0.00262794530310454	0	0.000133624337445994	0.000712663133045299	4.45414458153312e-05	0.00775021157186762	0.00169257494098258	0.00240523807402788	0.000178165783261325	0	4.45414458153312e-05	0.0491292147343103	0.00253886241147388	0.000222707229076656	0.000579038795599305	0.0144759698899826	0.00106899469956795	0.00111353614538328	0.00356331566522649	0.00525589060620908	0	0	0.00476593470224043	0	0	0.000222707229076656	0.00267248674891987	0	0.00846287470491292	0.000222707229076656	0.000356331566522649	0.0531379448576901	0	0.000489955903968643	0	0	0.000801746024675961	0	0	0.00262794530310454	4.45414458153312e-05	0.00356331566522649	0.000133624337445994	0.00534497349783974	0	0.000133624337445994	8.90828916306623e-05	0.0634715602868469	0.0314462607456238	0.000623580241414636	0.000712663133045299	0.000400873012337981	0.000668121687229968
CS.217	0.000804206619239097	0.0236931642437365	0.0039901020723786	0.0105474791215589	3.09310238168883e-05	0.00340241261985772	0.00374265388184349	0.0371790906278998	0.00971234147850294	0.00145375811939375	0	0.00377358490566038	0	0.00315496442932261	3.09310238168883e-05	0.00173213733374575	0.00250541292916796	0	3.09310238168883e-05	0.0013300340241262	0.00037117228580266	0.00074234457160532	0.00931023816888339	0.00222703371481596	0	0.200711413547788	0.0330652644602536	0	0.000680482523971544	0	0.00018558614290133	0.00974327250231983	0.0191772347664708	0.00160841323847819	6.18620476337767e-05	0.00191772347664708	0.00018558614290133	0.00856789359727807	0.00247448190535107	0.00686668728734921	0.00269099907206929	0.144509743272502	0.00961954840705227	0.000494896381070213	3.09310238168883e-05	0.00355706773894216	3.09310238168883e-05	0.000896999690689762	0	3.09310238168883e-05	0.00114444788122487	0.00389730900092793	0.00893906588308073	0.00262913702443551	0.000463965357253325	0.0010516548097742	0.00541292916795546	0.000123724095267553	0.00253634395298484	0.0231673368388494	9.2793071450665e-05	0.0200433034333436	6.18620476337767e-05	0.000278379214351995	0.0229198886483143	0.0224868543148778	0.035725332508506	0	0.00275286111970306	0	0	0.00247448190535107	0.000247448190535107	0	0.0055675842870399	0.000278379214351995	6.18620476337767e-05	0.000123724095267553	6.18620476337767e-05	3.09310238168883e-05	0.0112279616455305	0.0010516548097742	0.000649551500154655	0.00643365295391277	0.00018558614290133	3.09310238168883e-05	0.00330961954840705	6.18620476337767e-05	0.00572223940612434	0.000773275595422209	0.00989792762140427	0.000154655119084442	0	0	0.0349829879369007	0.0131766161459944	0.000123724095267553	0.000711413547788432	0.0199195793380761	0.00269099907206929	0.000804206619239097	0.00720692854933498	0.00330961954840705	0	0	0.00658830807299722	0	0	0.0055675842870399	0.0279307145066502	0	0	0.00612434271574389	0.000216517166718218	0.0119703062171358	0	0.0131456851221775	6.18620476337767e-05	9.2793071450665e-05	0.00256727497680173	0.000154655119084442	3.09310238168883e-05	0.000123724095267553	0.000123724095267553	0.00918651407361584	6.18620476337767e-05	0.0031858954531395	3.09310238168883e-05	0.00204144757191463	9.2793071450665e-05	0.00943396226415094	0.0167336838849366	0.00906278997834828	0.0106402721930096	6.18620476337767e-05	0
L.012.M1	0	7.36566861856885e-05	3.68283430928443e-05	5.52425146392664e-05	0	0.000791809376496151	0.00546900894928737	0.030143998821493	0.00405111774021287	0.000386697602474865	0	0.014178912090745	0	0.00114167863587817	0	0.00243067064412772	0.00338820756454167	0	0	0.00112326446433175	0.000128899200824955	0.000147313372371377	0.021157883106839	0	0	0.0857916252347807	0.016664825249512	1.84141715464221e-05	5.52425146392664e-05	0.00143630538062093	0.000276212573196332	1.84141715464221e-05	0	9.20708577321106e-05	0.000165727543917799	0.00197031635546717	0	5.52425146392664e-05	0.000220970058557066	0.00395904688248076	0.00697897101609399	0.0282841674953044	0.0253379000478768	0.00130740617979597	0.00025779840164991	0.000534010974846242	0	0.00375649099547011	0.000239384230103488	1.84141715464221e-05	0.000883880234228262	0.00171251795381726	0.0166279969064192	0.0020808013847457	0.00314882333443818	0.00128899200824955	0	0.000313040916289176	0.000718152690310463	0.0417633410672854	3.68283430928443e-05	0.0102382793798107	5.52425146392664e-05	9.20708577321106e-05	0.0161676426177586	0	0.00513755386145177	7.36566861856885e-05	0.0148418222664162	0	1.84141715464221e-05	0.00381173351010938	0.000534010974846242	5.52425146392664e-05	0.00418001694103782	0.000128899200824955	0.000681324347217619	7.36566861856885e-05	0.00217287224247781	0.00060766766103193	0.0730858468677494	0.000791809376496151	0.00139947703752808	0.0142893971200236	0.000128899200824955	1.84141715464221e-05	0.0319854159761352	0.000386697602474865	0.00508231134681251	0.0144735388354878	0.065388723161345	0.000128899200824955	0	0	0.0723861083489854	0.0143814679777557	3.68283430928443e-05	0.00243067064412772	0.0364416454903694	0.00336979339299525	0.000626081832578352	0.0194637793245682	0.00534010974846242	0	0.00025779840164991	0.0485397561963687	0	0.000110485029278533	0.0017493462969101	0.0274555297757154	1.84141715464221e-05	0	0	0	0.00197031635546717	0	0.00150996206680661	1.84141715464221e-05	0	0	0	0	0	0	1.84141715464221e-05	1.84141715464221e-05	1.84141715464221e-05	0.000147313372371377	0.00307516664825249	0	0	0.0386697602474865	0.0267742054284978	0.0401428939712002	0.000276212573196332	1.84141715464221e-05
CS.293	0	0.00110826271423614	0.000111945728710721	0.000537339497811461	5.59728643553605e-05	0.00222772000134335	0.00381734934903559	0.0131088448320254	0.00251877889599122	6.71674372264326e-05	0	0.00273147578054159	0	0.000750036382361831	0.000156724020195009	0.00183590995085583	0.00668316000403005	0.00185829909659797	0	0.00085078753820148	1.11945728710721e-05	2.23891457421442e-05	0.016299298100281	0.000347031759003235	0	0.242194584065645	0.0460768619373328	0	3.35837186132163e-05	0.00108587356849399	0.000246280603163586	0.0132431797064783	0.000223891457421442	1.11945728710721e-05	1.11945728710721e-05	0.00154485105620795	0	0	0.0159634609141488	0	0	0.00130976502591544	0.0221540597118517	0.00210457969976156	3.35837186132163e-05	0.00207099598114834	0.000403004623358596	0.000201502311679298	0.000145529447323937	0	0.000380615477616452	0.00142171075462616	0.00940344121170057	0.00236205487579621	0.00069406351800647	0.000817203819588264	0.00106348442275185	0.00114184643284935	0.000257475176034658	0.0197024482530869	4.47782914842884e-05	0.0201614257408009	0.000447782914842884	0.000235086030292514	0.0219973356916567	0	0.0183590995085583	2.23891457421442e-05	0.00555250814405176	1.11945728710721e-05	2.23891457421442e-05	0.00207099598114834	0.000201502311679298	1.11945728710721e-05	0.00634732281789788	6.71674372264326e-05	0.000190307738808226	0	0	0.000167918593066082	0.057439353401471	0.000705258090877543	0.00127618130730222	0.0025299734688623	0.000223891457421442	8.95565829685768e-05	0.000347031759003235	0	0.0454499658565527	7.83620100975047e-05	0.0056196755812782	6.71674372264326e-05	0	0.000179113165937154	0.0313336094661308	0.00441066171120241	4.47782914842884e-05	3.35837186132163e-05	0.0163328818188942	0.00339195557993485	0.000861982111072552	0.0129185370932172	0.0148887819185259	0	5.59728643553605e-05	0.00335837186132163	0	3.35837186132163e-05	0.000235086030292514	0.0285461608212339	0	0	0.0336508860504427	0.000973927839783273	0.0281879344893596	0	4.47782914842884e-05	3.35837186132163e-05	0	0.00143290532749723	0	0	0	0	0.0203965117710934	0	0.013511849455384	0.000179113165937154	0.00138812703601294	0.000436588341971812	0.128659226007232	0.000302253467518947	0.000190307738808226	3.35837186132163e-05	7.83620100975047e-05	0
