PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.219	71.51617	504.9375	308	6.37588193349	0.967133222383
CS.022	45.82996	489.444444444	225	5.91088745483	0.967185482082
L.002.M1	46.70484	668.773584906	330	6.04703378152	0.96279566741
CS.217	73.89318	626.8	337	6.76226083092	0.975092809958
CS.257	71.43757	1174.38181818	454	6.94926444886	0.978245376269
CS.084	84.86866	616.188679245	364	7.15972677409	0.985506861372
CS.101	74.43904	775	340	6.82961558164	0.979415993515
L.025.M1	53.42792	817.042553191	359	6.66584254524	0.979004012892
CS.265	97.47906	820.391891892	452	7.12389616961	0.974288446099
CS.281	69.33108	1073.68292683	380	6.53564019851	0.968237208513
CS.280	83.39063	1210.08064516	477	7.04841912914	0.979812731725
L.035.M1	55.71396	1107.38636364	400	6.85722159346	0.981181500328
CS.028	77.99057	596.826086957	334	6.79842140871	0.980433315645
CS.017	60.60506	613.25	302	5.71078691957	0.929080322939
CS.010	62.52256	351.076923077	250	6.28075531098	0.944857961406
CS.367	35.51786	519.029411765	241	5.76612704329	0.963685824274
CS.076	51.772	521.181818182	243	5.83708274666	0.964640434766
CS.368	79.21084	1118.78846154	441	7.18501345283	0.984324485694
CS.382	61.95589	1238	422	7.23800514428	0.987131702497
CS.115	44.6346	385.681818182	187	5.64237523597	0.963870910706
CS.050	42.19777	394.058823529	189	5.91222707649	0.968157076976
CS.063	54.01978	440.222222222	238	6.04233026265	0.961222650486
CS.117	61.416	617.6	281	6.28119277593	0.974535373175
CS.161	48.61543	484.303030303	238	5.83257989884	0.963981962565
CS.360	60.72465	880.1	414	7.09051462288	0.984522201553
CS.067	35.34234	309.882352941	151	5.12352270866	0.944192956743
CS.155	67.7537	843.1	408	7.22611250408	0.987524956728
CS.334	46.2462	583	303	6.41928034707	0.974082891285
CS.056	56.12641	668.625	269	6.37092230781	0.974595907325
CS.065	60.62497	907.45	343	6.38383497062	0.971754286221
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.126	72.30157	1211.87301587	476	7.0231210093	0.978482286902
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.203	59.31398	919.344262295	405	6.38679076113	0.962855330565
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.147	58.42932	847.230769231	406	6.74398006229	0.977459303304
CS.395	68.90364	852.01754386	402	7.00537435368	0.984435537553
CS.166	66.26063	928.5	376	6.78491363107	0.979089805897
CS.256	57.61418	716.631578947	364	6.57085381868	0.974419530843
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.386	41.30146	534.125	279	5.56718084205	0.937366533629
CS.214	57.23535	744.666666667	346	6.29829327614	0.97100392405
CS.389	53.36524	717.781818182	345	6.38418449585	0.97160360409
CS.178	67.57516	702.666666667	358	6.77081022645	0.977249829013
CS.148	47.5661	486.766666667	303	6.14357379957	0.970204786161
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.181	64.41238	881.038461538	379	6.60629832305	0.973310318743
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
T.CS.089	70.10242	889.05	419	6.78507802949	0.970583233477
T.CS.050	64.39068	879.222222222	383	6.47567975545	0.968356099327
