g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Coprobacillus	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.143	0	0.000239678830367308	0.000958715321469231	0.00164779195877524	8.98795613877404e-05	0.000838875906285577	0.00500329558391755	0.0527593025346036	0.00802924081730481	0.00122835400563245	0	0.00161783210497933	0	0.00218706932710168	0.000209718976571394	5.99197075918269e-05	0.0577026784109294	0	0.000359518245550962	0.0128827371322428	0.0022170291808976	0	0.0100665108754269	0	2.99598537959135e-05	0.0473365689975433	0	0.00137815327461202	0.00194739049673438	2.99598537959135e-05	0.00320570435616274	0	0	2.99598537959135e-05	0	0.00320570435616274	0.000239678830367308	0.000329558391755048	0.00611181017436635	2.99598537959135e-05	0.00308586494097909	0.00341542333273414	0.030109653064893	0.000179759122775481	0.000359518245550962	0.00302594523338726	0	0.0022170291808976	0.000119839415183654	5.99197075918269e-05	0.00539277368326443	0.00257654742644856	0.0154592845586914	0.00497333573012164	0.000389478099346875	0.00362514230930553	0.00590209119779495	5.99197075918269e-05	0.00257654742644856	0.030828689555995	0.000119839415183654	0.009347474384325	0.000179759122775481	0.000389478099346875	0.0415842770687279	0.0129726166936305	0.0119539816645695	5.99197075918269e-05	0.0164479597339565	0	8.98795613877404e-05	0.00506321529150938	0.000209718976571394	0.000209718976571394	0.00548265324465217	0.0015579123973875	0.000119839415183654	8.98795613877404e-05	5.99197075918269e-05	0	0.0116543831266103	0.00347534304032596	0.00209718976571394	0.0233087662532207	0.000119839415183654	0	0.00515309485289712	0.000808916052489664	0.0866139373239859	0.000329558391755048	0.0156989633890587	0.000299598537959135	0	0	0	0.0611780214512553	0.00817904008628438	0.00275630654922404	0.000479357660734616	0.0628857331176224	0.00707052549583558	0.00275630654922404	0.00164779195877524	0.00374498172448918	0	0	0.0207022589729762	2.99598537959135e-05	2.99598537959135e-05	2.99598537959135e-05	0.0166576787105279	0	0	0	0	0.0205824195577926	0	0.000419437953142789	0	0	0	0	0	0	0	0	0.0146204086524058	0	0	0.000239678830367308	0.00341542333273414	0.00473365689975433	0.0630954520941938	0.104679729162922	0.000119839415183654	0.000419437953142789	0
CS.244	0.00027027027027027	0.00324324324324324	0.00101351351351351	0.00351351351351351	0	0.0027027027027027	0.00398648648648649	0.0163513513513514	0.00141891891891892	6.75675675675676e-05	0	0.00925675675675676	0	0.0052027027027027	0.00027027027027027	0.00554054054054054	0.0133783783783784	0.00358108108108108	0	0	0	6.75675675675676e-05	0.00709459459459459	6.75675675675676e-05	0	0.208918918918919	0.020472972972973	0.000472972972972973	0.000405405405405405	0	0	0	0	0.0251351351351351	0	0.00398648648648649	0	6.75675675675676e-05	0.0608783783783784	0	0.0022972972972973	0.00439189189189189	0.0333783783783784	0.000135135135135135	0	6.75675675675676e-05	0	0.0022972972972973	0	0	0.000743243243243243	0.00628378378378378	0.000202702702702703	0.00986486486486486	6.75675675675676e-05	0.000608108108108108	0.0197972972972973	0.00317567567567568	0.00027027027027027	0.0238513513513514	0	0.0181756756756757	6.75675675675676e-05	0.000135135135135135	0.0202027027027027	0.0136486486486486	0.0259459459459459	0	0.0097972972972973	0	0	0.000540540540540541	6.75675675675676e-05	0	0.00304054054054054	0.00027027027027027	0.00195945945945946	0	0.000135135135135135	0	0.0481081081081081	0.000878378378378378	0	0.00472972972972973	0.00182432432432432	0	0.0110135135135135	0	0.0202702702702703	0	0.0136486486486486	0.000135135135135135	0	0	0	0.0310810810810811	0.000540540540540541	0	0	0.0619594594594595	0.00391891891891892	0.000743243243243243	0.0181756756756757	0.00195945945945946	0	6.75675675675676e-05	0.00452702702702703	0	6.75675675675676e-05	0	0.0118243243243243	6.75675675675676e-05	0.000135135135135135	0	0.00195945945945946	0.00216216216216216	0	0.000202702702702703	0.000608108108108108	0	0.00939189189189189	0.000135135135135135	0	0.00236486486486486	0.00391891891891892	0	0.00601351351351351	0	0.01	0	0.000202702702702703	0.0125	0.0124324324324324	0.0119594594594595	0.00425675675675676	0.0550675675675676	0
CS.261	0.0125114433933476	0.000586840684490974	0.000657261566629891	7.04208821389169e-05	0.000258209901176029	0.00124410225112087	0.00286378254031596	0.0327222365672167	0.00445998920213141	0.000516419802352057	0	0.00211262646416751	0	0.000821576958287364	2.3473627379639e-05	0.00161968028919509	0.0261496209009178	0.0185676392572944	0	0.00769934978052158	0.000845050585667003	0.00023473627379639	0.0166193281847844	0.000821576958287364	0	0.165324757634797	0.0104457641839393	0.00413135841881646	0.0012675758785005	0.00427220018309429	0.000258209901176029	0.0210323701321565	0.0193422689608225	0.00169010117133401	7.04208821389169e-05	0.00420177930095538	4.6947254759278e-05	2.3473627379639e-05	0.000140841764277834	0.00023473627379639	0.00103283960470411	0.000187789019037112	0.0284735100115021	0.000586840684490974	2.3473627379639e-05	0.00678387831271566	0.000610314311870613	0.00115020774160231	0.000164315391657473	2.3473627379639e-05	0.00880261026736462	0.00309851881411234	0.0100701861458651	0.00413135841881646	0.00154925940705617	0.00368535949860332	0.00260557263913993	0.000352104410694585	0.00929555644233704	0.0301401375554564	0.000610314311870613	0.0411492687965071	0.000117368136898195	0.000328630783314946	0.020868054740499	2.3473627379639e-05	0.0386610642942654	0.000140841764277834	0.00920166193281848	0	0.000328630783314946	0.00284030891293632	0.00046947254759278	4.6947254759278e-05	0.00842703222929039	0.00420177930095538	0	0.000492946174972418	4.6947254759278e-05	0.0012675758785005	0.00366188587122368	0.00190136381775076	0.00490598812234455	0.0221591042463792	0.00103283960470411	2.3473627379639e-05	0.00213610009154715	0	0.0159385929907749	0.00110326048684303	0.0363606488110608	0.000187789019037112	0	2.3473627379639e-05	0	0.110255627802164	0.00260557263913993	0.000727682448768808	0.0146005962301354	0.0340837069552358	0.0110326048684303	0.00288725616769559	0.00960071359827234	0.00929555644233704	0	9.38945095185559e-05	0.0176052205347292	9.38945095185559e-05	4.6947254759278e-05	0.000727682448768808	0.0272763550151405	2.3473627379639e-05	0	0	9.38945095185559e-05	0.0055397760615948	0	9.38945095185559e-05	0	0.00246473087486209	0.0131217577052182	0.000328630783314946	2.3473627379639e-05	0	2.3473627379639e-05	0.000375578038074224	0.00673693105795639	0	0.00131452313325978	0.000140841764277834	0.0102345015375226	0.00112673411422267	0.00131452313325978	0.00389662214502007	0.00115020774160231	0.00115020774160231	4.6947254759278e-05
CS.005	0.0018686100210886	0.0028029150316329	0.000320333146472331	0.0155895464616535	0	0.00317663703585062	0.00290969274712368	0.0784282320279758	0.00592616320973813	0.000427110861963108	2.66944288726943e-05	0.00475160833933958	0.000106777715490777	0.00136141587250741	0.00114786044152585	0.000213555430981554	0.0333413416619951	0	0	0.00037372200421772	0.00018686100210886	0.000213555430981554	0.0110514935532954	0.000106777715490777	0	0.163716932276234	0.0114252155575131	0.000133472144363471	0.000587277435199274	0.000533888577453885	0.0018419155922159	0.00018686100210886	0.00178852673447052	0.000213555430981554	0.00018686100210886	0.00178852673447052	0.000160166573236166	0.000427110861963108	0.00939643896318838	0.00018686100210886	0	0.00213555430981554	0.0226368756840447	0.00216224873868824	0.000160166573236166	0.00205547102319746	0.000453805290835803	0.00130802701476202	0.00018686100210886	0	0.0032567203224687	0.00258935960065134	0.0136675475828195	0.00531219134566616	0.000427110861963108	0.00189530444996129	0.000880916152798911	0.00122794372814394	0.00619310749846507	0.0388136995808975	0.000266944288726943	0.0217292651023731	0.000106777715490777	0.00194869330770668	0.0245054857051333	0	0.0163636848989616	5.33888577453885e-05	0.0134806865807106	0	0.000106777715490777	0.00795493980406289	0.000427110861963108	0.000213555430981554	0.00872907824137103	0.00355035904006834	0.000694055150690051	0.000613971864071968	0.000133472144363471	0.0014148047302528	0.0600624649635621	0.000667360721817357	0.00242919302741518	0.00960999439416994	0.00037372200421772	5.33888577453885e-05	0.00827527295053522	0	0.0264808734417127	0.0055791356343931	0.00993032754064227	0.00443127519286725	0	0.000347027575345025	0	0.0549638290488775	0.0092896612476976	0.000266944288726943	0.00112116601265316	0.0611836309762153	0.00360374789781373	0.00224233202530632	0.00555244120552041	0.019300072074958	0.000160166573236166	2.66944288726943e-05	0.0140946584447826	2.66944288726943e-05	0.000106777715490777	0.0018419155922159	0.0121459651370759	5.33888577453885e-05	2.66944288726943e-05	0	0.000266944288726943	0.0223432369664451	0	0.000240249859854248	0.00018686100210886	5.33888577453885e-05	0.000587277435199274	2.66944288726943e-05	0.000133472144363471	0.0120658818504578	0	5.33888577453885e-05	0.00742105122660901	0.00074744400843544	0.00848882838151678	0.000160166573236166	0.00352366461119564	0.0559515229171672	0.000854221723926217	0.00146819358799818	0.00117455487039855	0.000320333146472331	0.00112116601265316
L.036.M1	0	0.00926269752857202	0.000144407311135867	0.000123777695259314	0	0.000722036555679333	0.00274373891158147	0.00798366134422577	0.00771547633783059	0.00323884969261872	0	0.0048067004992367	0	0.000495110781037257	0	2.06296158765524e-05	0.0716260263233899	0	0.0008664438668152	0.0182572100507489	0.000845814250938648	0.00245492428930973	0.00536370012790362	0	0	0.159797004579775	0.00808680942360853	0	0.0133473614721294	0	0.0110368444939555	0	4.12592317531048e-05	2.06296158765524e-05	4.12592317531048e-05	0.00509551512150844	0	4.12592317531048e-05	0.000701406939802781	0.000185666542888971	4.12592317531048e-05	0.0016916285018773	0.0332136815612493	0.00181540619713661	0	0.0065395882328671	0.00035070346990139	0.000391962701654495	0.000474481165160705	0	0.0035070346990139	0.00356892354664356	0.000474481165160705	0.00579692206131122	0.00152659157486488	0.00241366505755663	0	0.000206296158765524	0.00235177620992697	0.0267153525601353	0.000474481165160705	0.00325947930849528	0.000969591946197962	0.000144407311135867	0.0334818665676445	0.026178982547345	0.020691504724182	0.00152659157486488	0.00295003507034699	4.12592317531048e-05	0.000165036927012419	0.00340388661963114	0.00204233197177869	0	0.0110987333415852	0.00140281387960556	0.000556999628666914	2.06296158765524e-05	2.06296158765524e-05	2.06296158765524e-05	0.0156991376820564	0.00160911003837109	0.00222799851466766	0.0268185006395181	0.000639518092173124	0	0.00165036927012419	0	0.000845814250938648	0.000206296158765524	0.0157403969138095	0.0034657754672608	0	0.000453851549284152	0	0.128130544209267	0.0393819367083385	0.000453851549284152	0.00860254982052234	0.0788876511119363	0.00328010892437183	0.00554936667079259	0.0110987333415852	0.00276436852745802	0	6.18888476296571e-05	0.00755043941081817	2.06296158765524e-05	0.000123777695259314	0.000722036555679333	0.0383710855303874	6.18888476296571e-05	0	0	0	0.000123777695259314	2.06296158765524e-05	0.000639518092173124	0	0	0	0	0	0.00127903618434625	6.18888476296571e-05	0	0.00237240582580352	2.06296158765524e-05	0.00757106902669472	0.000165036927012419	0.00816932788711474	0.0384536039938936	0.00379584932128564	0.00620951437884227	0.00111399925733383	0.000453851549284152	0
CS.019	0	0.00833680700291788	8.33680700291788e-05	0.0970404335139642	5.55787133527859e-05	0.000222314853411144	0.000527997776851466	0.048158955120189	0.00402945671807698	0.0023620953174934	0.000138946783381965	0.00533555648186744	0	0	0	0	0.0164512991524246	0	2.77893566763929e-05	0.00411282478810616	0.000666944560233431	0.00111157426705572	0.0255662081422815	0	0	0.242350979574823	0	0	0.00250104210087536	2.77893566763929e-05	0.00205641239405308	0	0	0.00144504654717243	2.77893566763929e-05	0.00177851882728915	8.33680700291788e-05	8.33680700291788e-05	0.0070862859524802	0	0	0.00047241906349868	0.0184521328331249	0.000166736140058358	8.33680700291788e-05	0.000555787133527859	0.000500208420175073	0.000583576490204252	0.000166736140058358	0	0.000666944560233431	0.0015839933305544	0.0246213700152841	0.0023620953174934	0.000305682923440322	0.000666944560233431	0.00169515075725997	0.000416840350145894	0.00233430596081701	0.0512991524246214	5.55787133527859e-05	0.0305682923440322	0.000194525496734751	0.00683618174239266	0.0322078643879394	0	0.00803112407947756	2.77893566763929e-05	0.0108378491037932	0	0.000111157426705572	0.00419619285813533	0.000194525496734751	2.77893566763929e-05	0.00461303320828123	0.000972627483673753	0.000166736140058358	0	0.000166736140058358	5.55787133527859e-05	0.0146449909684591	0.00125052105043768	0.000778101986939002	0.00533555648186744	0	0.000111157426705572	0.00105599555370293	0	0.0345977490621092	0.000639155203557038	0.0139502570515493	0.000166736140058358	0	5.55787133527859e-05	0	0.0683062387105739	0.0176740308461859	0.000138946783381965	0.000500208420175073	0.0368208975962206	0.0015839933305544	0.00125052105043768	0.00564123940530777	0.0422398221481173	0	0.000138946783381965	0.0272891482562179	0.000111157426705572	2.77893566763929e-05	2.77893566763929e-05	0.000222314853411144	0	0	0	0.000305682923440322	0.0192858135334167	0	5.55787133527859e-05	8.33680700291788e-05	0	0	2.77893566763929e-05	0	0	0	0	0.0106155342503821	0.000138946783381965	0.0137557315548145	0	0.00227872724746422	0	0.000583576490204252	8.33680700291788e-05	2.77893566763929e-05	0	0
CS.219	0.00714698238521513	0.00375397054576956	0.000397054576956396	0.0107204735778227	3.60958706323997e-05	0	0.00140773895466359	0.0767398209644817	0.00483684666474155	0.00173260179035518	0	0.00166041004909038	0	3.60958706323997e-05	0.000397054576956396	0.00259890268553278	0.146440947155645	0	0.00151602656656079	0.00285157377995957	0.000433150447588796	0.000144383482529599	0.00815766676292232	0.00425931273462316	0.00115506786023679	0.00537828472422755	0.000974588507074791	0.00137164308403119	0.00873520069304072	0	0.00335691596881317	0	0	7.21917412647993e-05	0.000685821542015593	0.00425931273462316	0	0	0.0517253826162287	0	0	0.000794109153912792	0.0283352584464337	0.000108287611897199	7.21917412647993e-05	0.00220184810857638	0.000830205024545192	0.000938492636442391	0.000252671094426798	0	0.019780537106555	0.000577533930118394	0.0613629800750794	0.00252671094426798	0.00115506786023679	0.00458417557031476	0.00288766965059197	0.000433150447588796	0.0116950620848975	0.0199249205890846	0.00101068437770719	0.0348686110308981	3.60958706323997e-05	0.00303205313312157	0.021946289344499	0	0.0346520358071037	0	0.0105399942246607	0.000108287611897199	0.000469246318221195	0.00530609298296275	0.000649725671383194	0.000108287611897199	0.00256280681490038	0.00332082009818077	0.000144383482529599	7.21917412647993e-05	3.60958706323997e-05	0.000324862835691597	0.00934883049379151	0.000252671094426798	0.00169650591972278	0.0275772451631533	3.60958706323997e-05	0	0.00667773606699394	0	0.0434594282414092	0.00187698527288478	0.0110453364135143	0.00173260179035518	0	0.000108287611897199	0	0.0363124458561941	0.00122725960150159	0.000433150447588796	0.00256280681490038	0.0156656078544615	0.0128501299451343	0.0133193762633555	0.00169650591972278	0.0149797863124459	0.000866300895177592	0.00512561362980075	0.00573924343055154	0	0	0.00173260179035518	0.00902396765809991	0.00108287611897199	0	0	0	0.000252671094426798	0.000144383482529599	3.60958706323997e-05	0.000144383482529599	0	0	0.00447588795841756	0	0	0	0.000252671094426798	0.00158821830782558	7.21917412647993e-05	0.00133554721339879	0.000252671094426798	0.00364568293387237	7.21917412647993e-05	3.60958706323997e-05	0.0209356049667918	0.000144383482529599	0	0.103956107421311
CS.176	0	0	0.000679194023092597	0.0360255829748698	5.65995019243831e-05	0.0023488793298619	0	0.10394498528413	0	0.002660176590446	0.00144328729907177	5.65995019243831e-05	0.000198098256735341	0.00529205342992982	0	5.65995019243831e-05	0.0894838125424496	0	0	0	0.00373556712700928	0.0102728095992755	0	0	0	0.135697305863708	0	0	0.0383178628028073	0	0.019951324428345	0	0	0.000198098256735341	0.000339597011546298	0.00226398007697532	0.000141498754810958	0.000396196513470681	0.00135838804618519	2.82997509621915e-05	0	0.0155648630292053	0.0204324201947023	0.00127348879329862	0.000339597011546298	0.00421666289336654	0.000169798505773149	0.00169798505773149	0.000254697758659724	8.48992528865746e-05	0.0143479737378311	0.00169798505773149	0.00178288431061807	0.00390536563278243	0.000565995019243831	0.00294317410006792	8.48992528865746e-05	0.000339597011546298	0.00107539053656328	0.0259508716323296	0.000198098256735341	0.0445155082635273	8.48992528865746e-05	0.00144328729907177	0.0463266923251075	0	0.0189042336427439	0.000452796015395065	0.0128197871858728	0	8.48992528865746e-05	0.00764093275979171	0.000877292279827938	0.000226398007697532	0.00984831333484265	0.00591464795109803	0.000509395517319448	0.000339597011546298	0	0	0.018621236133122	0.00189608331446683	0.00387706588182024	0.00798052977133801	0.000169798505773149	2.82997509621915e-05	0.00073579352501698	0	0.0241113878197872	0.000141498754810958	0.0132159836993434	0.000509395517319448	0.000282997509621915	0	5.65995019243831e-05	0.0851539506452343	0.00280167534525696	0.00192438306542902	0.001330088295223	0.0594294770206022	0.00956531582522074	0.00345256961738737	0.00755603350690514	0	0	2.82997509621915e-05	0	8.48992528865746e-05	0.000169798505773149	0.000198098256735341	0	2.82997509621915e-05	0	0	0.000141498754810958	0.00962191532714512	0	0.000396196513470681	0	2.82997509621915e-05	0	0.000396196513470681	0	0	2.82997509621915e-05	0	0	0	0.00973511433099389	0.000113199003848766	0.0110086031242925	0	0.00356576862123613	0.000792393026941363	0.00396196513470681	0.000933891781752321	0.00863142404346842
L.008.M1	0	4.17162046597001e-05	0.00206495213065515	0.010992219927831	6.25743069895501e-05	0	0.0001668648186388	0.110339361324907	0.0116388211000563	0	0.000771749786204451	0.0002920134326179	0.00010429051164925	0	0	4.17162046597001e-05	0.0280124314289886	2.085810232985e-05	0	0	2.085810232985e-05	0	0.000730033581544751	0	0	0.00022943912562835	0	0	4.17162046597001e-05	0	0.000563168762905951	0	0	0	0	0.000563168762905951	0.00010429051164925	0.00127234424212085	0.00123062803746115	0.0117222535093757	0.000896898400183551	0.154078801910602	0.00778007216903406	0	0	6.25743069895501e-05	0	0	0	0	2.085810232985e-05	0.00415076236364016	0.000709175479214901	0.000500594455916401	0.000834324093194001	0.0001251486139791	0	0	4.17162046597001e-05	0.0284713096802453	0	0.0249045741818409	2.085810232985e-05	0.00707089668981916	0.0755897628433765	8.34324093194001e-05	0.0133700435934339	0.0001251486139791	0.0162276036126233	0	0	0.0256763239680454	0.000730033581544751	2.085810232985e-05	0.00529795799178191	0.00456792441023716	0.00035458773960745	0.000375445841937301	6.25743069895501e-05	0	0.0114928143837474	0.00014600671630895	0	8.34324093194001e-05	0	0	0.00901070020649521	0	0.0030035667354984	0.00477650543353566	0.00467221492188641	0.0001668648186388	0	0.00018772292096865	0	0.142836284754813	0.00527709988945206	0	6.25743069895501e-05	0.0480153515633148	0.00168950628871785	0.000855182195523851	0.0139332123563398	2.085810232985e-05	0	0.000792607888534301	2.085810232985e-05	0	0.00014600671630895	0	0.002502972279582	0	0	0	0	0	0	0.0161024549986442	4.17162046597001e-05	0	0	0	0	0	0.00010429051164925	0	2.085810232985e-05	0	4.17162046597001e-05	2.085810232985e-05	0.00018772292096865	6.25743069895501e-05	0.136683144567507	0.0262186346286215	0.00896898400183551	0	0.0002085810232985
CS.035	0.00365166309438755	0.000476303881876637	0.000119075970469159	0.00595379852345797	7.93839803127729e-05	0.0055568786218941	0.00246090338969596	0.0410415178217036	0.000436611891720251	0.000476303881876637	0.000595379852345797	0.000119075970469159	0	0.000119075970469159	0	0.00198459950781932	0.0216321346352306	0.000476303881876637	0.000238151940938319	0.000873223783440502	0.000238151940938319	0.00111137572437882	0.0100420735095658	0	0	0.271135984758276	0.0132571247122331	0.000436611891720251	0.00158767960625546	0.000396919901563864	0.00658887036596015	0.00400889100579503	3.96919901563864e-05	0	0.000357227911407478	0.00111137572437882	0	0	0.000357227911407478	3.96919901563864e-05	0	0.00198459950781932	0.00841470191315393	0	0.000238151940938319	0.00158767960625546	0.000635071842502183	0.00138921965547353	0.000317535921251092	0	0.00194490751766294	0.00452488687782805	0.0029372072715726	0.00631102643486544	0.000992299753909661	0.00436611891720251	0.000119075970469159	0.00154798761609907	0.000754147812971342	0.0298483765976026	0	0.0112328332142574	3.96919901563864e-05	0.00297689926172898	0.0481860760498531	0.00345320314360562	0.046836548384536	0	0.0113122171945701	0.000119075970469159	0.000357227911407478	0.00623164245455267	0.00158767960625546	0	0.00861316186393586	0.00515995872033024	7.93839803127729e-05	3.96919901563864e-05	3.96919901563864e-05	0	0.029888068587759	0.001746447566881	0.000674763832658569	0.0138525045645789	3.96919901563864e-05	0	7.93839803127729e-05	0	0.00984361355878384	0	0.00750178613955704	3.96919901563864e-05	7.93839803127729e-05	0	7.93839803127729e-05	0.0808525839485592	0.0100420735095658	0.000396919901563864	0.00154798761609907	0.0319520520758911	0.00325474319282369	0.00313566722235453	0.010478685401286	0.00194490751766294	0	0.000277843931094705	0.00460427085814083	3.96919901563864e-05	3.96919901563864e-05	3.96919901563864e-05	0.0429467333492101	0	0.00627133444470906	0.012939588790982	0.000873223783440502	0	0.00436611891720251	0	0.000912915773596888	3.96919901563864e-05	0.000198459950781932	0	0	3.96919901563864e-05	0	0	0.000674763832658569	0	0.0135349686433278	0.000198459950781932	0.00337381916329285	0.000119075970469159	0.0813288878304358	0.000476303881876637	0	0	0.0014686036357863
