p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
CS.093	0.000216778668978972	0.085546282245827	0.0616464339908953	0.258400173422935	8.12920008671147e-05	0.54330153912855	0.000162584001734229	0.000189681335356601	0.0435454151311511	0.00682852807283763	8.12920008671147e-05
CS.260	0.00023248605083695	0.0203037817730936	0.0421962182269064	0.377731711097334	0	0.54116940483571	0.000891196528208308	0.0004649721016739	0.0111593304401736	0.00100743955362678	0.00478533787972722
L.012.M1	0	7.36566861856885e-05	0.0565315066475159	0.133834198799396	0	0.646466320480242	1.84141715464221e-05	0	0.154623798475307	0.000276212573196332	1.84141715464221e-05
L.008.M1	0	4.17162046597001e-05	0.136599712158188	0.0296602215130467	0	0.659574911874518	4.17162046597001e-05	0	0.173747992407651	0	0.0002085810232985
CS.101	0.00108764297242299	0.000105255771524805	0.0725563118377658	0.350010525577152	3.50852571749351e-05	0.522103712020209	0	0.00171917760157182	0.0523822889621781	0	0
CS.017	0	7.3062029663184e-05	0.0388324687659823	0.412873529626653	0	0.530941769562358	0	0	0.017279170015343	0	0
CS.245	0	0	0.0704588274409842	0.461043998670065	0	0.418569212013743	0.000110827884295689	0	0.0497894270198382	0	2.77069710739222e-05
CS.105	0.00225647138964578	0.0151566757493188	0.0799344346049046	0.381811989100817	0	0.479968494550409	0.00042574931880109	0.000149012261580381	0.0398075613079019	0.000383174386920981	0
CS.259	0.000120977498185338	0.0461865204183133	0.0383364249805092	0.327311342312552	0	0.382060381213539	1.34419442428153e-05	8.06516654568917e-05	0.204720810818077	0.000914052208511439	0.000134419442428153
CS.280	0	0.00280278579921862	0.107503821980635	0.270277730592832	6.36996772549686e-05	0.461249363003227	6.36996772549686e-05	0.0249065738066927	0.129841175471378	0.00329114999150671	0
L.002.M1	4.83547303014917e-05	4.83547303014917e-05	0.0717584197674137	0.136916418848674	0	0.789995406300621	0.000193418921205967	0	0.00101544933633133	0	0
CS.022	0	7.65990042129452e-05	0.11911145155113	0.236422826503255	7.65990042129452e-05	0.591612409038683	0.00815779394867867	0	0.0444657219456147	0	7.65990042129452e-05
CS.261	0.0141545973099223	0.000586840684490974	0.046360414074787	0.28806835520293	0.0193422689608225	0.587357104293326	0	0.0159151193633952	0.0269711978592052	0.00119715499636159	4.6947254759278e-05
CS.001	0.0478080659663589	0.00611855523147437	0.11217351257703	0.0473255992455975	0.000548257637228887	0.656154740235531	0	0.0188600627206737	0.0743218053027479	0.0022149608544047	0.0337507401478103
CS.296	0.000400502448526333	0.000382297791775136	0.0475323587773753	0.341628588592962	0.0218455881014363	0.471136516720977	0	0.0167664888678524	0.100216635415339	0	5.46139702535909e-05
CS.040	0.000431649898728293	0.000664076767274297	0.0510675034033934	0.385728990271275	0	0.545439452800744	0	0	0.0153401733240363	0.00132815353454859	0
CS.248	6.6513685190728e-05	3.3256842595364e-05	0.0724001463301074	0.330473244870132	0	0.542784927998936	0.00106421896305165	0	0.0319598257341448	0	0.02101832452027
CS.229	0	0.000487361102085905	0.0461368509974657	0.357820521151472	0	0.484534407693807	0.0351224900903243	0	0.0755409708233154	0	0.000357398141529664
CS.287	0.000583197253974073	0.00511547305628687	0.0105308761289033	0.256956710100976	9.9976672109841e-05	0.621121738261072	1.66627786849735e-05	1.66627786849735e-05	0.082380777818509	0	0.0230446229213184
CS.117	0	0	0.0808925693325182	0.379008503306842	0	0.513227366197966	0.00219529817151114	0.000111154337798033	0.0241204913021731	8.33657533485244e-05	0.000333463013394098
CS.062	0.000248666869284116	0.0112728980742132	0.109744978310723	0.395711877987456	0.000138148260713398	0.462962451302738	0	0.000138148260713398	0.018705274500594	0	0.0010775564335645
CS.334	0	0.00863140849550357	0.00556631871150565	0.294581152589423	0	0.687765665211231	0	0	0.00344099702165804	0	0
CS.155	0.0143933599969909	7.52266201933324e-05	0.0660991236098747	0.284757832971828	0	0.567233791797791	0.000125377700322221	0.0041500018806655	0.0570468536466104	0.00248247846637997	0.00362341553931218
CS.050	3.3208248929034e-05	0.00112908046358715	0.199847242054926	0.205027728887856	0.000863414472154883	0.569455052635075	0.000398498987148408	6.64164978580679e-05	0.0229136917610334	3.3208248929034e-05	0.000232457742503238
CS.388	0	0	0.0468996321597478	0.386291979171643	0	0.47176706635456	0.0503869488367649	0	0.0446543734772847	0	0
