PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.005	87.21391	928.195652174	414	7.15163235249	0.982798937996
L.036.M1	71.89136	945.529411765	411	6.99718833886	0.97921914865
CS.038	51.52944	592.8	282	6.07038893117	0.957079327392
CS.021	55.93926	1502.25	291	6.45316861598	0.975866253496
CS.022	45.82996	489.444444444	225	5.91088745483	0.967185482082
CS.059	74.0919	587	347	6.95487231785	0.983263613815
CS.244	63.61954	489.161290323	274	6.76268413751	0.983052833031
CS.199	53.85998	394.888888889	226	6.19163763512	0.97339045028
CS.174	83.72935	1166.15909091	538	7.34763833983	0.981812971685
CS.091	55.72078	684.24	255	6.066246071	0.972315642482
L.006.M1	65.54753	661.270833333	362	7.24298862949	0.987928227401
L.001.M1	76.14962	674.833333333	354	6.61833056202	0.968494152031
CS.176	71.62528	995.12195122	375	6.50851256646	0.964899555771
L.011.M1	57.58105	829.125	303	6.31546578459	0.973151797657
CS.143	67.21222	576.972972973	314	6.6797843935	0.974841527908
CS.287	59.87732	796.4	338	6.69591888841	0.980349700127
CS.062	63.05917	793.777777778	321	6.3955299512	0.970645074121
CS.368	79.21084	1118.78846154	441	7.18501345283	0.984324485694
CS.341	52.44954	789.288461538	351	6.25779382049	0.963905750505
CS.042	50.70491	1049.64705882	273	6.18995964707	0.973014615949
CS.067	35.34234	309.882352941	151	5.12352270866	0.944192956743
CS.060	55.22339	626.913043478	251	6.1521974145	0.973900853336
CS.122	66.96008	592.7	302	6.40043786684	0.97152390805
CS.327	56.35991	1193.625	403	6.35263509688	0.967896213981
CS.335	33.76463	576.27027027	262	5.69736265406	0.956336804176
CS.230	42.67571	561.027027027	271	5.86024907839	0.947471381827
CS.290	49.11392	675	334	6.25015827634	0.95688030504
CS.065	60.62497	907.45	343	6.38383497062	0.971754286221
CS.149	61.41136	789.85	381	6.62464378968	0.977054290641
CS.367	35.51786	519.029411765	241	5.76612704329	0.963685824274
CS.374	55.49643	923.660377358	378	6.69097223461	0.980555254941
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.128	70.82491	1293.68421053	475	7.10430674274	0.979665969072
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.205	50.88079	888	402	6.5871287965	0.971146767226
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.126	72.30157	1211.87301587	476	7.0231210093	0.978482286902
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.125	51.33107	765.220338983	368	6.42363013852	0.964026818806
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.380	73.08874	1110.59649123	464	7.29262079238	0.984911100809
CS.349	74.49299	795.6	429	7.02620693026	0.980594885213
CS.178	67.57516	702.666666667	358	6.77081022645	0.977249829013
CS.386	41.30146	534.125	279	5.56718084205	0.937366533629
CS.395	68.90364	852.01754386	402	7.00537435368	0.984435537553
CS.182	78.28983	838.180722892	448	7.10242456785	0.983314567021
CS.348	64.66566	918.294117647	333	6.50149004386	0.97650164433
CS.148	47.5661	486.766666667	303	6.14357379957	0.970204786161
CS.214	57.23535	744.666666667	346	6.29829327614	0.97100392405
CS.256	57.61418	716.631578947	364	6.57085381868	0.974419530843
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.147	58.42932	847.230769231	406	6.74398006229	0.977459303304
CS.385	65.50113	890.038461538	388	6.87889430286	0.982373892448
CS.183	49.17559	583.914893617	303	5.98932294483	0.956720477462
CS.166	66.26063	928.5	376	6.78491363107	0.979089805897
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
T.CS.020	80.23638	974.651162791	399	7.21685119092	0.986980149371
T.CS.080	61.42408	798.571428571	395	6.7836253576	0.977380042761
T.CS.040	82.47706	1217.30434783	496	7.10084344328	0.98060577265
T.CS.079	53.03933	636.966666667	344	6.60273114939	0.978379509495
T.CS.012	50.08713	839.019230769	363	6.65453843847	0.980076207705
TFS.023	59.44978	914.118644068	395	6.78833076827	0.980861409675
T.CS.004	69.63832	1299.5	497	7.23067328989	0.984696836045
T.CS.069	75.43499	1044	482	7.25459416347	0.982750597775
